y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,22,4,4,0,0.0026007802340702,1.0,0.18181818181818182,0,top_third,16,train,relu
1,1483,101,25,25,0,0.0168577208361429,1.0,0.24752475247524752,0,top_third,16,train,relu
2,1473,88,10,10,0,0.0067888662593346,1.0,0.11363636363636363,0,top_third,16,train,relu
3,1478,87,13,13,0,0.0087956698240866,1.0,0.14942528735632185,0,top_third,16,train,relu
4,1528,75,17,17,0,0.0111256544502617,1.0,0.22666666666666666,0,top_third,16,train,relu
5,1401,144,31,31,0,0.0221270521056388,1.0,0.2152777777777778,0,top_third,16,train,relu
6,1521,23,5,5,0,0.0032873109796186,1.0,0.21739130434782608,0,top_third,16,train,relu
7,1508,42,6,6,0,0.0039787798408488,1.0,0.14285714285714285,0,top_third,16,train,relu
8,1497,85,11,11,0,0.0073480293921175,1.0,0.12941176470588237,0,top_third,16,train,relu
9,1521,36,8,8,0,0.0052596975673898,1.0,0.2222222222222222,0,top_third,16,train,relu
10,1447,34,8,8,0,0.0055286800276434,1.0,0.23529411764705882,0,top_third,16,train,relu
11,1485,42,15,15,0,0.0101010101010101,1.0,0.35714285714285715,0,top_third,16,train,relu
12,1478,13,3,3,0,0.0020297699594046,1.0,0.23076923076923078,0,top_third,16,train,relu
13,1477,12,7,7,0,0.0047393364928909,1.0,0.5833333333333334,0,top_third,16,train,relu
14,1485,1,1,1,0,0.0006734006734006,1.0,1.0,0,top_third,16,train,relu
15,1460,22,8,8,0,0.0054794520547945,1.0,0.36363636363636365,0,top_third,16,train,relu
16,1455,21,5,5,0,0.0034364261168384,1.0,0.23809523809523808,0,top_third,16,train,relu
17,1478,6,2,2,0,0.0013531799729364,1.0,0.3333333333333333,0,top_third,16,train,relu
18,1563,42,17,17,0,0.0108765195137555,1.0,0.40476190476190477,0,top_third,16,train,relu
19,1504,79,32,32,0,0.0212765957446808,1.0,0.4050632911392405,0,top_third,16,train,relu
20,1496,85,37,37,0,0.0247326203208556,1.0,0.43529411764705883,0,top_third,16,train,relu
21,1455,55,27,27,0,0.0185567010309278,1.0,0.4909090909090909,0,top_third,16,train,relu
22,1527,30,10,10,0,0.0065487884741322,1.0,0.3333333333333333,0,top_third,16,train,relu
23,1467,46,21,21,0,0.0143149284253578,1.0,0.45652173913043476,0,top_third,16,train,relu
24,1486,30,15,15,0,0.0100942126514131,1.0,0.5,0,top_third,16,train,relu
25,1503,62,22,22,0,0.0146373918829008,1.0,0.3548387096774194,0,top_third,16,train,relu
26,1532,23,7,7,0,0.0045691906005221,1.0,0.30434782608695654,0,top_third,16,train,relu
27,1519,32,11,11,0,0.0072416063199473,1.0,0.34375,0,top_third,16,train,relu
28,1496,41,13,13,0,0.0086898395721925,1.0,0.3170731707317073,0,top_third,16,train,relu
29,1496,30,10,10,0,0.0066844919786096,1.0,0.3333333333333333,0,top_third,16,train,relu
30,1508,11,1,1,0,0.0006631299734748,1.0,0.09090909090909091,0,top_third,16,train,relu
31,1472,85,32,32,0,0.0217391304347826,1.0,0.3764705882352941,0,top_third,16,train,relu
32,1473,15,3,3,0,0.0020366598778004,1.0,0.2,0,top_third,16,train,relu
