thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,4.383,4365.8,0.0,61623.0,62.4,0.0,50.0,2023-08-14 15:25:00,2023-08-14 15:29:23,None
qth_0.75,1.0,206.9,4377.9,0.0,1923050.0,99.6,0.0,50.0,2023-08-14 15:40:04,2023-08-14 19:06:59,None
qth_0.75,2.0,100.55,4378.1,0.0,1184696.0,100.0,0.0,50.0,2023-08-14 19:15:21,2023-08-14 20:55:54,None
qth_0.75,3.0,80.633,4378.1,0.0,816012.0,100.0,0.0,50.0,2023-08-14 21:02:48,2023-08-14 22:23:27,None
qth_0.75,0.0,0.1,4304.9,0.0,61623.0,19.2,0.0,20.0,2023-08-14 15:24:58,2023-08-14 15:25:04,components
qth_0.75,1.0,3.067,4305.9,0.0,236580.0,74.0,0.0,20.0,2023-08-14 15:25:46,2023-08-14 15:28:50,components
qth_0.75,2.0,1.75,4306.5,0.0,132375.0,87.5,0.0,20.0,2023-08-14 15:29:37,2023-08-14 15:31:22,components
qth_0.75,3.0,0.983,4306.8,0.0,80695.0,94.1,0.0,20.0,2023-08-14 15:32:07,2023-08-14 15:33:06,components
qth_0.5,0.0,5.65,4382.3,0.0,61623.0,63.3,0.0,50.0,2023-08-14 15:24:59,2023-08-14 15:30:39,None
qth_0.5,1.0,266.867,4384.7,0.0,1949550.0,99.9,0.0,50.0,2023-08-14 15:43:23,2023-08-14 20:10:15,None
qth_0.5,2.0,104.033,4384.8,0.0,955364.0,100.0,0.0,50.0,2023-08-14 20:20:46,2023-08-14 22:04:48,None
qth_0.5,3.0,58.6,4384.8,0.0,466583.0,100.0,0.0,50.0,2023-08-14 22:15:14,2023-08-14 23:13:50,None
qth_0.5,0.0,0.217,4305.4,0.0,61623.0,34.7,0.0,20.0,2023-08-14 15:25:00,2023-08-14 15:25:13,components
qth_0.5,1.0,6.25,4307.3,0.0,428220.0,84.9,0.0,20.0,2023-08-14 15:26:06,2023-08-14 15:32:21,components
qth_0.5,2.0,2.8,4307.5,0.0,204223.0,91.9,0.0,20.0,2023-08-14 15:33:21,2023-08-14 15:36:09,components
qth_0.5,3.0,1.217,4307.8,0.0,95305.0,94.9,0.0,20.0,2023-08-14 15:37:06,2023-08-14 15:38:19,components
qth_0.25,0.0,4.4,4343.9,0.0,61623.0,62.5,0.0,50.0,2023-08-14 15:25:03,2023-08-14 15:29:27,None
qth_0.25,1.0,205.617,4377.9,0.0,1926950.0,99.7,0.0,50.0,2023-08-14 15:40:01,2023-08-14 19:05:39,None
qth_0.25,2.0,101.333,4378.0,0.0,1184232.0,100.0,0.0,50.0,2023-08-14 19:13:59,2023-08-14 20:55:20,None
qth_0.25,3.0,85.633,4378.0,0.0,814587.0,100.0,0.0,50.0,2023-08-14 21:00:59,2023-08-14 22:26:37,None
qth_0.25,0.0,0.1,4304.4,0.0,61623.0,19.5,0.0,20.0,2023-08-14 15:25:01,2023-08-14 15:25:08,components
qth_0.25,1.0,3.217,4306.9,0.0,240180.0,71.6,0.0,20.0,2023-08-14 15:25:50,2023-08-14 15:29:03,components
qth_0.25,2.0,1.767,4306.9,0.0,134966.0,87.1,0.0,20.0,2023-08-14 15:29:49,2023-08-14 15:31:35,components
qth_0.25,3.0,0.983,4307.3,0.0,83827.0,94.9,0.0,20.0,2023-08-14 15:32:21,2023-08-14 15:33:21,components
relu,0.0,5.65,4381.8,0.0,61623.0,63.3,0.0,50.0,2023-08-14 15:25:03,2023-08-14 15:30:43,None
relu,1.0,266.317,4384.9,0.0,1948950.0,99.9,0.0,50.0,2023-08-14 15:43:28,2023-08-14 20:09:48,None
relu,2.0,103.55,4384.9,0.0,954720.0,100.0,0.0,50.0,2023-08-14 20:20:17,2023-08-14 22:03:51,None
relu,3.0,59.283,4384.9,0.0,466004.0,100.0,0.0,50.0,2023-08-14 22:14:19,2023-08-14 23:13:36,None
relu,0.0,0.217,4305.3,0.0,61623.0,34.3,0.0,20.0,2023-08-14 15:25:02,2023-08-14 15:25:15,components
relu,1.0,6.183,4307.3,0.0,422440.0,84.6,0.0,20.0,2023-08-14 15:26:06,2023-08-14 15:32:17,components
relu,2.0,2.783,4307.7,0.0,201287.0,91.8,0.0,20.0,2023-08-14 15:33:16,2023-08-14 15:36:04,components
relu,3.0,1.217,4307.8,0.0,93809.0,94.8,0.0,20.0,2023-08-14 15:36:59,2023-08-14 15:38:12,components
mean,0.0,5.717,4381.8,0.0,61623.0,63.3,0.0,50.0,2023-08-14 15:25:03,2023-08-14 15:30:47,None
mean,1.0,266.05,4384.9,0.0,1948950.0,99.9,0.0,50.0,2023-08-14 15:43:26,2023-08-14 20:09:29,None
mean,2.0,103.617,4384.9,0.0,954720.0,100.0,0.0,50.0,2023-08-14 20:19:57,2023-08-14 22:03:35,None
mean,3.0,59.4,4384.9,0.0,466004.0,100.0,0.0,50.0,2023-08-14 22:14:02,2023-08-14 23:13:26,None
mean,0.0,0.217,4305.3,0.0,61623.0,34.3,0.0,20.0,2023-08-14 15:25:02,2023-08-14 15:25:16,components
mean,1.0,6.267,4307.3,0.0,422440.0,84.6,0.0,20.0,2023-08-14 15:26:09,2023-08-14 15:32:26,components
mean,2.0,2.783,4307.7,0.0,201287.0,91.8,0.0,20.0,2023-08-14 15:33:25,2023-08-14 15:36:12,components
mean,3.0,1.217,4307.8,0.0,93809.0,94.8,0.0,20.0,2023-08-14 15:37:08,2023-08-14 15:38:21,components
