y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,22.0,13.0,13.0,0.0084525357607282,1.0,0.5909090909090909,0,components,20.0,train,mean
1,1483.0,101.0,76.0,76.0,0.0512474713418745,1.0,0.7524752475247525,0,components,20.0,train,mean
2,1473.0,88.0,65.0,65.0,0.0441276306856754,1.0,0.7386363636363636,0,components,20.0,train,mean
3,1478.0,87.0,63.0,63.0,0.0426251691474966,1.0,0.7241379310344828,0,components,20.0,train,mean
4,1528.0,75.0,55.0,55.0,0.0359947643979057,1.0,0.7333333333333333,0,components,20.0,train,mean
5,1401.0,144.0,111.0,111.0,0.0792291220556745,1.0,0.7708333333333334,0,components,20.0,train,mean
6,1521.0,23.0,20.0,20.0,0.0131492439184746,1.0,0.8695652173913043,0,components,20.0,train,mean
7,1508.0,42.0,36.0,36.0,0.0238726790450928,1.0,0.8571428571428571,0,components,20.0,train,mean
8,1497.0,85.0,54.0,54.0,0.0360721442885771,1.0,0.6352941176470588,0,components,20.0,train,mean
9,1521.0,36.0,32.0,32.0,0.0210387902695595,1.0,0.8888888888888888,0,components,20.0,train,mean
10,1447.0,34.0,25.0,25.0,0.0172771250863856,1.0,0.7352941176470589,0,components,20.0,train,mean
11,1485.0,42.0,32.0,32.0,0.0215488215488215,1.0,0.7619047619047619,0,components,20.0,train,mean
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,0,components,20.0,train,mean
13,1477.0,12.0,12.0,12.0,0.0081245768449559,1.0,1.0,0,components,20.0,train,mean
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,0,components,20.0,train,mean
15,1460.0,22.0,18.0,18.0,0.0123287671232876,1.0,0.8181818181818182,0,components,20.0,train,mean
16,1455.0,21.0,17.0,17.0,0.0116838487972508,1.0,0.8095238095238095,0,components,20.0,train,mean
17,1478.0,6.0,5.0,5.0,0.003382949932341,1.0,0.8333333333333334,0,components,20.0,train,mean
18,1563.0,42.0,37.0,37.0,0.0236724248240563,1.0,0.8809523809523809,0,components,20.0,train,mean
19,1504.0,79.0,46.0,46.0,0.0305851063829787,1.0,0.5822784810126582,0,components,20.0,train,mean
20,1496.0,85.0,54.0,54.0,0.0360962566844919,1.0,0.6352941176470588,0,components,20.0,train,mean
21,1455.0,55.0,42.0,42.0,0.0288659793814433,1.0,0.7636363636363637,0,components,20.0,train,mean
22,1527.0,30.0,22.0,22.0,0.014407334643091,1.0,0.7333333333333333,0,components,20.0,train,mean
23,1467.0,46.0,35.0,35.0,0.0238582140422631,1.0,0.7608695652173914,0,components,20.0,train,mean
24,1486.0,30.0,23.0,23.0,0.0154777927321668,1.0,0.7666666666666667,0,components,20.0,train,mean
25,1503.0,62.0,48.0,48.0,0.0319361277445109,1.0,0.7741935483870968,0,components,20.0,train,mean
26,1532.0,23.0,19.0,19.0,0.0124020887728459,1.0,0.8260869565217391,0,components,20.0,train,mean
27,1519.0,32.0,25.0,25.0,0.0164581961816984,1.0,0.78125,0,components,20.0,train,mean
28,1496.0,41.0,32.0,32.0,0.0213903743315508,1.0,0.7804878048780488,0,components,20.0,train,mean
29,1496.0,30.0,28.0,28.0,0.0187165775401069,1.0,0.9333333333333332,0,components,20.0,train,mean
30,1508.0,11.0,10.0,10.0,0.006631299734748,1.0,0.9090909090909092,0,components,20.0,train,mean
31,1472.0,85.0,68.0,68.0,0.046195652173913,1.0,0.8,0,components,20.0,train,mean
32,1473.0,15.0,14.0,14.0,0.0095044127630685,1.0,0.9333333333333332,0,components,20.0,train,mean
33,1464.0,148.0,120.0,120.0,0.081967213114754,1.0,0.8108108108108109,0,components,20.0,train,mean
34,1519.0,117.0,88.0,88.0,0.0579328505595786,1.0,0.7521367521367521,0,components,20.0,train,mean
35,1492.0,31.0,21.0,21.0,0.0140750670241286,1.0,0.6774193548387096,0,components,20.0,train,mean
36,1484.0,103.0,82.0,82.0,0.0552560646900269,1.0,0.7961165048543689,0,components,20.0,train,mean
37,1475.0,109.0,78.0,78.0,0.0528813559322033,1.0,0.7155963302752294,0,components,20.0,train,mean
38,1401.0,135.0,100.0,100.0,0.0713775874375446,1.0,0.7407407407407407,0,components,20.0,train,mean
39,1541.0,104.0,67.0,67.0,0.0434782608695652,1.0,0.6442307692307693,0,components,20.0,train,mean
40,1489.0,17.0,15.0,15.0,0.0100738750839489,1.0,0.8823529411764706,0,components,20.0,train,mean
41,1461.0,36.0,24.0,24.0,0.0164271047227926,1.0,0.6666666666666666,0,components,20.0,train,mean
42,1432.0,25.0,20.0,20.0,0.0139664804469273,1.0,0.8,0,components,20.0,train,mean
all,63968.0,2345.0,1763.0,1763.0,0.0275606553276638,1.0,0.7518123667377399,0,components,20.0,train,mean
0,1538.0,22.0,13.0,13.0,0.0084525357607282,1.0,0.5909090909090909,1,components,20.0,train,mean
1,1483.0,101.0,76.0,76.0,0.0512474713418745,1.0,0.7524752475247525,1,components,20.0,train,mean
2,1473.0,88.0,65.0,65.0,0.0441276306856754,1.0,0.7386363636363636,1,components,20.0,train,mean
3,1478.0,87.0,63.0,63.0,0.0426251691474966,1.0,0.7241379310344828,1,components,20.0,train,mean
4,1528.0,75.0,55.0,55.0,0.0359947643979057,1.0,0.7333333333333333,1,components,20.0,train,mean
5,1401.0,144.0,111.0,111.0,0.0792291220556745,1.0,0.7708333333333334,1,components,20.0,train,mean
6,1521.0,23.0,20.0,20.0,0.0131492439184746,1.0,0.8695652173913043,1,components,20.0,train,mean
7,1508.0,42.0,36.0,36.0,0.0238726790450928,1.0,0.8571428571428571,1,components,20.0,train,mean
8,1497.0,85.0,54.0,54.0,0.0360721442885771,1.0,0.6352941176470588,1,components,20.0,train,mean
9,1521.0,36.0,32.0,32.0,0.0210387902695595,1.0,0.8888888888888888,1,components,20.0,train,mean
10,1447.0,34.0,25.0,25.0,0.0172771250863856,1.0,0.7352941176470589,1,components,20.0,train,mean
11,1485.0,42.0,32.0,32.0,0.0215488215488215,1.0,0.7619047619047619,1,components,20.0,train,mean
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,1,components,20.0,train,mean
13,1477.0,12.0,12.0,12.0,0.0081245768449559,1.0,1.0,1,components,20.0,train,mean
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,1,components,20.0,train,mean
15,1460.0,22.0,18.0,18.0,0.0123287671232876,1.0,0.8181818181818182,1,components,20.0,train,mean
16,1455.0,21.0,17.0,17.0,0.0116838487972508,1.0,0.8095238095238095,1,components,20.0,train,mean
17,1478.0,6.0,5.0,5.0,0.003382949932341,1.0,0.8333333333333334,1,components,20.0,train,mean
18,1563.0,42.0,37.0,37.0,0.0236724248240563,1.0,0.8809523809523809,1,components,20.0,train,mean
19,1504.0,79.0,46.0,46.0,0.0305851063829787,1.0,0.5822784810126582,1,components,20.0,train,mean
20,1496.0,85.0,54.0,54.0,0.0360962566844919,1.0,0.6352941176470588,1,components,20.0,train,mean
21,1455.0,55.0,42.0,42.0,0.0288659793814433,1.0,0.7636363636363637,1,components,20.0,train,mean
22,1527.0,30.0,22.0,22.0,0.014407334643091,1.0,0.7333333333333333,1,components,20.0,train,mean
23,1467.0,46.0,35.0,35.0,0.0238582140422631,1.0,0.7608695652173914,1,components,20.0,train,mean
24,1486.0,30.0,23.0,23.0,0.0154777927321668,1.0,0.7666666666666667,1,components,20.0,train,mean
25,1503.0,62.0,48.0,48.0,0.0319361277445109,1.0,0.7741935483870968,1,components,20.0,train,mean
26,1532.0,23.0,19.0,19.0,0.0124020887728459,1.0,0.8260869565217391,1,components,20.0,train,mean
27,1519.0,32.0,25.0,25.0,0.0164581961816984,1.0,0.78125,1,components,20.0,train,mean
28,1496.0,41.0,32.0,32.0,0.0213903743315508,1.0,0.7804878048780488,1,components,20.0,train,mean
29,1496.0,30.0,28.0,28.0,0.0187165775401069,1.0,0.9333333333333332,1,components,20.0,train,mean
30,1508.0,11.0,10.0,10.0,0.006631299734748,1.0,0.9090909090909092,1,components,20.0,train,mean
31,1472.0,85.0,68.0,68.0,0.046195652173913,1.0,0.8,1,components,20.0,train,mean
32,1473.0,15.0,14.0,14.0,0.0095044127630685,1.0,0.9333333333333332,1,components,20.0,train,mean
33,1464.0,148.0,120.0,120.0,0.081967213114754,1.0,0.8108108108108109,1,components,20.0,train,mean
34,1519.0,117.0,88.0,88.0,0.0579328505595786,1.0,0.7521367521367521,1,components,20.0,train,mean
35,1492.0,31.0,21.0,21.0,0.0140750670241286,1.0,0.6774193548387096,1,components,20.0,train,mean
36,1484.0,103.0,82.0,82.0,0.0552560646900269,1.0,0.7961165048543689,1,components,20.0,train,mean
37,1475.0,109.0,78.0,78.0,0.0528813559322033,1.0,0.7155963302752294,1,components,20.0,train,mean
38,1401.0,135.0,100.0,100.0,0.0713775874375446,1.0,0.7407407407407407,1,components,20.0,train,mean
39,1541.0,104.0,67.0,67.0,0.0434782608695652,1.0,0.6442307692307693,1,components,20.0,train,mean
40,1489.0,17.0,15.0,15.0,0.0100738750839489,1.0,0.8823529411764706,1,components,20.0,train,mean
41,1461.0,36.0,24.0,24.0,0.0164271047227926,1.0,0.6666666666666666,1,components,20.0,train,mean
42,1432.0,25.0,20.0,20.0,0.0139664804469273,1.0,0.8,1,components,20.0,train,mean
all,63968.0,2345.0,1763.0,1763.0,0.0275606553276638,1.0,0.7518123667377399,1,components,20.0,train,mean
0,1538.0,22.0,13.0,13.0,0.0084525357607282,1.0,0.5909090909090909,2,components,20.0,train,mean
1,1483.0,101.0,76.0,76.0,0.0512474713418745,1.0,0.7524752475247525,2,components,20.0,train,mean
2,1473.0,88.0,65.0,65.0,0.0441276306856754,1.0,0.7386363636363636,2,components,20.0,train,mean
3,1478.0,87.0,63.0,63.0,0.0426251691474966,1.0,0.7241379310344828,2,components,20.0,train,mean
4,1528.0,75.0,55.0,55.0,0.0359947643979057,1.0,0.7333333333333333,2,components,20.0,train,mean
5,1401.0,144.0,111.0,111.0,0.0792291220556745,1.0,0.7708333333333334,2,components,20.0,train,mean
6,1521.0,23.0,20.0,20.0,0.0131492439184746,1.0,0.8695652173913043,2,components,20.0,train,mean
7,1508.0,42.0,36.0,36.0,0.0238726790450928,1.0,0.8571428571428571,2,components,20.0,train,mean
8,1497.0,85.0,54.0,54.0,0.0360721442885771,1.0,0.6352941176470588,2,components,20.0,train,mean
9,1521.0,36.0,32.0,32.0,0.0210387902695595,1.0,0.8888888888888888,2,components,20.0,train,mean
10,1447.0,34.0,25.0,25.0,0.0172771250863856,1.0,0.7352941176470589,2,components,20.0,train,mean
11,1485.0,42.0,32.0,32.0,0.0215488215488215,1.0,0.7619047619047619,2,components,20.0,train,mean
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,2,components,20.0,train,mean
13,1477.0,12.0,12.0,12.0,0.0081245768449559,1.0,1.0,2,components,20.0,train,mean
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,2,components,20.0,train,mean
15,1460.0,22.0,18.0,18.0,0.0123287671232876,1.0,0.8181818181818182,2,components,20.0,train,mean
16,1455.0,21.0,17.0,17.0,0.0116838487972508,1.0,0.8095238095238095,2,components,20.0,train,mean
17,1478.0,6.0,5.0,5.0,0.003382949932341,1.0,0.8333333333333334,2,components,20.0,train,mean
18,1563.0,42.0,37.0,37.0,0.0236724248240563,1.0,0.8809523809523809,2,components,20.0,train,mean
19,1504.0,79.0,46.0,46.0,0.0305851063829787,1.0,0.5822784810126582,2,components,20.0,train,mean
20,1496.0,85.0,54.0,54.0,0.0360962566844919,1.0,0.6352941176470588,2,components,20.0,train,mean
21,1455.0,55.0,42.0,42.0,0.0288659793814433,1.0,0.7636363636363637,2,components,20.0,train,mean
22,1527.0,30.0,22.0,22.0,0.014407334643091,1.0,0.7333333333333333,2,components,20.0,train,mean
23,1467.0,46.0,35.0,35.0,0.0238582140422631,1.0,0.7608695652173914,2,components,20.0,train,mean
24,1486.0,30.0,23.0,23.0,0.0154777927321668,1.0,0.7666666666666667,2,components,20.0,train,mean
25,1503.0,62.0,48.0,48.0,0.0319361277445109,1.0,0.7741935483870968,2,components,20.0,train,mean
26,1532.0,23.0,19.0,19.0,0.0124020887728459,1.0,0.8260869565217391,2,components,20.0,train,mean
27,1519.0,32.0,25.0,25.0,0.0164581961816984,1.0,0.78125,2,components,20.0,train,mean
28,1496.0,41.0,32.0,32.0,0.0213903743315508,1.0,0.7804878048780488,2,components,20.0,train,mean
29,1496.0,30.0,28.0,28.0,0.0187165775401069,1.0,0.9333333333333332,2,components,20.0,train,mean
30,1508.0,11.0,10.0,10.0,0.006631299734748,1.0,0.9090909090909092,2,components,20.0,train,mean
31,1472.0,85.0,68.0,68.0,0.046195652173913,1.0,0.8,2,components,20.0,train,mean
32,1473.0,15.0,14.0,14.0,0.0095044127630685,1.0,0.9333333333333332,2,components,20.0,train,mean
33,1464.0,148.0,120.0,120.0,0.081967213114754,1.0,0.8108108108108109,2,components,20.0,train,mean
34,1519.0,117.0,88.0,88.0,0.0579328505595786,1.0,0.7521367521367521,2,components,20.0,train,mean
35,1492.0,31.0,21.0,21.0,0.0140750670241286,1.0,0.6774193548387096,2,components,20.0,train,mean
36,1484.0,103.0,82.0,82.0,0.0552560646900269,1.0,0.7961165048543689,2,components,20.0,train,mean
37,1475.0,109.0,78.0,78.0,0.0528813559322033,1.0,0.7155963302752294,2,components,20.0,train,mean
38,1401.0,135.0,100.0,100.0,0.0713775874375446,1.0,0.7407407407407407,2,components,20.0,train,mean
39,1541.0,104.0,67.0,67.0,0.0434782608695652,1.0,0.6442307692307693,2,components,20.0,train,mean
40,1489.0,17.0,15.0,15.0,0.0100738750839489,1.0,0.8823529411764706,2,components,20.0,train,mean
41,1461.0,36.0,24.0,24.0,0.0164271047227926,1.0,0.6666666666666666,2,components,20.0,train,mean
42,1432.0,25.0,20.0,20.0,0.0139664804469273,1.0,0.8,2,components,20.0,train,mean
all,63968.0,2345.0,1763.0,1763.0,0.0275606553276638,1.0,0.7518123667377399,2,components,20.0,train,mean
0,1538.0,22.0,13.0,13.0,0.0084525357607282,1.0,0.5909090909090909,3,components,20.0,train,mean
1,1483.0,101.0,76.0,76.0,0.0512474713418745,1.0,0.7524752475247525,3,components,20.0,train,mean
2,1473.0,88.0,65.0,65.0,0.0441276306856754,1.0,0.7386363636363636,3,components,20.0,train,mean
3,1478.0,87.0,63.0,63.0,0.0426251691474966,1.0,0.7241379310344828,3,components,20.0,train,mean
4,1528.0,75.0,55.0,55.0,0.0359947643979057,1.0,0.7333333333333333,3,components,20.0,train,mean
5,1401.0,144.0,111.0,111.0,0.0792291220556745,1.0,0.7708333333333334,3,components,20.0,train,mean
6,1521.0,23.0,20.0,20.0,0.0131492439184746,1.0,0.8695652173913043,3,components,20.0,train,mean
7,1508.0,42.0,36.0,36.0,0.0238726790450928,1.0,0.8571428571428571,3,components,20.0,train,mean
8,1497.0,85.0,54.0,54.0,0.0360721442885771,1.0,0.6352941176470588,3,components,20.0,train,mean
9,1521.0,36.0,32.0,32.0,0.0210387902695595,1.0,0.8888888888888888,3,components,20.0,train,mean
10,1447.0,34.0,25.0,25.0,0.0172771250863856,1.0,0.7352941176470589,3,components,20.0,train,mean
11,1485.0,42.0,32.0,32.0,0.0215488215488215,1.0,0.7619047619047619,3,components,20.0,train,mean
12,1478.0,13.0,10.0,10.0,0.006765899864682,1.0,0.7692307692307693,3,components,20.0,train,mean
13,1477.0,12.0,12.0,12.0,0.0081245768449559,1.0,1.0,3,components,20.0,train,mean
14,1485.0,1.0,1.0,1.0,0.0006734006734006,1.0,1.0,3,components,20.0,train,mean
15,1460.0,22.0,18.0,18.0,0.0123287671232876,1.0,0.8181818181818182,3,components,20.0,train,mean
16,1455.0,21.0,17.0,17.0,0.0116838487972508,1.0,0.8095238095238095,3,components,20.0,train,mean
17,1478.0,6.0,5.0,5.0,0.003382949932341,1.0,0.8333333333333334,3,components,20.0,train,mean
