y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,22.0,22.0,22.0,0.014304291287386216,1.0,1.0,0,None,50.0,train,qth_0.75
1,1483.0,101.0,101.0,101.0,0.06810519217801753,1.0,1.0,0,None,50.0,train,qth_0.75
2,1473.0,88.0,88.0,88.0,0.05974202308214528,1.0,1.0,0,None,50.0,train,qth_0.75
3,1478.0,87.0,87.0,87.0,0.05886332882273342,1.0,1.0,0,None,50.0,train,qth_0.75
4,1528.0,75.0,75.0,75.0,0.04908376963350786,1.0,1.0,0,None,50.0,train,qth_0.75
5,1401.0,144.0,144.0,144.0,0.10278372591006424,1.0,1.0,0,None,50.0,train,qth_0.75
6,1521.0,23.0,23.0,23.0,0.015121630506245891,1.0,1.0,0,None,50.0,train,qth_0.75
7,1508.0,42.0,42.0,42.0,0.027851458885941646,1.0,1.0,0,None,50.0,train,qth_0.75
8,1497.0,85.0,85.0,85.0,0.05678022712090848,1.0,1.0,0,None,50.0,train,qth_0.75
9,1521.0,36.0,36.0,36.0,0.023668639053254437,1.0,1.0,0,None,50.0,train,qth_0.75
10,1447.0,34.0,34.0,34.0,0.023496890117484452,1.0,1.0,0,None,50.0,train,qth_0.75
11,1485.0,42.0,42.0,42.0,0.028282828282828285,1.0,1.0,0,None,50.0,train,qth_0.75
12,1478.0,13.0,13.0,13.0,0.008795669824086604,1.0,1.0,0,None,50.0,train,qth_0.75
13,1477.0,12.0,12.0,12.0,0.008124576844955992,1.0,1.0,0,None,50.0,train,qth_0.75
14,1485.0,1.0,1.0,1.0,0.0006734006734006734,1.0,1.0,0,None,50.0,train,qth_0.75
15,1460.0,22.0,22.0,22.0,0.015068493150684932,1.0,1.0,0,None,50.0,train,qth_0.75
16,1455.0,21.0,21.0,21.0,0.01443298969072165,1.0,1.0,0,None,50.0,train,qth_0.75
