y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,28,26,26,0,0.0169050715214564,1.0,0.9285714285714286,0,components,24,train,relu
1,1483,67,64,64,0,0.0431557653405259,1.0,0.9552238805970149,0,components,24,train,relu
2,1473,101,96,96,0,0.065173116089613,1.0,0.9504950495049505,0,components,24,train,relu
3,1478,72,69,69,0,0.0466847090663058,1.0,0.9583333333333334,0,components,24,train,relu
4,1528,76,71,71,0,0.0464659685863874,1.0,0.9342105263157895,0,components,24,train,relu
5,1401,110,100,100,0,0.0713775874375446,1.0,0.9090909090909091,0,components,24,train,relu
6,1521,19,18,18,0,0.0118343195266272,1.0,0.9473684210526315,0,components,24,train,relu
7,1508,53,50,50,0,0.03315649867374,1.0,0.9433962264150944,0,components,24,train,relu
8,1497,56,47,47,0,0.0313961255845023,1.0,0.8392857142857143,0,components,24,train,relu
9,1521,24,24,24,0,0.0157790927021696,1.0,1.0,0,components,24,train,relu
10,1447,32,31,31,0,0.0214236351071181,1.0,0.96875,0,components,24,train,relu
11,1485,38,37,37,0,0.0249158249158249,1.0,0.9736842105263158,0,components,24,train,relu
12,1478,6,6,6,0,0.0040595399188092,1.0,1.0,0,components,24,train,relu
13,1477,11,11,11,0,0.0074475287745429,1.0,1.0,0,components,24,train,relu
14,1485,3,3,3,0,0.002020202020202,1.0,1.0,0,components,24,train,relu
15,1460,13,13,13,0,0.008904109589041,1.0,1.0,0,components,24,train,relu
16,1455,18,18,18,0,0.0123711340206185,1.0,1.0,0,components,24,train,relu
17,1478,5,5,5,0,0.003382949932341,1.0,1.0,0,components,24,train,relu
18,1563,48,48,48,0,0.0307101727447216,1.0,1.0,0,components,24,train,relu
19,1504,89,77,77,0,0.0511968085106383,1.0,0.8651685393258427,0,components,24,train,relu
20,1496,75,72,72,0,0.0481283422459893,1.0,0.96,0,components,24,train,relu
21,1455,58,55,55,0,0.0378006872852233,1.0,0.9482758620689655,0,components,24,train,relu
22,1527,32,31,31,0,0.02030124426981,1.0,0.96875,0,components,24,train,relu
23,1467,44,44,44,0,0.0299931833674164,1.0,1.0,0,components,24,train,relu
24,1486,34,33,33,0,0.022207267833109,1.0,0.9705882352941176,0,components,24,train,relu
25,1503,57,55,55,0,0.0365934797072521,1.0,0.9649122807017544,0,components,24,train,relu
