thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,13.7,4417.1,0.0,65771.0,62.2,0.0,80.0,2023-08-11 21:13:31,2023-08-11 21:27:14
qth_0.75,1.0,964.817,4518.7,0.0,3274880.0,99.7,0.0,80.0,2023-08-11 21:58:38,2023-08-12 14:03:28
qth_0.75,2.0,606.967,4519.1,0.0,2083500.0,100.0,0.0,80.0,2023-08-12 14:31:17,2023-08-13 00:38:17
qth_0.75,3.0,395.233,4519.1,0.0,1480724.0,100.0,0.0,80.0,2023-08-13 01:00:06,2023-08-13 07:35:20
qth_0.75,0.0,1.333,4316.3,0.0,65771.0,45.4,0.0,39.0,2023-08-11 21:13:32,2023-08-11 21:14:53
qth_0.75,1.0,60.483,4333.2,0.0,1163565.0,95.2,0.0,39.0,2023-08-11 21:19:03,2023-08-11 22:19:33
qth_0.75,2.0,33.9,4334.1,0.0,720094.0,99.1,0.0,39.0,2023-08-11 22:23:28,2023-08-11 22:57:22
qth_0.75,3.0,22.8,4334.5,0.0,508218.0,99.8,0.0,39.0,2023-08-11 23:01:07,2023-08-11 23:23:56
qth_0.75,0.0,0.3,4306.4,0.0,65771.0,26.8,0.0,26.0,2023-08-11 21:13:31,2023-08-11 21:13:49
qth_0.75,1.0,9.3,4310.6,0.0,459030.0,85.3,0.0,26.0,2023-08-11 21:15:13,2023-08-11 21:24:32
qth_0.75,2.0,4.933,4311.6,0.0,273314.0,95.1,0.0,26.0,2023-08-11 21:25:42,2023-08-11 21:30:39
qth_0.75,3.0,3.0,4312.2,0.0,177969.0,98.3,0.0,26.0,2023-08-11 21:31:48,2023-08-11 21:34:49
qth_0.5,0.0,18.717,4532.0,0.0,65771.0,64.0,0.0,80.0,2023-08-11 21:13:35,2023-08-11 21:32:18
qth_0.5,1.0,1341.833,4541.9,0.0,3366960.0,99.9,0.0,80.0,2023-08-11 22:08:02,2023-08-12 20:29:53
qth_0.5,2.0,616.817,4542.4,0.0,1696123.0,100.0,0.0,80.0,2023-08-12 20:59:26,2023-08-13 07:16:15
qth_0.5,3.0,299.667,4542.4,0.0,850903.0,100.0,0.0,80.0,2023-08-13 07:41:42,2023-08-13 12:41:22
qth_0.5,0.0,2.4,4328.7,0.0,65771.0,57.1,0.0,39.0,2023-08-11 21:13:36,2023-08-11 21:16:01
qth_0.5,1.0,100.7,4332.4,0.0,1464996.0,98.0,0.0,39.0,2023-08-11 21:21:49,2023-08-11 23:02:32
qth_0.5,2.0,43.3,4332.9,0.0,717686.0,99.6,0.0,39.0,2023-08-11 23:07:45,2023-08-11 23:51:04
qth_0.5,3.0,18.15,4347.5,0.0,372102.0,99.9,0.0,39.0,2023-08-11 23:55:32,2023-08-12 00:13:42
qth_0.5,0.0,0.6,4308.2,0.0,65771.0,45.0,0.0,26.0,2023-08-11 21:13:36,2023-08-11 21:14:12
qth_0.5,1.0,17.867,4314.6,0.0,769730.0,92.9,0.0,26.0,2023-08-11 21:15:57,2023-08-11 21:33:50
qth_0.5,2.0,8.283,4314.6,0.0,381176.0,97.4,0.0,26.0,2023-08-11 21:35:29,2023-08-11 21:43:47
qth_0.5,3.0,3.917,4314.6,0.0,189058.0,99.0,0.0,26.0,2023-08-11 21:45:27,2023-08-11 21:49:23
qth_0.25,0.0,17.05,4531.1,0.0,65771.0,63.8,0.0,80.0,2023-08-11 21:13:40,2023-08-11 21:30:44
qth_0.25,1.0,1214.433,4534.7,0.0,3358480.0,99.9,0.0,80.0,2023-08-11 22:02:24,2023-08-12 18:16:50
qth_0.25,2.0,722.567,4534.7,0.0,2088569.0,100.0,0.0,80.0,2023-08-12 18:44:43,2023-08-13 06:47:18
qth_0.25,3.0,443.867,4534.7,0.0,1444802.0,100.0,0.0,80.0,2023-08-13 07:11:25,2023-08-13 14:35:18
qth_0.25,0.0,2.017,4328.5,0.0,65771.0,55.1,0.0,39.0,2023-08-11 21:13:41,2023-08-11 21:15:42
qth_0.25,1.0,84.45,4343.4,0.0,1413243.0,97.3,0.0,39.0,2023-08-11 21:20:26,2023-08-11 22:44:54
qth_0.25,2.0,45.567,4344.0,0.0,848062.0,99.5,0.0,39.0,2023-08-11 22:49:14,2023-08-11 23:34:49
qth_0.25,3.0,25.983,4344.0,0.0,580688.0,99.9,0.0,39.0,2023-08-11 23:38:52,2023-08-12 00:04:51
qth_0.25,0.0,0.467,4308.2,0.0,65771.0,38.1,0.0,26.0,2023-08-11 21:13:42,2023-08-11 21:14:10
qth_0.25,1.0,13.783,4314.1,0.0,652106.0,89.1,0.0,26.0,2023-08-11 21:15:34,2023-08-11 21:29:22
qth_0.25,2.0,7.25,4314.2,0.0,374528.0,95.9,0.0,26.0,2023-08-11 21:30:40,2023-08-11 21:37:56
qth_0.25,3.0,4.367,4314.6,0.0,238754.0,98.5,0.0,26.0,2023-08-11 21:39:14,2023-08-11 21:43:36
relu,0.0,17.633,4529.9,0.0,65771.0,63.6,0.0,80.0,2023-08-11 21:13:46,2023-08-11 21:31:25
relu,1.0,1246.933,4536.2,0.0,3345040.0,99.8,0.0,80.0,2023-08-11 22:04:29,2023-08-12 18:51:25
relu,2.0,607.917,4536.2,0.0,1711988.0,100.0,0.0,80.0,2023-08-12 19:20:38,2023-08-13 05:28:34
relu,3.0,287.533,4536.2,0.0,868131.0,100.0,0.0,80.0,2023-08-13 05:55:58,2023-08-13 10:43:30
relu,0.0,2.033,4328.0,0.0,65771.0,54.2,0.0,39.0,2023-08-11 21:36:56,2023-08-11 21:38:59
relu,1.0,84.85,4333.9,0.0,1390467.0,97.4,0.0,39.0,2023-08-11 21:43:59,2023-08-11 23:08:51
relu,2.0,37.933,4334.6,0.0,711257.0,99.5,0.0,39.0,2023-08-11 23:13:25,2023-08-11 23:51:21
relu,3.0,16.65,4334.8,0.0,372784.0,99.9,0.0,39.0,2023-08-11 23:55:11,2023-08-12 00:11:51
relu,0.0,0.467,4308.5,0.0,65771.0,39.2,0.0,26.0,2023-08-11 21:45:48,2023-08-11 21:46:17
relu,1.0,14.033,4313.1,0.0,670072.0,90.1,0.0,26.0,2023-08-11 21:47:43,2023-08-11 22:01:46
relu,2.0,6.067,4313.8,0.0,317219.0,95.7,0.0,26.0,2023-08-11 22:03:07,2023-08-11 22:09:12
relu,3.0,2.733,4314.9,0.0,149570.0,98.0,0.0,26.0,2023-08-11 22:10:30,2023-08-11 22:13:14
mean,0.0,18.067,4529.0,0.0,65771.0,63.9,0.0,80.0,2023-08-11 21:52:02,2023-08-11 22:10:07
mean,1.0,1309.733,4540.1,0.0,3361680.0,99.9,0.0,80.0,2023-08-11 22:43:36,2023-08-12 20:33:21
mean,2.0,620.55,4540.4,0.0,1714228.0,100.0,0.0,80.0,2023-08-12 21:02:14,2023-08-13 07:22:48
mean,3.0,303.033,4540.4,0.0,879916.0,100.0,0.0,80.0,2023-08-13 07:47:50,2023-08-13 12:50:53
mean,0.0,2.167,4327.2,0.0,65771.0,55.8,0.0,39.0,2023-08-11 22:15:28,2023-08-11 22:17:39
mean,1.0,89.783,4332.8,0.0,1432392.0,97.7,0.0,39.0,2023-08-11 22:23:07,2023-08-11 23:52:55
mean,2.0,33.3,4334.0,0.0,711303.0,99.5,0.0,39.0,2023-08-11 23:57:11,2023-08-12 00:30:30
mean,3.0,14.3,4341.7,0.0,376539.0,99.9,0.0,39.0,2023-08-12 00:33:51,2023-08-12 00:48:09
mean,0.0,0.5,4308.0,0.0,65771.0,43.2,0.0,26.0,2023-08-11 23:28:23,2023-08-11 23:28:53
mean,1.0,14.767,4314.2,0.0,738192.0,92.3,0.0,26.0,2023-08-11 23:30:27,2023-08-11 23:45:13
mean,2.0,6.65,4314.4,0.0,370356.0,97.2,0.0,26.0,2023-08-11 23:46:36,2023-08-11 23:53:15
mean,3.0,3.033,4314.6,0.0,187117.0,98.9,0.0,26.0,2023-08-11 23:54:33,2023-08-11 23:57:35
