y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,28.0,27.0,27.0,0.017555266579973992,1.0,0.9642857142857143,0,None,80.0,train,qth_0.75
1,1483.0,67.0,67.0,67.0,0.045178691840863115,1.0,1.0,0,None,80.0,train,qth_0.75
2,1473.0,101.0,101.0,101.0,0.06856754921928038,1.0,1.0,0,None,80.0,train,qth_0.75
3,1478.0,72.0,71.0,71.0,0.04803788903924222,1.0,0.9861111111111112,0,None,80.0,train,qth_0.75
4,1528.0,76.0,76.0,76.0,0.049738219895287955,1.0,1.0,0,None,80.0,train,qth_0.75
5,1401.0,110.0,110.0,110.0,0.07851534618129907,1.0,1.0,0,None,80.0,train,qth_0.75
6,1521.0,19.0,19.0,19.0,0.012491781722550954,1.0,1.0,0,None,80.0,train,qth_0.75
7,1508.0,53.0,53.0,53.0,0.035145888594164454,1.0,1.0,0,None,80.0,train,qth_0.75
8,1497.0,56.0,56.0,56.0,0.03740814963259853,1.0,1.0,0,None,80.0,train,qth_0.75
9,1521.0,24.0,24.0,24.0,0.015779092702169626,1.0,1.0,0,None,80.0,train,qth_0.75
10,1447.0,32.0,32.0,32.0,0.0221147201105736,1.0,1.0,0,None,80.0,train,qth_0.75
11,1485.0,38.0,37.0,37.0,0.024915824915824916,1.0,0.9736842105263158,0,None,80.0,train,qth_0.75
12,1478.0,6.0,6.0,6.0,0.0040595399188092015,1.0,1.0,0,None,80.0,train,qth_0.75
13,1477.0,11.0,11.0,11.0,0.007447528774542992,1.0,1.0,0,None,80.0,train,qth_0.75
14,1485.0,3.0,3.0,3.0,0.00202020202020202,1.0,1.0,0,None,80.0,train,qth_0.75
15,1460.0,13.0,12.0,12.0,0.00821917808219178,1.0,0.9230769230769231,0,None,80.0,train,qth_0.75
16,1455.0,18.0,18.0,18.0,0.012371134020618556,1.0,1.0,0,None,80.0,train,qth_0.75
17,1478.0,5.0,5.0,5.0,0.0033829499323410014,1.0,1.0,0,None,80.0,train,qth_0.75
18,1563.0,48.0,48.0,48.0,0.030710172744721688,1.0,1.0,0,None,80.0,train,qth_0.75
19,1504.0,89.0,87.0,87.0,0.05784574468085106,1.0,0.9775280898876404,0,None,80.0,train,qth_0.75
20,1496.0,75.0,73.0,73.0,0.04879679144385027,1.0,0.9733333333333334,0,None,80.0,train,qth_0.75
21,1455.0,58.0,56.0,56.0,0.03848797250859107,1.0,0.9655172413793104,0,None,80.0,train,qth_0.75
22,1527.0,32.0,30.0,30.0,0.019646365422396856,1.0,0.9375,0,None,80.0,train,qth_0.75
23,1467.0,44.0,41.0,41.0,0.02794819359236537,1.0,0.9318181818181818,0,None,80.0,train,qth_0.75
24,1486.0,34.0,33.0,33.0,0.02220726783310902,1.0,0.9705882352941176,0,None,80.0,train,qth_0.75
25,1503.0,57.0,55.0,55.0,0.036593479707252165,1.0,0.9649122807017544,0,None,80.0,train,qth_0.75
26,1532.0,22.0,20.0,20.0,0.013054830287206266,1.0,0.9090909090909091,0,None,80.0,train,qth_0.75
27,1519.0,23.0,22.0,22.0,0.014483212639894667,1.0,0.9565217391304348,0,None,80.0,train,qth_0.75
28,1496.0,52.0,49.0,49.0,0.032754010695187165,1.0,0.9423076923076923,0,None,80.0,train,qth_0.75
29,1496.0,24.0,23.0,23.0,0.01537433155080214,1.0,0.9583333333333334,0,None,80.0,train,qth_0.75
30,1508.0,18.0,18.0,18.0,0.011936339522546418,1.0,1.0,0,None,80.0,train,qth_0.75
31,1472.0,62.0,61.0,61.0,0.041440217391304345,1.0,0.9838709677419355,0,None,80.0,train,qth_0.75
32,1473.0,23.0,23.0,23.0,0.015614392396469789,1.0,1.0,0,None,80.0,train,qth_0.75
33,1464.0,166.0,166.0,166.0,0.1133879781420765,1.0,1.0,0,None,80.0,train,qth_0.75
34,1519.0,89.0,88.0,88.0,0.05793285055957867,1.0,0.9887640449438202,0,None,80.0,train,qth_0.75
35,1492.0,24.0,24.0,24.0,0.0160857908847185,1.0,1.0,0,None,80.0,train,qth_0.75
36,1484.0,106.0,103.0,103.0,0.06940700808625337,1.0,0.9716981132075472,0,None,80.0,train,qth_0.75
37,1475.0,112.0,112.0,112.0,0.0759322033898305,1.0,1.0,0,None,80.0,train,qth_0.75
38,1401.0,158.0,158.0,158.0,0.11277658815132048,1.0,1.0,0,None,80.0,train,qth_0.75
39,1541.0,86.0,84.0,84.0,0.054510058403634,1.0,0.9767441860465116,0,None,80.0,train,qth_0.75
40,1489.0,19.0,19.0,19.0,0.012760241773002015,1.0,1.0,0,None,80.0,train,qth_0.75
41,1461.0,27.0,27.0,27.0,0.018480492813141684,1.0,1.0,0,None,80.0,train,qth_0.75
42,1432.0,26.0,26.0,26.0,0.018156424581005588,1.0,1.0,0,None,80.0,train,qth_0.75
all,63968.0,2206.0,2174.0,2174.0,0.033985742871435715,1.0,0.985494106980961,0,None,80.0,train,qth_0.75
0,1538.0,28.0,27.0,27.0,0.017555266579973992,1.0,0.9642857142857143,1,None,80.0,train,qth_0.75
1,1483.0,67.0,67.0,67.0,0.045178691840863115,1.0,1.0,1,None,80.0,train,qth_0.75
2,1473.0,101.0,101.0,101.0,0.06856754921928038,1.0,1.0,1,None,80.0,train,qth_0.75
3,1478.0,72.0,71.0,71.0,0.04803788903924222,1.0,0.9861111111111112,1,None,80.0,train,qth_0.75
4,1528.0,76.0,76.0,76.0,0.049738219895287955,1.0,1.0,1,None,80.0,train,qth_0.75
5,1401.0,110.0,110.0,110.0,0.07851534618129907,1.0,1.0,1,None,80.0,train,qth_0.75
6,1521.0,19.0,19.0,19.0,0.012491781722550954,1.0,1.0,1,None,80.0,train,qth_0.75
7,1508.0,53.0,53.0,53.0,0.035145888594164454,1.0,1.0,1,None,80.0,train,qth_0.75
8,1497.0,56.0,56.0,56.0,0.03740814963259853,1.0,1.0,1,None,80.0,train,qth_0.75
9,1521.0,24.0,24.0,24.0,0.015779092702169626,1.0,1.0,1,None,80.0,train,qth_0.75
10,1447.0,32.0,32.0,32.0,0.0221147201105736,1.0,1.0,1,None,80.0,train,qth_0.75
11,1485.0,38.0,37.0,37.0,0.024915824915824916,1.0,0.9736842105263158,1,None,80.0,train,qth_0.75
12,1478.0,6.0,6.0,6.0,0.0040595399188092015,1.0,1.0,1,None,80.0,train,qth_0.75
13,1477.0,11.0,11.0,11.0,0.007447528774542992,1.0,1.0,1,None,80.0,train,qth_0.75
14,1485.0,3.0,3.0,3.0,0.00202020202020202,1.0,1.0,1,None,80.0,train,qth_0.75
15,1460.0,13.0,12.0,12.0,0.00821917808219178,1.0,0.9230769230769231,1,None,80.0,train,qth_0.75
16,1455.0,18.0,18.0,18.0,0.012371134020618556,1.0,1.0,1,None,80.0,train,qth_0.75
17,1478.0,5.0,5.0,5.0,0.0033829499323410014,1.0,1.0,1,None,80.0,train,qth_0.75
18,1563.0,48.0,48.0,48.0,0.030710172744721688,1.0,1.0,1,None,80.0,train,qth_0.75
19,1504.0,89.0,87.0,87.0,0.05784574468085106,1.0,0.9775280898876404,1,None,80.0,train,qth_0.75
20,1496.0,75.0,73.0,73.0,0.04879679144385027,1.0,0.9733333333333334,1,None,80.0,train,qth_0.75
21,1455.0,58.0,56.0,56.0,0.03848797250859107,1.0,0.9655172413793104,1,None,80.0,train,qth_0.75
22,1527.0,32.0,30.0,30.0,0.019646365422396856,1.0,0.9375,1,None,80.0,train,qth_0.75
23,1467.0,44.0,41.0,41.0,0.02794819359236537,1.0,0.9318181818181818,1,None,80.0,train,qth_0.75
24,1486.0,34.0,33.0,33.0,0.02220726783310902,1.0,0.9705882352941176,1,None,80.0,train,qth_0.75
25,1503.0,57.0,55.0,55.0,0.036593479707252165,1.0,0.9649122807017544,1,None,80.0,train,qth_0.75
26,1532.0,22.0,20.0,20.0,0.013054830287206266,1.0,0.9090909090909091,1,None,80.0,train,qth_0.75
27,1519.0,23.0,22.0,22.0,0.014483212639894667,1.0,0.9565217391304348,1,None,80.0,train,qth_0.75
28,1496.0,52.0,49.0,49.0,0.032754010695187165,1.0,0.9423076923076923,1,None,80.0,train,qth_0.75
29,1496.0,24.0,23.0,23.0,0.01537433155080214,1.0,0.9583333333333334,1,None,80.0,train,qth_0.75
30,1508.0,18.0,18.0,18.0,0.011936339522546418,1.0,1.0,1,None,80.0,train,qth_0.75
31,1472.0,62.0,61.0,61.0,0.041440217391304345,1.0,0.9838709677419355,1,None,80.0,train,qth_0.75
32,1473.0,23.0,23.0,23.0,0.015614392396469789,1.0,1.0,1,None,80.0,train,qth_0.75
33,1464.0,166.0,166.0,166.0,0.1133879781420765,1.0,1.0,1,None,80.0,train,qth_0.75
34,1519.0,89.0,88.0,88.0,0.05793285055957867,1.0,0.9887640449438202,1,None,80.0,train,qth_0.75
35,1492.0,24.0,24.0,24.0,0.0160857908847185,1.0,1.0,1,None,80.0,train,qth_0.75
36,1484.0,106.0,103.0,103.0,0.06940700808625337,1.0,0.9716981132075472,1,None,80.0,train,qth_0.75
37,1475.0,112.0,112.0,112.0,0.0759322033898305,1.0,1.0,1,None,80.0,train,qth_0.75
38,1401.0,158.0,158.0,158.0,0.11277658815132048,1.0,1.0,1,None,80.0,train,qth_0.75
39,1541.0,86.0,84.0,84.0,0.054510058403634,1.0,0.9767441860465116,1,None,80.0,train,qth_0.75
40,1489.0,19.0,19.0,19.0,0.012760241773002015,1.0,1.0,1,None,80.0,train,qth_0.75
41,1461.0,27.0,27.0,27.0,0.018480492813141684,1.0,1.0,1,None,80.0,train,qth_0.75
42,1432.0,26.0,26.0,26.0,0.018156424581005588,1.0,1.0,1,None,80.0,train,qth_0.75
all,63968.0,2206.0,2174.0,2174.0,0.033985742871435715,1.0,0.985494106980961,1,None,80.0,train,qth_0.75
0,1538.0,28.0,27.0,27.0,0.017555266579973992,1.0,0.9642857142857143,2,None,80.0,train,qth_0.75
1,1483.0,67.0,67.0,67.0,0.045178691840863115,1.0,1.0,2,None,80.0,train,qth_0.75
2,1473.0,101.0,101.0,101.0,0.06856754921928038,1.0,1.0,2,None,80.0,train,qth_0.75
3,1478.0,72.0,71.0,71.0,0.04803788903924222,1.0,0.9861111111111112,2,None,80.0,train,qth_0.75
