y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,28.0,28.0,28.0,0.0182054616384915,1.0,1.0,0,,80.0,train,relu
1,1483.0,67.0,67.0,67.0,0.0451786918408631,1.0,1.0,0,,80.0,train,relu
2,1473.0,101.0,101.0,101.0,0.0685675492192803,1.0,1.0,0,,80.0,train,relu
3,1478.0,72.0,72.0,72.0,0.0487144790257104,1.0,1.0,0,,80.0,train,relu
4,1528.0,76.0,76.0,76.0,0.0497382198952879,1.0,1.0,0,,80.0,train,relu
5,1401.0,110.0,110.0,110.0,0.078515346181299,1.0,1.0,0,,80.0,train,relu
6,1521.0,19.0,19.0,19.0,0.0124917817225509,1.0,1.0,0,,80.0,train,relu
7,1508.0,53.0,53.0,53.0,0.0351458885941644,1.0,1.0,0,,80.0,train,relu
8,1497.0,56.0,56.0,56.0,0.0374081496325985,1.0,1.0,0,,80.0,train,relu
9,1521.0,24.0,24.0,24.0,0.0157790927021696,1.0,1.0,0,,80.0,train,relu
10,1447.0,32.0,32.0,32.0,0.0221147201105736,1.0,1.0,0,,80.0,train,relu
11,1485.0,38.0,38.0,38.0,0.0255892255892255,1.0,1.0,0,,80.0,train,relu
12,1478.0,6.0,6.0,6.0,0.0040595399188092,1.0,1.0,0,,80.0,train,relu
13,1477.0,11.0,11.0,11.0,0.0074475287745429,1.0,1.0,0,,80.0,train,relu
14,1485.0,3.0,3.0,3.0,0.002020202020202,1.0,1.0,0,,80.0,train,relu
15,1460.0,13.0,13.0,13.0,0.008904109589041,1.0,1.0,0,,80.0,train,relu
16,1455.0,18.0,18.0,18.0,0.0123711340206185,1.0,1.0,0,,80.0,train,relu
17,1478.0,5.0,5.0,5.0,0.003382949932341,1.0,1.0,0,,80.0,train,relu
18,1563.0,48.0,48.0,48.0,0.0307101727447216,1.0,1.0,0,,80.0,train,relu
