y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,1538,28,19,19,0,0.0123537061118335,1.0,0.6785714285714286,0,gte_mean,39,train,qth_0.75
1,1483,67,55,55,0,0.0370869858395144,1.0,0.8208955223880597,0,gte_mean,39,train,qth_0.75
2,1473,101,84,84,0,0.0570264765784114,1.0,0.8316831683168316,0,gte_mean,39,train,qth_0.75
3,1478,72,61,61,0,0.0412719891745602,1.0,0.8472222222222222,0,gte_mean,39,train,qth_0.75
4,1528,76,67,67,0,0.043848167539267,1.0,0.881578947368421,0,gte_mean,39,train,qth_0.75
5,1401,110,91,91,0,0.0649536045681656,1.0,0.8272727272727273,0,gte_mean,39,train,qth_0.75
6,1521,19,15,15,0,0.009861932938856,1.0,0.7894736842105263,0,gte_mean,39,train,qth_0.75
7,1508,53,41,41,0,0.0271883289124668,1.0,0.7735849056603774,0,gte_mean,39,train,qth_0.75
8,1497,56,44,44,0,0.0293921175684702,1.0,0.7857142857142857,0,gte_mean,39,train,qth_0.75
9,1521,24,16,16,0,0.0105193951347797,1.0,0.6666666666666666,0,gte_mean,39,train,qth_0.75
10,1447,32,29,29,0,0.0200414651002073,1.0,0.90625,0,gte_mean,39,train,qth_0.75
11,1485,38,18,18,0,0.0121212121212121,1.0,0.47368421052631576,0,gte_mean,39,train,qth_0.75
12,1478,6,4,4,0,0.0027063599458728,1.0,0.6666666666666666,0,gte_mean,39,train,qth_0.75
13,1477,11,10,10,0,0.0067704807041299,1.0,0.9090909090909091,0,gte_mean,39,train,qth_0.75
14,1485,3,1,1,0,0.0006734006734006,1.0,0.3333333333333333,0,gte_mean,39,train,qth_0.75
15,1460,13,8,8,0,0.0054794520547945,1.0,0.6153846153846154,0,gte_mean,39,train,qth_0.75
16,1455,18,14,14,0,0.0096219931271477,1.0,0.7777777777777778,0,gte_mean,39,train,qth_0.75
17,1478,5,1,1,0,0.0006765899864682,1.0,0.2,0,gte_mean,39,train,qth_0.75
18,1563,48,35,35,0,0.0223928342930262,1.0,0.7291666666666666,0,gte_mean,39,train,qth_0.75
19,1504,89,74,74,0,0.0492021276595744,1.0,0.8314606741573034,0,gte_mean,39,train,qth_0.75
20,1496,75,57,57,0,0.0381016042780748,1.0,0.76,0,gte_mean,39,train,qth_0.75
