y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,1538.0,28.0,20.0,20.0,0.0130039011703511,1.0,0.7142857142857143,0,top_third,26.0,train,qth_0.25
1,1483.0,67.0,38.0,38.0,0.0256237356709372,1.0,0.5671641791044776,0,top_third,26.0,train,qth_0.25
2,1473.0,101.0,55.0,55.0,0.0373387644263408,1.0,0.5445544554455446,0,top_third,26.0,train,qth_0.25
3,1478.0,72.0,30.0,30.0,0.020297699594046,1.0,0.4166666666666667,0,top_third,26.0,train,qth_0.25
4,1528.0,76.0,34.0,34.0,0.0222513089005235,1.0,0.4473684210526316,0,top_third,26.0,train,qth_0.25
5,1401.0,110.0,54.0,54.0,0.038543897216274,1.0,0.4909090909090909,0,top_third,26.0,train,qth_0.25
6,1521.0,19.0,17.0,17.0,0.0111768573307034,1.0,0.8947368421052632,0,top_third,26.0,train,qth_0.25
7,1508.0,53.0,26.0,26.0,0.0172413793103448,1.0,0.490566037735849,0,top_third,26.0,train,qth_0.25
8,1497.0,56.0,29.0,29.0,0.0193720774883099,1.0,0.5178571428571429,0,top_third,26.0,train,qth_0.25
9,1521.0,24.0,12.0,12.0,0.0078895463510848,1.0,0.5,0,top_third,26.0,train,qth_0.25
10,1447.0,32.0,22.0,22.0,0.0152038700760193,1.0,0.6875,0,top_third,26.0,train,qth_0.25
11,1485.0,38.0,22.0,22.0,0.0148148148148148,1.0,0.5789473684210527,0,top_third,26.0,train,qth_0.25
12,1478.0,6.0,6.0,6.0,0.0040595399188092,1.0,1.0,0,top_third,26.0,train,qth_0.25
13,1477.0,11.0,8.0,8.0,0.0054163845633039,1.0,0.7272727272727273,0,top_third,26.0,train,qth_0.25
14,1485.0,3.0,2.0,2.0,0.0013468013468013,1.0,0.6666666666666666,0,top_third,26.0,train,qth_0.25
15,1460.0,13.0,9.0,9.0,0.0061643835616438,1.0,0.6923076923076923,0,top_third,26.0,train,qth_0.25
16,1455.0,18.0,11.0,11.0,0.0075601374570446,1.0,0.6111111111111112,0,top_third,26.0,train,qth_0.25
17,1478.0,5.0,2.0,2.0,0.0013531799729364,1.0,0.4,0,top_third,26.0,train,qth_0.25
18,1563.0,48.0,30.0,30.0,0.019193857965451,1.0,0.625,0,top_third,26.0,train,qth_0.25
19,1504.0,89.0,43.0,43.0,0.0285904255319148,1.0,0.4831460674157303,0,top_third,26.0,train,qth_0.25
20,1496.0,75.0,33.0,33.0,0.0220588235294117,1.0,0.44,0,top_third,26.0,train,qth_0.25
21,1455.0,58.0,28.0,28.0,0.0192439862542955,1.0,0.4827586206896552,0,top_third,26.0,train,qth_0.25
22,1527.0,32.0,20.0,20.0,0.0130975769482645,1.0,0.625,0,top_third,26.0,train,qth_0.25
23,1467.0,44.0,30.0,30.0,0.0204498977505112,1.0,0.6818181818181818,0,top_third,26.0,train,qth_0.25
24,1486.0,34.0,22.0,22.0,0.0148048452220726,1.0,0.6470588235294118,0,top_third,26.0,train,qth_0.25
25,1503.0,57.0,37.0,37.0,0.0246174318030605,1.0,0.6491228070175439,0,top_third,26.0,train,qth_0.25
26,1532.0,22.0,11.0,11.0,0.0071801566579634,1.0,0.5,0,top_third,26.0,train,qth_0.25
27,1519.0,23.0,16.0,16.0,0.010533245556287,1.0,0.6956521739130435,0,top_third,26.0,train,qth_0.25
28,1496.0,52.0,30.0,30.0,0.0200534759358288,1.0,0.5769230769230769,0,top_third,26.0,train,qth_0.25
29,1496.0,24.0,17.0,17.0,0.0113636363636363,1.0,0.7083333333333334,0,top_third,26.0,train,qth_0.25
30,1508.0,18.0,9.0,9.0,0.0059681697612732,1.0,0.5,0,top_third,26.0,train,qth_0.25
31,1472.0,62.0,29.0,29.0,0.0197010869565217,1.0,0.4677419354838709,0,top_third,26.0,train,qth_0.25
32,1473.0,23.0,18.0,18.0,0.0122199592668024,1.0,0.782608695652174,0,top_third,26.0,train,qth_0.25
33,1464.0,166.0,154.0,154.0,0.1051912568306011,1.0,0.927710843373494,0,top_third,26.0,train,qth_0.25
34,1519.0,89.0,72.0,72.0,0.0473996050032916,1.0,0.8089887640449438,0,top_third,26.0,train,qth_0.25
35,1492.0,24.0,20.0,20.0,0.0134048257372654,1.0,0.8333333333333334,0,top_third,26.0,train,qth_0.25
36,1484.0,106.0,98.0,98.0,0.0660377358490566,1.0,0.9245283018867924,0,top_third,26.0,train,qth_0.25
37,1475.0,112.0,103.0,103.0,0.0698305084745762,1.0,0.9196428571428572,0,top_third,26.0,train,qth_0.25
38,1401.0,158.0,149.0,149.0,0.1063526052819414,1.0,0.9430379746835444,0,top_third,26.0,train,qth_0.25
39,1541.0,86.0,79.0,79.0,0.0512654120700843,1.0,0.9186046511627908,0,top_third,26.0,train,qth_0.25
40,1489.0,19.0,17.0,17.0,0.0114170584284754,1.0,0.8947368421052632,0,top_third,26.0,train,qth_0.25
41,1461.0,27.0,21.0,21.0,0.0143737166324435,1.0,0.7777777777777778,0,top_third,26.0,train,qth_0.25
42,1432.0,26.0,19.0,19.0,0.013268156424581,1.0,0.7307692307692307,0,top_third,26.0,train,qth_0.25
all,63968.0,2206.0,1502.0,1502.0,0.0234804902451225,1.0,0.6808703535811423,0,top_third,26.0,train,qth_0.25
0,1538.0,28.0,20.0,20.0,0.0130039011703511,1.0,0.7142857142857143,1,top_third,26.0,train,qth_0.25
1,1483.0,67.0,38.0,38.0,0.0256237356709372,1.0,0.5671641791044776,1,top_third,26.0,train,qth_0.25
2,1473.0,101.0,55.0,55.0,0.0373387644263408,1.0,0.5445544554455446,1,top_third,26.0,train,qth_0.25
3,1478.0,72.0,30.0,30.0,0.020297699594046,1.0,0.4166666666666667,1,top_third,26.0,train,qth_0.25
4,1528.0,76.0,34.0,34.0,0.0222513089005235,1.0,0.4473684210526316,1,top_third,26.0,train,qth_0.25
5,1401.0,110.0,54.0,54.0,0.038543897216274,1.0,0.4909090909090909,1,top_third,26.0,train,qth_0.25
6,1521.0,19.0,17.0,17.0,0.0111768573307034,1.0,0.8947368421052632,1,top_third,26.0,train,qth_0.25
7,1508.0,53.0,26.0,26.0,0.0172413793103448,1.0,0.490566037735849,1,top_third,26.0,train,qth_0.25
8,1497.0,56.0,29.0,29.0,0.0193720774883099,1.0,0.5178571428571429,1,top_third,26.0,train,qth_0.25
9,1521.0,24.0,12.0,12.0,0.0078895463510848,1.0,0.5,1,top_third,26.0,train,qth_0.25
10,1447.0,32.0,22.0,22.0,0.0152038700760193,1.0,0.6875,1,top_third,26.0,train,qth_0.25
11,1485.0,38.0,22.0,22.0,0.0148148148148148,1.0,0.5789473684210527,1,top_third,26.0,train,qth_0.25
12,1478.0,6.0,6.0,6.0,0.0040595399188092,1.0,1.0,1,top_third,26.0,train,qth_0.25
13,1477.0,11.0,8.0,8.0,0.0054163845633039,1.0,0.7272727272727273,1,top_third,26.0,train,qth_0.25
14,1485.0,3.0,2.0,2.0,0.0013468013468013,1.0,0.6666666666666666,1,top_third,26.0,train,qth_0.25
15,1460.0,13.0,9.0,9.0,0.0061643835616438,1.0,0.6923076923076923,1,top_third,26.0,train,qth_0.25
16,1455.0,18.0,11.0,11.0,0.0075601374570446,1.0,0.6111111111111112,1,top_third,26.0,train,qth_0.25
17,1478.0,5.0,2.0,2.0,0.0013531799729364,1.0,0.4,1,top_third,26.0,train,qth_0.25
18,1563.0,48.0,30.0,30.0,0.019193857965451,1.0,0.625,1,top_third,26.0,train,qth_0.25
19,1504.0,89.0,43.0,43.0,0.0285904255319148,1.0,0.4831460674157303,1,top_third,26.0,train,qth_0.25
20,1496.0,75.0,33.0,33.0,0.0220588235294117,1.0,0.44,1,top_third,26.0,train,qth_0.25
21,1455.0,58.0,28.0,28.0,0.0192439862542955,1.0,0.4827586206896552,1,top_third,26.0,train,qth_0.25
22,1527.0,32.0,20.0,20.0,0.0130975769482645,1.0,0.625,1,top_third,26.0,train,qth_0.25
23,1467.0,44.0,30.0,30.0,0.0204498977505112,1.0,0.6818181818181818,1,top_third,26.0,train,qth_0.25
24,1486.0,34.0,22.0,22.0,0.0148048452220726,1.0,0.6470588235294118,1,top_third,26.0,train,qth_0.25
25,1503.0,57.0,37.0,37.0,0.0246174318030605,1.0,0.6491228070175439,1,top_third,26.0,train,qth_0.25
26,1532.0,22.0,11.0,11.0,0.0071801566579634,1.0,0.5,1,top_third,26.0,train,qth_0.25
27,1519.0,23.0,16.0,16.0,0.010533245556287,1.0,0.6956521739130435,1,top_third,26.0,train,qth_0.25
