number,values_0,values_1,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchnorm,params_batchsize,params_dropout,params_lr,params_optimizer,state
9,0.09304658738195834,0.9708009958267212,2023-04-07 13:54:27.096563,2023-04-07 13:57:03.283920,0 days 00:02:36.187357,0.0,0.0,0,32,0.0,0.001,Adam,COMPLETE
15,0.2737406740178827,0.947028398513794,2023-04-07 14:09:03.384520,2023-04-07 14:11:19.556379,0 days 00:02:16.171859,0.001,0.001,1,64,0.3,0.001,Adam,COMPLETE
24,0.5058566597867603,0.936692476272583,2023-04-07 14:29:11.983595,2023-04-07 14:31:50.079446,0 days 00:02:38.095851,0.001,0.01,1,32,0.3,0.001,Adam,COMPLETE
23,0.29230670582863594,0.9310077428817749,2023-04-07 14:27:02.412300,2023-04-07 14:29:11.981055,0 days 00:02:09.568755,0.001,0.0,0,128,0.0,0.001,Adam,COMPLETE
16,0.7580295531980453,0.9299741387367249,2023-04-07 14:11:19.558921,2023-04-07 14:13:27.955444,0 days 00:02:08.396523,0.001,0.01,1,128,0.2,0.001,Adam,COMPLETE
18,0.5731264929617604,0.8886304497718811,2023-04-07 14:15:42.398146,2023-04-07 14:17:52.089787,0 days 00:02:09.691641,0.001,0.0,0,128,0.2,0.01,SGD,COMPLETE
21,0.42800501361489296,0.8775193691253662,2023-04-07 14:22:17.296658,2023-04-07 14:24:23.799462,0 days 00:02:06.502804,0.001,0.0,1,256,0.2,0.01,Adam,COMPLETE
19,0.4930057227611542,0.8558139204978943,2023-04-07 14:17:52.092158,2023-04-07 14:19:57.239862,0 days 00:02:05.147704,0.001,0.0,1,256,0.3,0.01,Adam,COMPLETE
11,0.5081236685110517,0.8498707413673401,2023-04-07 13:59:08.845183,2023-04-07 14:01:50.131725,0 days 00:02:41.286542,0.001,0.0,1,32,0.1,0.01,Adam,COMPLETE
17,0.5620490024166722,0.8472867608070374,2023-04-07 14:13:27.958767,2023-04-07 14:15:42.396117,0 days 00:02:14.437350,0.001,0.001,1,128,0.3,0.01,Adam,COMPLETE
5,0.9802362630444188,0.8369508981704712,2023-04-07 13:45:24.438379,2023-04-07 13:47:34.107493,0 days 00:02:09.669114,0.01,0.001,1,128,0.2,0.001,Adam,COMPLETE
20,0.8998046585770904,0.8144702315330505,2023-04-07 14:19:57.243231,2023-04-07 14:22:17.294054,0 days 00:02:20.050823,0.0,0.01,1,64,0.2,0.01,Adam,COMPLETE
0,0.7912320953900697,0.7811369299888611,2023-04-07 13:33:49.340329,2023-04-07 13:36:15.741581,0 days 00:02:26.401252,0.0,0.01,0,64,0.3,0.01,Adam,COMPLETE
13,1.2479569837450981,0.7403100728988647,2023-04-07 14:04:20.322914,2023-04-07 14:06:26.676332,0 days 00:02:06.353418,0.0,0.01,0,256,0.0,0.01,SGD,COMPLETE
22,1.6855445223406327,0.7255813479423523,2023-04-07 14:24:23.801896,2023-04-07 14:27:02.409753,0 days 00:02:38.607857,0.01,0.001,1,32,0.0,0.001,SGD,COMPLETE
2,1.0565845956487103,0.7064599394798279,2023-04-07 13:38:21.299156,2023-04-07 13:40:52.862392,0 days 00:02:31.563236,0.0,0.01,0,32,0.3,0.01,Adam,COMPLETE
7,1.605722963809967,0.6932816505432129,2023-04-07 13:49:42.380643,2023-04-07 13:51:47.947529,0 days 00:02:05.566886,0.001,0.0,1,256,0.3,0.01,SGD,COMPLETE
12,1.7927164538832736,0.6775193810462952,2023-04-07 14:01:50.134117,2023-04-07 14:04:20.320103,0 days 00:02:30.185986,0.001,0.01,1,32,0.2,0.001,SGD,COMPLETE
8,2.0538808087672082,0.3883720636367798,2023-04-07 13:51:47.949177,2023-04-07 13:54:27.093849,0 days 00:02:39.144672,0.01,0.01,0,32,0.2,0.001,Adam,COMPLETE
10,2.288639545440674,0.37467697262763977,2023-04-07 13:57:03.286671,2023-04-07 13:59:08.843771,0 days 00:02:05.557100,0.01,0.0,0,256,0.2,0.001,Adam,COMPLETE
25,2.9638770088072746,0.302842378616333,2023-04-07 14:31:50.081898,2023-04-07 14:34:01.005167,0 days 00:02:10.923269,0.01,0.001,0,128,0.3,0.001,SGD,COMPLETE
6,2.880355865724625,0.29741600155830383,2023-04-07 13:47:34.109161,2023-04-07 13:49:42.378154,0 days 00:02:08.268993,0.01,0.01,1,128,0.1,0.001,SGD,COMPLETE
3,3.326653031052136,0.15452195703983307,2023-04-07 13:40:52.865857,2023-04-07 13:43:16.358848,0 days 00:02:23.492991,0.01,0.001,1,64,0.0,0.01,Adam,COMPLETE
4,3.3665555268526077,0.1436692476272583,2023-04-07 13:43:16.365906,2023-04-07 13:45:24.436090,0 days 00:02:08.070184,0.01,0.001,0,256,0.2,0.001,SGD,COMPLETE
1,3.519621565937996,0.02894056774675846,2023-04-07 13:36:15.744936,2023-04-07 13:38:21.297088,0 days 00:02:05.552152,0.01,0.001,0,256,0.2,0.01,Adam,COMPLETE
14,3.761199962994284,0.021963823586702347,2023-04-07 14:06:26.696771,2023-04-07 14:09:03.382124,0 days 00:02:36.685353,0.01,0.01,0,32,0.0,0.01,Adam,COMPLETE
