optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,128.0,0.001,L2,0.001,0.0,0.0,0.9556962251663208,0.20196677148342132,0.9958655834197998,0.05882242206514867,128.117
Adam,128.0,0.001,L2,0.01,0.0,0.0,0.9541139602661133,0.6363999724388123,0.9867570400238037,0.34367246051465183,127.145
Adam,32.0,0.001,Dropout,0.0,0.0,0.3,0.9509493708610535,0.1440687207505107,0.9795865416526794,0.07779850020777619,141.991
Adam,32.0,0.001,L2-Dropout,0.001,0.0,0.3,0.9509493708610535,0.1883741958066821,0.975452184677124,0.12779135678409914,150.114
Adam,128.0,0.001,L2-Dropout,0.01,0.0,0.3,0.949367105960846,0.5474356770515442,0.9777131676673889,0.4093017654478057,128.422
Adam,256.0,0.001,L2,0.01,0.0,0.0,0.949367105960846,0.6622892022132874,0.9914082288742065,0.3166027709108884,117.27
Adam,128.0,0.001,Dropout,0.0,0.0,0.3,0.9477848410606384,0.206136354804039,0.9817183017730713,0.1009974216134095,129.107
Adam,64.0,0.001,Dropout,0.0,0.0,0.3,0.9462025761604309,0.19680712819099427,0.9846252799034119,0.07075777545971565,134.518
Adam,256.0,0.001,L2-Dropout,0.01,0.0,0.3,0.9462025761604309,0.7548276583353678,0.9793927073478699,0.39903119841559986,113.444
Adam,32.0,0.001,No Regularization,0.0,0.0,0.0,0.9446202516555786,0.2124475406948477,0.9936046004295349,0.032008794587575023,172.573
Adam,64.0,0.001,L2,0.01,0.0,0.0,0.9446202516555786,0.8393588900566101,0.9833332896232605,0.35243788306131835,139.184
Adam,64.0,0.001,L2-Dropout,0.001,0.0,0.3,0.9430379867553711,0.20533527433872223,0.9852712750434875,0.0997095804753875,144.483
Adam,32.0,0.001,L2,0.01,0.0,0.0,0.9430379867553711,0.5516553550958634,0.9740309715270996,0.3962122716071192,151.891
Adam,128.0,0.001,No Regularization,0.0,0.0,0.0,0.9414557218551636,0.22439377903938293,0.9976097941398621,0.03465631422548255,128.93
