y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
1,6742,135,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
2,5958,361,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
3,6131,260,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
4,5842,170,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
5,5421,218,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
6,5918,90,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
7,6265,211,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
8,5851,249,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
9,5949,256,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
all,60000,1992,0,0,0,0.0,0.0,0.0,0,components,8,train,qth_0.5
0,5923,42,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
1,6742,135,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
2,5958,361,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
3,6131,260,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
4,5842,170,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
5,5421,218,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
6,5918,90,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
7,6265,211,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
8,5851,249,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
9,5949,256,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
all,60000,1992,0,0,0,0.0,0.0,0.0,1,components,8,train,qth_0.5
0,5923,42,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
1,6742,135,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
2,5958,361,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
3,6131,260,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
4,5842,170,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
5,5421,218,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
6,5918,90,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
7,6265,211,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
8,5851,249,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
9,5949,256,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
all,60000,1992,0,0,0,0.0,0.0,0.0,2,components,8,train,qth_0.5
0,5923,42,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
1,6742,135,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
2,5958,361,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
3,6131,260,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
4,5842,170,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
5,5421,218,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
6,5918,90,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
7,6265,211,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
8,5851,249,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
9,5949,256,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
all,60000,1992,0,0,0,0.0,0.0,0.0,3,components,8,train,qth_0.5
0,979,7,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.5
1,1133,11,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.5
2,1030,51,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.5
3,1008,39,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.5
4,980,27,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.5
5,890,28,0,0,0,0.0,0.0,0.0,0,components,8,test,qth_0.5
