y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
1,6742,135,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
2,5958,361,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
3,6131,260,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
4,5842,170,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
5,5421,218,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
6,5918,90,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
7,6265,211,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
8,5851,249,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
9,5949,256,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
all,60000,1992,0,0,0,0.0,0.0,0.0,0,components,8,train,relu
0,5923,42,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
1,6742,135,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
2,5958,361,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
3,6131,260,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
4,5842,170,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
5,5421,218,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
6,5918,90,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
7,6265,211,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
8,5851,249,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
9,5949,256,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
all,60000,1992,0,0,0,0.0,0.0,0.0,1,components,8,train,relu
0,5923,42,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
1,6742,135,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
2,5958,361,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
3,6131,260,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
4,5842,170,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
5,5421,218,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
6,5918,90,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
7,6265,211,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
8,5851,249,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
9,5949,256,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
all,60000,1992,0,0,0,0.0,0.0,0.0,2,components,8,train,relu
0,5923,42,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
1,6742,135,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
2,5958,361,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
3,6131,260,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
4,5842,170,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
5,5421,218,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
6,5918,90,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
7,6265,211,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
8,5851,249,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
9,5949,256,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
all,60000,1992,0,0,0,0.0,0.0,0.0,3,components,8,train,relu
0,979,7,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
1,1133,11,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
2,1030,51,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
3,1008,39,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
4,980,27,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
5,890,28,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
6,956,22,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
7,1027,45,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
8,973,38,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
9,1008,35,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
all,9984,303,0,0,0,0.0,0.0,0.0,0,components,8,test,relu
0,979,7,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
1,1133,11,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
2,1030,51,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
3,1008,39,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
4,980,27,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
5,890,28,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
6,956,22,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
7,1027,45,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
8,973,38,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
9,1008,35,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
all,9984,303,0,0,0,0.0,0.0,0.0,1,components,8,test,relu
0,979,7,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
1,1133,11,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
2,1030,51,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
3,1008,39,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
4,980,27,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
5,890,28,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
6,956,22,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
7,1027,45,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
8,973,38,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
9,1008,35,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
all,9984,303,0,0,0,0.0,0.0,0.0,2,components,8,test,relu
0,979,7,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
1,1133,11,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
2,1030,51,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
3,1008,39,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
4,980,27,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
5,890,28,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
6,956,22,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
7,1027,45,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
8,973,38,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
9,1008,35,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
all,9984,303,0,0,0,0.0,0.0,0.0,3,components,8,test,relu
1,1000,1000,0,0,0,0.0,0.0,0.0,0,components,8,evaluation,relu
all,1000,1000,0,0,0,0.0,0.0,0.0,0,components,8,evaluation,relu
1,1000,1000,0,0,0,0.0,0.0,0.0,1,components,8,evaluation,relu
all,1000,1000,0,0,0,0.0,0.0,0.0,1,components,8,evaluation,relu
1,1000,1000,0,0,0,0.0,0.0,0.0,2,components,8,evaluation,relu
all,1000,1000,0,0,0,0.0,0.0,0.0,2,components,8,evaluation,relu
1,1000,1000,0,0,0,0.0,0.0,0.0,3,components,8,evaluation,relu
all,1000,1000,0,0,0,0.0,0.0,0.0,3,components,8,evaluation,relu
