thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,24.083,4464.2,0.0,67689.0,81.2,0.0,100.0,2023-08-16 08:03:47,2023-08-16 08:27:53,
qth_0.75,1.0,2258.233,4766.1,0.0,5493200.0,98.8,0.0,100.0,2023-08-16 09:12:53,2023-08-17 22:51:08,
qth_0.75,2.0,1288.65,4865.3,0.0,3357256.0,99.9,0.0,100.0,2023-08-17 23:30:24,2023-08-18 20:59:03,
qth_0.75,3.0,689.65,4871.5,0.0,2270806.0,100.0,0.0,100.0,2023-08-18 21:29:04,2023-08-19 08:58:44,
qth_0.75,0.0,1.367,4316.5,0.0,67689.0,35.3,0.0,45.0,2023-08-16 08:03:47,2023-08-16 08:05:09,gte_mean
qth_0.75,1.0,70.55,4333.1,0.0,1073880.0,93.2,0.0,45.0,2023-08-16 08:10:04,2023-08-16 09:20:38,gte_mean
qth_0.75,2.0,40.883,4334.8,0.0,660710.0,98.9,0.0,45.0,2023-08-16 09:25:08,2023-08-16 10:06:01,gte_mean
qth_0.75,3.0,27.767,4336.5,0.0,458136.0,99.8,0.0,45.0,2023-08-16 10:10:25,2023-08-16 10:38:11,gte_mean
qth_0.75,0.0,0.367,4308.4,0.0,67689.0,20.3,0.0,33.0,2023-08-16 08:03:45,2023-08-16 08:04:08,top_third
qth_0.75,1.0,14.85,4314.1,0.0,452463.0,88.4,0.0,33.0,2023-08-16 08:06:05,2023-08-16 08:20:57,top_third
qth_0.75,2.0,7.817,4315.3,0.0,261277.0,97.5,0.0,33.0,2023-08-16 08:22:40,2023-08-16 08:30:29,top_third
qth_0.75,3.0,4.85,4315.5,0.0,168289.0,99.5,0.0,33.0,2023-08-16 08:32:13,2023-08-16 08:37:04,top_third
qth_0.5,0.0,45.55,4633.8,0.0,67689.0,98.4,0.0,100.0,2023-08-16 08:03:49,2023-08-16 08:49:23,
qth_0.5,1.0,4154.133,4954.5,0.0,6657600.0,99.8,0.0,100.0,2023-08-16 09:56:17,2023-08-19 07:10:26,
qth_0.5,2.0,1073.267,4968.8,0.0,3234821.0,100.0,0.0,100.0,2023-08-19 07:48:20,2023-08-20 01:41:36,
qth_0.5,3.0,454.783,4976.8,0.0,1537874.0,100.0,0.0,100.0,2023-08-20 02:04:18,2023-08-20 09:39:06,
qth_0.5,0.0,4.083,4334.0,0.0,67689.0,75.7,0.0,45.0,2023-08-16 08:03:55,2023-08-16 08:08:00,gte_mean
qth_0.5,1.0,187.217,4375.6,0.0,2304900.0,96.6,0.0,45.0,2023-08-16 08:16:05,2023-08-16 11:23:19,gte_mean
qth_0.5,2.0,93.25,4377.7,0.0,1223405.0,99.3,0.0,45.0,2023-08-16 11:30:32,2023-08-16 13:03:48,gte_mean
qth_0.5,3.0,49.967,4382.7,0.0,684843.0,99.8,0.0,45.0,2023-08-16 13:10:40,2023-08-16 14:00:39,gte_mean
qth_0.5,0.0,1.3,4314.6,0.0,67689.0,55.2,0.0,33.0,2023-08-16 08:03:58,2023-08-16 08:05:17,top_third
qth_0.5,1.0,49.483,4326.2,0.0,1232550.0,91.5,0.0,33.0,2023-08-16 08:08:35,2023-08-16 08:58:05,top_third
qth_0.5,2.0,22.117,4327.2,0.0,594130.0,97.4,0.0,33.0,2023-08-16 09:01:13,2023-08-16 09:23:21,top_third
qth_0.5,3.0,10.517,4328.0,0.0,290914.0,99.1,0.0,33.0,2023-08-16 09:26:30,2023-08-16 09:37:02,top_third
qth_0.25,0.0,45.417,4646.1,0.0,67689.0,99.0,0.0,100.0,2023-08-16 08:04:04,2023-08-16 08:49:31,
qth_0.25,1.0,4101.317,4933.1,0.0,6698200.0,99.9,0.0,100.0,2023-08-16 09:50:08,2023-08-19 06:11:28,
qth_0.25,2.0,1347.6,4934.6,0.0,4166903.0,100.0,0.0,100.0,2023-08-19 06:47:27,2023-08-20 05:15:05,
qth_0.25,3.0,876.583,4935.2,0.0,2892465.0,100.0,0.0,100.0,2023-08-20 05:40:00,2023-08-20 20:16:36,
qth_0.25,0.0,3.883,4333.6,0.0,67689.0,77.6,0.0,45.0,2023-08-16 08:04:05,2023-08-16 08:07:58,gte_mean
qth_0.25,1.0,179.45,4370.1,0.0,2364930.0,96.2,0.0,45.0,2023-08-16 08:15:11,2023-08-16 11:14:39,gte_mean
qth_0.25,2.0,104.533,4375.0,0.0,1469352.0,99.1,0.0,45.0,2023-08-16 11:21:19,2023-08-16 13:05:52,gte_mean
qth_0.25,3.0,68.517,4377.1,0.0,1016975.0,99.8,0.0,45.0,2023-08-16 13:12:10,2023-08-16 14:20:41,gte_mean
qth_0.25,0.0,1.133,4313.8,0.0,67689.0,53.0,0.0,33.0,2023-08-16 08:04:10,2023-08-16 08:05:19,top_third
qth_0.25,1.0,44.0,4327.1,0.0,1184898.0,89.2,0.0,33.0,2023-08-16 08:08:11,2023-08-16 08:52:11,top_third
qth_0.25,2.0,23.367,4328.6,0.0,684800.0,97.2,0.0,33.0,2023-08-16 08:54:54,2023-08-16 09:18:16,top_third
qth_0.25,3.0,14.483,4328.8,0.0,446312.0,99.4,0.0,33.0,2023-08-16 09:20:59,2023-08-16 09:35:29,top_third
relu,0.0,33.683,4474.7,0.0,67689.0,90.0,0.0,100.0,2023-08-16 08:04:20,2023-08-16 08:38:02,
relu,1.0,3243.6,4805.6,0.0,6093300.0,99.4,0.0,100.0,2023-08-16 09:36:24,2023-08-18 15:40:02,
relu,2.0,1234.117,4805.6,0.0,3189963.0,100.0,0.0,100.0,2023-08-18 16:26:24,2023-08-19 13:00:31,
relu,3.0,475.2,4805.6,0.0,1734033.0,100.0,0.0,100.0,2023-08-19 13:27:30,2023-08-19 21:22:42,
relu,0.0,2.417,4318.5,0.0,67689.0,51.6,0.0,45.0,2023-08-16 08:39:56,2023-08-16 08:42:22,gte_mean
relu,1.0,120.233,4339.2,0.0,1570590.0,94.5,0.0,45.0,2023-08-16 08:49:02,2023-08-16 10:49:17,gte_mean
relu,2.0,63.167,4339.4,0.0,875938.0,99.0,0.0,45.0,2023-08-16 10:55:16,2023-08-16 11:58:27,gte_mean
relu,3.0,36.1,4342.2,0.0,526242.0,99.7,0.0,45.0,2023-08-16 12:04:11,2023-08-16 12:40:17,gte_mean
relu,0.0,0.6,4309.0,0.0,67689.0,29.0,0.0,33.0,2023-08-16 09:39:18,2023-08-16 09:39:54,top_third
relu,1.0,23.267,4315.8,0.0,647460.0,89.6,0.0,33.0,2023-08-16 09:42:17,2023-08-16 10:05:33,top_third
relu,2.0,10.633,4316.4,0.0,324430.0,97.3,0.0,33.0,2023-08-16 10:07:43,2023-08-16 10:18:22,top_third
relu,3.0,5.4,4316.5,0.0,172962.0,99.3,0.0,33.0,2023-08-16 10:20:31,2023-08-16 10:25:56,top_third
mean,0.0,38.733,4611.1,0.0,67689.0,94.7,0.0,100.0,2023-08-16 09:41:25,2023-08-16 10:20:10,
