y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,0,gte_mean,45,train,mean
1,6742,135,128,128,0,0.0189854642539305,1.0,0.9481481481481482,0,gte_mean,45,train,mean
2,5958,361,344,344,0,0.057737495803961,1.0,0.9529085872576177,0,gte_mean,45,train,mean
3,6131,260,252,252,0,0.0411025933779155,1.0,0.9692307692307692,0,gte_mean,45,train,mean
4,5842,170,160,160,0,0.0273878808627182,1.0,0.9411764705882353,0,gte_mean,45,train,mean
5,5421,218,209,209,0,0.038553772366722,1.0,0.9587155963302753,0,gte_mean,45,train,mean
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,0,gte_mean,45,train,mean
7,6265,211,198,198,0,0.0316041500399042,1.0,0.9383886255924171,0,gte_mean,45,train,mean
8,5851,249,246,246,0,0.0420440950264911,1.0,0.9879518072289156,0,gte_mean,45,train,mean
9,5949,256,242,242,0,0.0406791057320558,1.0,0.9453125,0,gte_mean,45,train,mean
all,60000,1992,1901,1901,0,0.0316833333333333,1.0,0.9543172690763052,0,gte_mean,45,train,mean
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,1,gte_mean,45,train,mean
1,6742,135,128,128,0,0.0189854642539305,1.0,0.9481481481481482,1,gte_mean,45,train,mean
2,5958,361,344,344,0,0.057737495803961,1.0,0.9529085872576177,1,gte_mean,45,train,mean
3,6131,260,252,252,0,0.0411025933779155,1.0,0.9692307692307692,1,gte_mean,45,train,mean
4,5842,170,160,160,0,0.0273878808627182,1.0,0.9411764705882353,1,gte_mean,45,train,mean
5,5421,218,209,209,0,0.038553772366722,1.0,0.9587155963302753,1,gte_mean,45,train,mean
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,1,gte_mean,45,train,mean
7,6265,211,198,198,0,0.0316041500399042,1.0,0.9383886255924171,1,gte_mean,45,train,mean
8,5851,249,246,246,0,0.0420440950264911,1.0,0.9879518072289156,1,gte_mean,45,train,mean
9,5949,256,242,242,0,0.0406791057320558,1.0,0.9453125,1,gte_mean,45,train,mean
all,60000,1992,1901,1901,0,0.0316833333333333,1.0,0.9543172690763052,1,gte_mean,45,train,mean
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,2,gte_mean,45,train,mean
1,6742,135,128,128,0,0.0189854642539305,1.0,0.9481481481481482,2,gte_mean,45,train,mean
2,5958,361,344,344,0,0.057737495803961,1.0,0.9529085872576177,2,gte_mean,45,train,mean
3,6131,260,252,252,0,0.0411025933779155,1.0,0.9692307692307692,2,gte_mean,45,train,mean
4,5842,170,160,160,0,0.0273878808627182,1.0,0.9411764705882353,2,gte_mean,45,train,mean
5,5421,218,209,209,0,0.038553772366722,1.0,0.9587155963302753,2,gte_mean,45,train,mean
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,2,gte_mean,45,train,mean
7,6265,211,198,198,0,0.0316041500399042,1.0,0.9383886255924171,2,gte_mean,45,train,mean
8,5851,249,246,246,0,0.0420440950264911,1.0,0.9879518072289156,2,gte_mean,45,train,mean
9,5949,256,242,242,0,0.0406791057320558,1.0,0.9453125,2,gte_mean,45,train,mean
all,60000,1992,1901,1901,0,0.0316833333333333,1.0,0.9543172690763052,2,gte_mean,45,train,mean
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,3,gte_mean,45,train,mean
1,6742,135,128,128,0,0.0189854642539305,1.0,0.9481481481481482,3,gte_mean,45,train,mean
2,5958,361,344,344,0,0.057737495803961,1.0,0.9529085872576177,3,gte_mean,45,train,mean
3,6131,260,252,252,0,0.0411025933779155,1.0,0.9692307692307692,3,gte_mean,45,train,mean
4,5842,170,160,160,0,0.0273878808627182,1.0,0.9411764705882353,3,gte_mean,45,train,mean
5,5421,218,209,209,0,0.038553772366722,1.0,0.9587155963302753,3,gte_mean,45,train,mean
