y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,0,gte_mean,45,train,qth_0.5
1,6742,135,131,131,0,0.019430436072382,1.0,0.9703703703703703,0,gte_mean,45,train,qth_0.5
2,5958,361,348,348,0,0.0584088620342396,1.0,0.96398891966759,0,gte_mean,45,train,qth_0.5
3,6131,260,254,254,0,0.0414288044364703,1.0,0.9769230769230769,0,gte_mean,45,train,qth_0.5
4,5842,170,165,165,0,0.0282437521396781,1.0,0.9705882352941176,0,gte_mean,45,train,qth_0.5
5,5421,218,209,209,0,0.038553772366722,1.0,0.9587155963302753,0,gte_mean,45,train,qth_0.5
6,5918,90,79,79,0,0.0133491044271713,1.0,0.8777777777777778,0,gte_mean,45,train,qth_0.5
7,6265,211,206,206,0,0.0328810853950518,1.0,0.976303317535545,0,gte_mean,45,train,qth_0.5
8,5851,249,244,244,0,0.0417022731157067,1.0,0.9799196787148594,0,gte_mean,45,train,qth_0.5
9,5949,256,251,251,0,0.0421919650361405,1.0,0.98046875,0,gte_mean,45,train,qth_0.5
all,60000,1992,1928,1928,0,0.0321333333333333,1.0,0.9678714859437751,0,gte_mean,45,train,qth_0.5
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,1,gte_mean,45,train,qth_0.5
1,6742,135,131,131,0,0.019430436072382,1.0,0.9703703703703703,1,gte_mean,45,train,qth_0.5
2,5958,361,348,348,0,0.0584088620342396,1.0,0.96398891966759,1,gte_mean,45,train,qth_0.5
3,6131,260,254,254,0,0.0414288044364703,1.0,0.9769230769230769,1,gte_mean,45,train,qth_0.5
4,5842,170,165,165,0,0.0282437521396781,1.0,0.9705882352941176,1,gte_mean,45,train,qth_0.5
5,5421,218,209,209,0,0.038553772366722,1.0,0.9587155963302753,1,gte_mean,45,train,qth_0.5
6,5918,90,79,79,0,0.0133491044271713,1.0,0.8777777777777778,1,gte_mean,45,train,qth_0.5
7,6265,211,206,206,0,0.0328810853950518,1.0,0.976303317535545,1,gte_mean,45,train,qth_0.5
