y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,0,gte_mean,45,train,relu
1,6742,135,123,123,0,0.0182438445565114,1.0,0.9111111111111111,0,gte_mean,45,train,relu
2,5958,361,333,333,0,0.0558912386706948,1.0,0.9224376731301939,0,gte_mean,45,train,relu
3,6131,260,244,244,0,0.0397977491436959,1.0,0.9384615384615385,0,gte_mean,45,train,relu
4,5842,170,150,150,0,0.0256761383087983,1.0,0.8823529411764706,0,gte_mean,45,train,relu
5,5421,218,211,211,0,0.0389227079874561,1.0,0.9678899082568807,0,gte_mean,45,train,relu
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,0,gte_mean,45,train,relu
7,6265,211,187,187,0,0.0298483639265762,1.0,0.8862559241706162,0,gte_mean,45,train,relu
8,5851,249,236,236,0,0.0403349854725687,1.0,0.9477911646586346,0,gte_mean,45,train,relu
9,5949,256,207,207,0,0.0347957639939485,1.0,0.80859375,0,gte_mean,45,train,relu
all,60000,1992,1813,1813,0,0.0302166666666666,1.0,0.910140562248996,0,gte_mean,45,train,relu
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,1,gte_mean,45,train,relu
1,6742,135,123,123,0,0.0182438445565114,1.0,0.9111111111111111,1,gte_mean,45,train,relu
2,5958,361,333,333,0,0.0558912386706948,1.0,0.9224376731301939,1,gte_mean,45,train,relu
3,6131,260,244,244,0,0.0397977491436959,1.0,0.9384615384615385,1,gte_mean,45,train,relu
4,5842,170,150,150,0,0.0256761383087983,1.0,0.8823529411764706,1,gte_mean,45,train,relu
5,5421,218,211,211,0,0.0389227079874561,1.0,0.9678899082568807,1,gte_mean,45,train,relu
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,1,gte_mean,45,train,relu
7,6265,211,187,187,0,0.0298483639265762,1.0,0.8862559241706162,1,gte_mean,45,train,relu
8,5851,249,236,236,0,0.0403349854725687,1.0,0.9477911646586346,1,gte_mean,45,train,relu
9,5949,256,207,207,0,0.0347957639939485,1.0,0.80859375,1,gte_mean,45,train,relu
all,60000,1992,1813,1813,0,0.0302166666666666,1.0,0.910140562248996,1,gte_mean,45,train,relu
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,2,gte_mean,45,train,relu
