thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,17.067,4449.3,0.0,58008.0,82.4,0.0,100.0,2023-08-15 21:13:02,2023-08-15 21:30:07,
qth_0.75,1.0,1657.5,4621.8,0.0,4778200.0,98.8,0.0,100.0,2023-08-15 22:17:08,2023-08-17 01:54:39,
qth_0.75,2.0,1163.383,4624.0,0.0,2920759.0,99.9,0.0,100.0,2023-08-17 02:31:49,2023-08-17 21:55:13,
qth_0.75,3.0,788.633,4654.5,0.0,1975391.0,100.0,0.0,100.0,2023-08-17 22:32:19,2023-08-18 11:40:58,
qth_0.75,0.0,1.067,4315.7,0.0,58008.0,36.7,0.0,45.0,2023-08-15 21:13:03,2023-08-15 21:14:08,gte_mean
qth_0.75,1.0,61.717,4331.7,0.0,957600.0,93.4,0.0,45.0,2023-08-15 21:18:22,2023-08-15 22:20:05,gte_mean
qth_0.75,2.0,37.883,4333.2,0.0,589654.0,99.0,0.0,45.0,2023-08-15 22:24:43,2023-08-15 23:02:36,gte_mean
qth_0.75,3.0,25.7,4335.8,0.0,409325.0,99.8,0.0,45.0,2023-08-15 23:07:11,2023-08-15 23:32:54,gte_mean
qth_0.75,0.0,0.3,4308.2,0.0,58008.0,21.3,0.0,33.0,2023-08-15 21:13:03,2023-08-15 21:13:21,top_third
qth_0.75,1.0,11.05,4313.6,0.0,408276.0,88.7,0.0,33.0,2023-08-15 21:15:03,2023-08-15 21:26:06,top_third
qth_0.75,2.0,6.417,4315.1,0.0,235972.0,97.6,0.0,33.0,2023-08-15 21:27:25,2023-08-15 21:33:50,top_third
qth_0.75,3.0,4.55,4315.4,0.0,152190.0,99.5,0.0,33.0,2023-08-15 21:35:35,2023-08-15 21:40:09,top_third
qth_0.5,0.0,35.467,4625.5,0.0,58008.0,98.5,0.0,100.0,2023-08-15 21:13:05,2023-08-15 21:48:34,
qth_0.5,1.0,3407.683,4897.8,0.0,5716600.0,99.9,0.0,100.0,2023-08-15 22:54:42,2023-08-18 07:42:24,
qth_0.5,2.0,1460.467,4953.2,0.0,2777262.0,100.0,0.0,100.0,2023-08-18 08:36:02,2023-08-19 08:56:31,
qth_0.5,3.0,483.167,4962.7,0.0,1320140.0,100.0,0.0,100.0,2023-08-19 09:30:46,2023-08-19 17:33:57,
qth_0.5,0.0,3.067,4333.0,0.0,58008.0,77.1,0.0,45.0,2023-08-15 21:13:08,2023-08-15 21:16:13,gte_mean
qth_0.5,1.0,165.783,4372.0,0.0,2011545.0,96.7,0.0,45.0,2023-08-15 21:23:02,2023-08-16 00:08:50,gte_mean
qth_0.5,2.0,72.033,4374.2,0.0,1066659.0,99.3,0.0,45.0,2023-08-16 00:15:40,2023-08-16 01:27:43,gte_mean
qth_0.5,3.0,33.3,4378.0,0.0,596648.0,99.8,0.0,45.0,2023-08-16 01:33:08,2023-08-16 02:06:26,gte_mean
qth_0.5,0.0,0.983,4314.2,0.0,58008.0,57.2,0.0,33.0,2023-08-15 21:13:07,2023-08-15 21:14:07,top_third
qth_0.5,1.0,41.35,4325.9,0.0,1094016.0,91.8,0.0,33.0,2023-08-15 21:16:57,2023-08-15 21:58:19,top_third
qth_0.5,2.0,20.183,4327.2,0.0,526997.0,97.6,0.0,33.0,2023-08-15 22:01:33,2023-08-15 22:21:45,top_third
qth_0.5,3.0,9.633,4327.2,0.0,257760.0,99.2,0.0,33.0,2023-08-15 22:24:58,2023-08-15 22:34:37,top_third
qth_0.25,0.0,35.283,4640.1,0.0,58008.0,99.1,0.0,100.0,2023-08-15 21:13:13,2023-08-15 21:48:31,
qth_0.25,1.0,3365.2,4918.5,0.0,5746100.0,99.9,0.0,100.0,2023-08-15 22:50:09,2023-08-18 06:55:22,
qth_0.25,2.0,1751.117,4924.0,0.0,3574588.0,100.0,0.0,100.0,2023-08-18 07:45:44,2023-08-19 12:56:52,
qth_0.25,3.0,776.1,4924.0,0.0,2481486.0,100.0,0.0,100.0,2023-08-19 13:26:44,2023-08-20 02:22:51,
qth_0.25,0.0,2.933,4333.1,0.0,58008.0,79.1,0.0,45.0,2023-08-15 21:13:13,2023-08-15 21:16:10,gte_mean
qth_0.25,1.0,159.267,4368.8,0.0,2064600.0,96.4,0.0,45.0,2023-08-15 21:22:19,2023-08-16 00:01:36,gte_mean
qth_0.25,2.0,80.833,4371.2,0.0,1284096.0,99.2,0.0,45.0,2023-08-16 00:07:59,2023-08-16 01:28:50,gte_mean
qth_0.25,3.0,45.483,4373.8,0.0,889823.0,99.8,0.0,45.0,2023-08-16 01:33:44,2023-08-16 02:19:13,gte_mean
