y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,0,gte_mean,45,train,mean
1,6742,135,129,129,0,0.0191337881934144,1.0,0.9555555555555556,0,gte_mean,45,train,mean
2,5958,361,345,345,0,0.0579053373615307,1.0,0.9556786703601108,0,gte_mean,45,train,mean
3,6131,260,253,253,0,0.0412656989071929,1.0,0.9730769230769231,0,gte_mean,45,train,mean
4,5842,170,161,161,0,0.0275590551181102,1.0,0.9470588235294117,0,gte_mean,45,train,mean
5,5421,218,210,210,0,0.0387382401770891,1.0,0.963302752293578,0,gte_mean,45,train,mean
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,0,gte_mean,45,train,mean
7,6265,211,199,199,0,0.0317637669592976,1.0,0.943127962085308,0,gte_mean,45,train,mean
8,5851,249,246,246,0,0.0420440950264911,1.0,0.9879518072289156,0,gte_mean,45,train,mean
9,5949,256,242,242,0,0.0406791057320558,1.0,0.9453125,0,gte_mean,45,train,mean
all,60000,1992,1907,1907,0,0.0317833333333333,1.0,0.9573293172690763,0,gte_mean,45,train,mean
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,1,gte_mean,45,train,mean
1,6742,135,129,129,0,0.0191337881934144,1.0,0.9555555555555556,1,gte_mean,45,train,mean
2,5958,361,345,345,0,0.0579053373615307,1.0,0.9556786703601108,1,gte_mean,45,train,mean
3,6131,260,253,253,0,0.0412656989071929,1.0,0.9730769230769231,1,gte_mean,45,train,mean
4,5842,170,161,161,0,0.0275590551181102,1.0,0.9470588235294117,1,gte_mean,45,train,mean
5,5421,218,210,210,0,0.0387382401770891,1.0,0.963302752293578,1,gte_mean,45,train,mean
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,1,gte_mean,45,train,mean
7,6265,211,199,199,0,0.0317637669592976,1.0,0.943127962085308,1,gte_mean,45,train,mean
8,5851,249,246,246,0,0.0420440950264911,1.0,0.9879518072289156,1,gte_mean,45,train,mean
9,5949,256,242,242,0,0.0406791057320558,1.0,0.9453125,1,gte_mean,45,train,mean
all,60000,1992,1907,1907,0,0.0317833333333333,1.0,0.9573293172690763,1,gte_mean,45,train,mean
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,2,gte_mean,45,train,mean
1,6742,135,129,129,0,0.0191337881934144,1.0,0.9555555555555556,2,gte_mean,45,train,mean
2,5958,361,345,345,0,0.0579053373615307,1.0,0.9556786703601108,2,gte_mean,45,train,mean
3,6131,260,253,253,0,0.0412656989071929,1.0,0.9730769230769231,2,gte_mean,45,train,mean
4,5842,170,161,161,0,0.0275590551181102,1.0,0.9470588235294117,2,gte_mean,45,train,mean
5,5421,218,210,210,0,0.0387382401770891,1.0,0.963302752293578,2,gte_mean,45,train,mean
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,2,gte_mean,45,train,mean
7,6265,211,199,199,0,0.0317637669592976,1.0,0.943127962085308,2,gte_mean,45,train,mean
8,5851,249,246,246,0,0.0420440950264911,1.0,0.9879518072289156,2,gte_mean,45,train,mean
9,5949,256,242,242,0,0.0406791057320558,1.0,0.9453125,2,gte_mean,45,train,mean
all,60000,1992,1907,1907,0,0.0317833333333333,1.0,0.9573293172690763,2,gte_mean,45,train,mean
0,5923,42,41,41,0,0.0069221678203613,1.0,0.9761904761904762,3,gte_mean,45,train,mean
1,6742,135,129,129,0,0.0191337881934144,1.0,0.9555555555555556,3,gte_mean,45,train,mean
2,5958,361,345,345,0,0.0579053373615307,1.0,0.9556786703601108,3,gte_mean,45,train,mean
3,6131,260,253,253,0,0.0412656989071929,1.0,0.9730769230769231,3,gte_mean,45,train,mean
4,5842,170,161,161,0,0.0275590551181102,1.0,0.9470588235294117,3,gte_mean,45,train,mean
5,5421,218,210,210,0,0.0387382401770891,1.0,0.963302752293578,3,gte_mean,45,train,mean
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,3,gte_mean,45,train,mean
7,6265,211,199,199,0,0.0317637669592976,1.0,0.943127962085308,3,gte_mean,45,train,mean
8,5851,249,246,246,0,0.0420440950264911,1.0,0.9879518072289156,3,gte_mean,45,train,mean
9,5949,256,242,242,0,0.0406791057320558,1.0,0.9453125,3,gte_mean,45,train,mean
all,60000,1992,1907,1907,0,0.0317833333333333,1.0,0.9573293172690763,3,gte_mean,45,train,mean
0,979,7,382,7,375,0.390194075587334,0.0183246073298429,1.0,0,gte_mean,45,test,mean
1,1133,11,289,9,280,0.2550750220653133,0.0311418685121107,0.8181818181818182,0,gte_mean,45,test,mean
2,1030,51,617,49,568,0.5990291262135923,0.079416531604538,0.9607843137254902,0,gte_mean,45,test,mean
3,1008,39,521,38,483,0.5168650793650794,0.072936660268714,0.9743589743589743,0,gte_mean,45,test,mean
4,980,27,635,26,609,0.6479591836734694,0.0409448818897637,0.9629629629629629,0,gte_mean,45,test,mean
5,890,28,760,28,732,0.8539325842696629,0.0368421052631578,1.0,0,gte_mean,45,test,mean
6,956,22,578,21,557,0.604602510460251,0.0363321799307958,0.9545454545454546,0,gte_mean,45,test,mean
7,1027,45,391,43,348,0.3807205452775073,0.1099744245524296,0.9555555555555556,0,gte_mean,45,test,mean
8,973,38,765,38,727,0.7862281603288798,0.049673202614379,1.0,0,gte_mean,45,test,mean
9,1008,35,642,32,610,0.6369047619047619,0.0498442367601246,0.9142857142857143,0,gte_mean,45,test,mean
all,9984,303,5580,291,5289,0.5588942307692307,0.0521505376344086,0.9603960396039604,0,gte_mean,45,test,mean
0,979,7,382,7,375,0.390194075587334,0.0183246073298429,1.0,1,gte_mean,45,test,mean
1,1133,11,289,9,280,0.2550750220653133,0.0311418685121107,0.8181818181818182,1,gte_mean,45,test,mean
2,1030,51,617,49,568,0.5990291262135923,0.079416531604538,0.9607843137254902,1,gte_mean,45,test,mean
3,1008,39,521,38,483,0.5168650793650794,0.072936660268714,0.9743589743589743,1,gte_mean,45,test,mean
4,980,27,635,26,609,0.6479591836734694,0.0409448818897637,0.9629629629629629,1,gte_mean,45,test,mean
5,890,28,760,28,732,0.8539325842696629,0.0368421052631578,1.0,1,gte_mean,45,test,mean
6,956,22,578,21,557,0.604602510460251,0.0363321799307958,0.9545454545454546,1,gte_mean,45,test,mean
7,1027,45,391,43,348,0.3807205452775073,0.1099744245524296,0.9555555555555556,1,gte_mean,45,test,mean
8,973,38,765,38,727,0.7862281603288798,0.049673202614379,1.0,1,gte_mean,45,test,mean
9,1008,35,642,32,610,0.6369047619047619,0.0498442367601246,0.9142857142857143,1,gte_mean,45,test,mean
all,9984,303,5580,291,5289,0.5588942307692307,0.0521505376344086,0.9603960396039604,1,gte_mean,45,test,mean
0,979,7,382,7,375,0.390194075587334,0.0183246073298429,1.0,2,gte_mean,45,test,mean
1,1133,11,289,9,280,0.2550750220653133,0.0311418685121107,0.8181818181818182,2,gte_mean,45,test,mean
2,1030,51,617,49,568,0.5990291262135923,0.079416531604538,0.9607843137254902,2,gte_mean,45,test,mean
3,1008,39,521,38,483,0.5168650793650794,0.072936660268714,0.9743589743589743,2,gte_mean,45,test,mean
4,980,27,635,26,609,0.6479591836734694,0.0409448818897637,0.9629629629629629,2,gte_mean,45,test,mean
5,890,28,760,28,732,0.8539325842696629,0.0368421052631578,1.0,2,gte_mean,45,test,mean
