y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,42,42,0,0.0070910011818335,1.0,1.0,0,gte_mean,45,train,relu
1,6742,135,124,124,0,0.0183921684959952,1.0,0.9185185185185185,0,gte_mean,45,train,relu
2,5958,361,335,335,0,0.0562269217858341,1.0,0.9279778393351801,0,gte_mean,45,train,relu
3,6131,260,245,245,0,0.0399608546729734,1.0,0.9423076923076923,0,gte_mean,45,train,relu
4,5842,170,151,151,0,0.0258473125641903,1.0,0.888235294117647,0,gte_mean,45,train,relu
5,5421,218,212,212,0,0.0391071757978232,1.0,0.9724770642201835,0,gte_mean,45,train,relu
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,0,gte_mean,45,train,relu
7,6265,211,188,188,0,0.0300079808459696,1.0,0.8909952606635071,0,gte_mean,45,train,relu
8,5851,249,238,238,0,0.0406768073833532,1.0,0.9558232931726908,0,gte_mean,45,train,relu
9,5949,256,208,208,0,0.0349638594721802,1.0,0.8125,0,gte_mean,45,train,relu
all,60000,1992,1824,1824,0,0.0304,1.0,0.9156626506024096,0,gte_mean,45,train,relu
0,5923,42,42,42,0,0.0070910011818335,1.0,1.0,1,gte_mean,45,train,relu
1,6742,135,124,124,0,0.0183921684959952,1.0,0.9185185185185185,1,gte_mean,45,train,relu
2,5958,361,335,335,0,0.0562269217858341,1.0,0.9279778393351801,1,gte_mean,45,train,relu
3,6131,260,245,245,0,0.0399608546729734,1.0,0.9423076923076923,1,gte_mean,45,train,relu
4,5842,170,151,151,0,0.0258473125641903,1.0,0.888235294117647,1,gte_mean,45,train,relu
5,5421,218,212,212,0,0.0391071757978232,1.0,0.9724770642201835,1,gte_mean,45,train,relu
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,1,gte_mean,45,train,relu
7,6265,211,188,188,0,0.0300079808459696,1.0,0.8909952606635071,1,gte_mean,45,train,relu
8,5851,249,238,238,0,0.0406768073833532,1.0,0.9558232931726908,1,gte_mean,45,train,relu
9,5949,256,208,208,0,0.0349638594721802,1.0,0.8125,1,gte_mean,45,train,relu
all,60000,1992,1824,1824,0,0.0304,1.0,0.9156626506024096,1,gte_mean,45,train,relu
0,5923,42,42,42,0,0.0070910011818335,1.0,1.0,2,gte_mean,45,train,relu
1,6742,135,124,124,0,0.0183921684959952,1.0,0.9185185185185185,2,gte_mean,45,train,relu
2,5958,361,335,335,0,0.0562269217858341,1.0,0.9279778393351801,2,gte_mean,45,train,relu
3,6131,260,245,245,0,0.0399608546729734,1.0,0.9423076923076923,2,gte_mean,45,train,relu
4,5842,170,151,151,0,0.0258473125641903,1.0,0.888235294117647,2,gte_mean,45,train,relu
5,5421,218,212,212,0,0.0391071757978232,1.0,0.9724770642201835,2,gte_mean,45,train,relu
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,2,gte_mean,45,train,relu
7,6265,211,188,188,0,0.0300079808459696,1.0,0.8909952606635071,2,gte_mean,45,train,relu
8,5851,249,238,238,0,0.0406768073833532,1.0,0.9558232931726908,2,gte_mean,45,train,relu
9,5949,256,208,208,0,0.0349638594721802,1.0,0.8125,2,gte_mean,45,train,relu
all,60000,1992,1824,1824,0,0.0304,1.0,0.9156626506024096,2,gte_mean,45,train,relu
0,5923,42,42,42,0,0.0070910011818335,1.0,1.0,3,gte_mean,45,train,relu
1,6742,135,124,124,0,0.0183921684959952,1.0,0.9185185185185185,3,gte_mean,45,train,relu
2,5958,361,335,335,0,0.0562269217858341,1.0,0.9279778393351801,3,gte_mean,45,train,relu
3,6131,260,245,245,0,0.0399608546729734,1.0,0.9423076923076923,3,gte_mean,45,train,relu
4,5842,170,151,151,0,0.0258473125641903,1.0,0.888235294117647,3,gte_mean,45,train,relu
5,5421,218,212,212,0,0.0391071757978232,1.0,0.9724770642201835,3,gte_mean,45,train,relu
6,5918,90,81,81,0,0.0136870564379858,1.0,0.9,3,gte_mean,45,train,relu
7,6265,211,188,188,0,0.0300079808459696,1.0,0.8909952606635071,3,gte_mean,45,train,relu
8,5851,249,238,238,0,0.0406768073833532,1.0,0.9558232931726908,3,gte_mean,45,train,relu
9,5949,256,208,208,0,0.0349638594721802,1.0,0.8125,3,gte_mean,45,train,relu
all,60000,1992,1824,1824,0,0.0304,1.0,0.9156626506024096,3,gte_mean,45,train,relu
0,979,7,268,7,261,0.2737487231869254,0.0261194029850746,1.0,0,gte_mean,45,test,relu
1,1133,11,138,11,127,0.1218005295675198,0.0797101449275362,1.0,0,gte_mean,45,test,relu
2,1030,51,571,46,525,0.554368932038835,0.0805604203152364,0.9019607843137255,0,gte_mean,45,test,relu
3,1008,39,588,37,551,0.5833333333333334,0.0629251700680272,0.9487179487179487,0,gte_mean,45,test,relu
4,980,27,386,25,361,0.3938775510204081,0.0647668393782383,0.9259259259259259,0,gte_mean,45,test,relu
5,890,28,605,28,577,0.6797752808988764,0.0462809917355371,1.0,0,gte_mean,45,test,relu
6,956,22,396,21,375,0.4142259414225941,0.053030303030303,0.9545454545454546,0,gte_mean,45,test,relu
7,1027,45,251,43,208,0.2444011684518013,0.1713147410358565,0.9555555555555556,0,gte_mean,45,test,relu
8,973,38,885,37,848,0.9095580678314492,0.0418079096045197,0.9736842105263158,0,gte_mean,45,test,relu
9,1008,35,383,32,351,0.3799603174603174,0.0835509138381201,0.9142857142857143,0,gte_mean,45,test,relu
all,9984,303,4471,287,4184,0.4478165064102564,0.0641914560501006,0.9471947194719472,0,gte_mean,45,test,relu
0,979,7,268,7,261,0.2737487231869254,0.0261194029850746,1.0,1,gte_mean,45,test,relu
1,1133,11,138,11,127,0.1218005295675198,0.0797101449275362,1.0,1,gte_mean,45,test,relu
2,1030,51,571,46,525,0.554368932038835,0.0805604203152364,0.9019607843137255,1,gte_mean,45,test,relu
3,1008,39,588,37,551,0.5833333333333334,0.0629251700680272,0.9487179487179487,1,gte_mean,45,test,relu
4,980,27,386,25,361,0.3938775510204081,0.0647668393782383,0.9259259259259259,1,gte_mean,45,test,relu
5,890,28,605,28,577,0.6797752808988764,0.0462809917355371,1.0,1,gte_mean,45,test,relu
6,956,22,396,21,375,0.4142259414225941,0.053030303030303,0.9545454545454546,1,gte_mean,45,test,relu
7,1027,45,251,43,208,0.2444011684518013,0.1713147410358565,0.9555555555555556,1,gte_mean,45,test,relu
8,973,38,885,37,848,0.9095580678314492,0.0418079096045197,0.9736842105263158,1,gte_mean,45,test,relu
9,1008,35,383,32,351,0.3799603174603174,0.0835509138381201,0.9142857142857143,1,gte_mean,45,test,relu
all,9984,303,4471,287,4184,0.4478165064102564,0.0641914560501006,0.9471947194719472,1,gte_mean,45,test,relu
0,979,7,268,7,261,0.2737487231869254,0.0261194029850746,1.0,2,gte_mean,45,test,relu
1,1133,11,138,11,127,0.1218005295675198,0.0797101449275362,1.0,2,gte_mean,45,test,relu
2,1030,51,571,46,525,0.554368932038835,0.0805604203152364,0.9019607843137255,2,gte_mean,45,test,relu
3,1008,39,588,37,551,0.5833333333333334,0.0629251700680272,0.9487179487179487,2,gte_mean,45,test,relu
4,980,27,386,25,361,0.3938775510204081,0.0647668393782383,0.9259259259259259,2,gte_mean,45,test,relu
5,890,28,605,28,577,0.6797752808988764,0.0462809917355371,1.0,2,gte_mean,45,test,relu
6,956,22,396,21,375,0.4142259414225941,0.053030303030303,0.9545454545454546,2,gte_mean,45,test,relu
7,1027,45,251,43,208,0.2444011684518013,0.1713147410358565,0.9555555555555556,2,gte_mean,45,test,relu
8,973,38,885,37,848,0.9095580678314492,0.0418079096045197,0.9736842105263158,2,gte_mean,45,test,relu
9,1008,35,383,32,351,0.3799603174603174,0.0835509138381201,0.9142857142857143,2,gte_mean,45,test,relu
all,9984,303,4471,287,4184,0.4478165064102564,0.0641914560501006,0.9471947194719472,2,gte_mean,45,test,relu
0,979,7,268,7,261,0.2737487231869254,0.0261194029850746,1.0,3,gte_mean,45,test,relu
1,1133,11,138,11,127,0.1218005295675198,0.0797101449275362,1.0,3,gte_mean,45,test,relu
2,1030,51,571,46,525,0.554368932038835,0.0805604203152364,0.9019607843137255,3,gte_mean,45,test,relu
3,1008,39,588,37,551,0.5833333333333334,0.0629251700680272,0.9487179487179487,3,gte_mean,45,test,relu
4,980,27,386,25,361,0.3938775510204081,0.0647668393782383,0.9259259259259259,3,gte_mean,45,test,relu
5,890,28,605,28,577,0.6797752808988764,0.0462809917355371,1.0,3,gte_mean,45,test,relu
6,956,22,396,21,375,0.4142259414225941,0.053030303030303,0.9545454545454546,3,gte_mean,45,test,relu
7,1027,45,251,43,208,0.2444011684518013,0.1713147410358565,0.9555555555555556,3,gte_mean,45,test,relu
8,973,38,885,37,848,0.9095580678314492,0.0418079096045197,0.9736842105263158,3,gte_mean,45,test,relu
9,1008,35,383,32,351,0.3799603174603174,0.0835509138381201,0.9142857142857143,3,gte_mean,45,test,relu
