y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,42,36,36,0,0.0060780010130001,1.0,0.8571428571428571,0,top_third,33,train,mean
1,6742,135,115,115,0,0.0170572530406407,1.0,0.8518518518518519,0,top_third,33,train,mean
2,5958,361,303,303,0,0.0508559919436052,1.0,0.8393351800554016,0,top_third,33,train,mean
3,6131,260,229,229,0,0.0373511662045343,1.0,0.8807692307692307,0,top_third,33,train,mean
4,5842,170,138,138,0,0.0236220472440944,1.0,0.8117647058823529,0,top_third,33,train,mean
5,5421,218,181,181,0,0.0333886736764434,1.0,0.8302752293577982,0,top_third,33,train,mean
6,5918,90,67,67,0,0.0113213923622845,1.0,0.7444444444444445,0,top_third,33,train,mean
7,6265,211,177,177,0,0.0282521947326416,1.0,0.8388625592417062,0,top_third,33,train,mean
8,5851,249,235,235,0,0.0401640745171765,1.0,0.9437751004016064,0,top_third,33,train,mean
9,5949,256,215,215,0,0.0361405278198016,1.0,0.83984375,0,top_third,33,train,mean
all,60000,1992,1696,1696,0,0.0282666666666666,1.0,0.8514056224899599,0,top_third,33,train,mean
0,5923,42,36,36,0,0.0060780010130001,1.0,0.8571428571428571,1,top_third,33,train,mean
1,6742,135,115,115,0,0.0170572530406407,1.0,0.8518518518518519,1,top_third,33,train,mean
2,5958,361,303,303,0,0.0508559919436052,1.0,0.8393351800554016,1,top_third,33,train,mean
3,6131,260,229,229,0,0.0373511662045343,1.0,0.8807692307692307,1,top_third,33,train,mean
4,5842,170,138,138,0,0.0236220472440944,1.0,0.8117647058823529,1,top_third,33,train,mean
5,5421,218,181,181,0,0.0333886736764434,1.0,0.8302752293577982,1,top_third,33,train,mean
6,5918,90,67,67,0,0.0113213923622845,1.0,0.7444444444444445,1,top_third,33,train,mean
7,6265,211,177,177,0,0.0282521947326416,1.0,0.8388625592417062,1,top_third,33,train,mean
8,5851,249,235,235,0,0.0401640745171765,1.0,0.9437751004016064,1,top_third,33,train,mean
9,5949,256,215,215,0,0.0361405278198016,1.0,0.83984375,1,top_third,33,train,mean
all,60000,1992,1696,1696,0,0.0282666666666666,1.0,0.8514056224899599,1,top_third,33,train,mean
0,5923,42,36,36,0,0.0060780010130001,1.0,0.8571428571428571,2,top_third,33,train,mean
1,6742,135,115,115,0,0.0170572530406407,1.0,0.8518518518518519,2,top_third,33,train,mean
2,5958,361,303,303,0,0.0508559919436052,1.0,0.8393351800554016,2,top_third,33,train,mean
3,6131,260,229,229,0,0.0373511662045343,1.0,0.8807692307692307,2,top_third,33,train,mean
4,5842,170,138,138,0,0.0236220472440944,1.0,0.8117647058823529,2,top_third,33,train,mean
5,5421,218,181,181,0,0.0333886736764434,1.0,0.8302752293577982,2,top_third,33,train,mean
6,5918,90,67,67,0,0.0113213923622845,1.0,0.7444444444444445,2,top_third,33,train,mean
7,6265,211,177,177,0,0.0282521947326416,1.0,0.8388625592417062,2,top_third,33,train,mean
8,5851,249,235,235,0,0.0401640745171765,1.0,0.9437751004016064,2,top_third,33,train,mean
9,5949,256,215,215,0,0.0361405278198016,1.0,0.83984375,2,top_third,33,train,mean
all,60000,1992,1696,1696,0,0.0282666666666666,1.0,0.8514056224899599,2,top_third,33,train,mean
0,5923,42,36,36,0,0.0060780010130001,1.0,0.8571428571428571,3,top_third,33,train,mean
1,6742,135,115,115,0,0.0170572530406407,1.0,0.8518518518518519,3,top_third,33,train,mean
2,5958,361,303,303,0,0.0508559919436052,1.0,0.8393351800554016,3,top_third,33,train,mean
3,6131,260,229,229,0,0.0373511662045343,1.0,0.8807692307692307,3,top_third,33,train,mean
4,5842,170,138,138,0,0.0236220472440944,1.0,0.8117647058823529,3,top_third,33,train,mean
5,5421,218,181,181,0,0.0333886736764434,1.0,0.8302752293577982,3,top_third,33,train,mean
6,5918,90,67,67,0,0.0113213923622845,1.0,0.7444444444444445,3,top_third,33,train,mean
7,6265,211,177,177,0,0.0282521947326416,1.0,0.8388625592417062,3,top_third,33,train,mean
8,5851,249,235,235,0,0.0401640745171765,1.0,0.9437751004016064,3,top_third,33,train,mean
9,5949,256,215,215,0,0.0361405278198016,1.0,0.83984375,3,top_third,33,train,mean
all,60000,1992,1696,1696,0,0.0282666666666666,1.0,0.8514056224899599,3,top_third,33,train,mean
0,979,7,250,7,243,0.2553626149131767,0.028,1.0,0,top_third,33,test,mean
1,1133,11,155,6,149,0.1368049426301853,0.0387096774193548,0.5454545454545454,0,top_third,33,test,mean
2,1030,51,389,45,344,0.3776699029126213,0.1156812339331619,0.8823529411764706,0,top_third,33,test,mean
3,1008,39,311,35,276,0.308531746031746,0.112540192926045,0.8974358974358975,0,top_third,33,test,mean
4,980,27,333,19,314,0.3397959183673469,0.057057057057057,0.7037037037037037,0,top_third,33,test,mean
5,890,28,505,25,480,0.5674157303370787,0.0495049504950495,0.8928571428571429,0,top_third,33,test,mean
6,956,22,391,19,372,0.4089958158995816,0.0485933503836317,0.8636363636363636,0,top_third,33,test,mean
7,1027,45,263,38,225,0.2560856864654333,0.1444866920152091,0.8444444444444444,0,top_third,33,test,mean
8,973,38,535,38,497,0.5498458376156218,0.0710280373831775,1.0,0,top_third,33,test,mean
9,1008,35,415,26,389,0.4117063492063492,0.0626506024096385,0.7428571428571429,0,top_third,33,test,mean
all,9984,303,3547,258,3289,0.3552684294871794,0.0727375246687341,0.8514851485148515,0,top_third,33,test,mean
0,979,7,250,7,243,0.2553626149131767,0.028,1.0,1,top_third,33,test,mean
