thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,26.183,4859.1,0.0,58008.0,100.0,0.0,100.0,2023-08-20 02:44:42,2023-08-20 03:10:54,
qth_0.75,1.0,3150.45,4979.8,0.0,5800100.0,100.0,0.0,100.0,2023-08-20 03:46:34,2023-08-22 08:17:02,
qth_0.75,2.0,2210.2,4979.8,0.0,3618243.0,100.0,0.0,100.0,2023-08-22 09:02:53,2023-08-23 21:53:06,
qth_0.75,3.0,1474.033,4979.8,0.0,2528063.0,100.0,0.0,100.0,2023-08-23 22:37:01,2023-08-24 23:11:04,
qth_0.75,0.0,0.0,4303.4,0.0,58008.0,0.3,0.0,8.0,2023-08-20 02:44:43,2023-08-20 02:44:43,components
qth_0.75,1.0,0.0,4303.4,0.0,1472.0,18.3,0.0,8.0,2023-08-20 02:44:54,2023-08-20 02:44:54,components
qth_0.75,2.0,0.0,4303.4,0.0,630.0,28.9,0.0,8.0,2023-08-20 02:45:06,2023-08-20 02:45:06,components
qth_0.75,3.0,0.0,4303.4,0.0,263.0,40.7,0.0,8.0,2023-08-20 02:45:19,2023-08-20 02:45:19,components
qth_0.5,0.0,29.75,4984.1,0.0,58008.0,100.0,0.0,100.0,2023-08-20 02:44:47,2023-08-20 03:14:33,
qth_0.5,1.0,3746.133,5004.3,0.0,5800800.0,100.0,0.0,100.0,2023-08-20 03:55:07,2023-08-22 18:21:16,
qth_0.5,2.0,2009.167,5004.3,0.0,2860508.0,100.0,0.0,100.0,2023-08-22 19:13:23,2023-08-24 04:42:34,
qth_0.5,3.0,967.3,5004.3,0.0,1411522.0,100.0,0.0,100.0,2023-08-24 05:32:09,2023-08-24 21:39:28,
qth_0.5,0.0,0.0,4303.4,0.0,58008.0,0.4,0.0,8.0,2023-08-20 02:44:47,2023-08-20 02:44:47,components
qth_0.5,1.0,0.0,4303.4,0.0,2040.0,0.4,0.0,8.0,2023-08-20 02:44:58,2023-08-20 02:44:59,components
qth_0.5,2.0,0.0,4303.4,0.0,893.0,0.3,0.0,8.0,2023-08-20 02:45:10,2023-08-20 02:45:11,components
qth_0.5,3.0,0.0,4303.4,0.0,383.0,0.3,0.0,8.0,2023-08-20 02:45:23,2023-08-20 02:45:23,components
qth_0.25,0.0,26.45,4960.8,0.0,58008.0,100.0,0.0,100.0,2023-08-20 02:44:55,2023-08-20 03:11:22,
qth_0.25,1.0,3228.267,4977.9,0.0,5799600.0,100.0,0.0,100.0,2023-08-20 03:46:59,2023-08-22 09:35:16,
qth_0.25,2.0,2202.583,4977.9,0.0,3593154.0,100.0,0.0,100.0,2023-08-22 10:21:33,2023-08-23 23:04:09,
qth_0.25,3.0,1460.083,4977.9,0.0,2496947.0,100.0,0.0,100.0,2023-08-23 23:47:54,2023-08-25 00:07:59,
qth_0.25,0.0,0.0,4303.4,0.0,58008.0,0.3,0.0,8.0,2023-08-20 02:44:55,2023-08-20 02:44:55,components
qth_0.25,1.0,0.0,4303.4,0.0,1296.0,21.0,0.0,8.0,2023-08-20 02:45:07,2023-08-20 02:45:07,components
qth_0.25,2.0,0.0,4303.4,0.0,561.0,36.2,0.0,8.0,2023-08-20 02:45:20,2023-08-20 02:45:20,components
qth_0.25,3.0,0.0,4303.4,0.0,236.0,51.7,0.0,8.0,2023-08-20 02:45:31,2023-08-20 02:45:31,components
relu,0.0,29.6,4984.4,0.0,58008.0,100.0,0.0,100.0,2023-08-20 02:45:02,2023-08-20 03:14:38,
relu,1.0,3796.35,5003.6,0.0,5800800.0,100.0,0.0,100.0,2023-08-20 03:55:18,2023-08-22 19:11:40,
relu,2.0,2008.633,5003.6,0.0,2865457.0,100.0,0.0,100.0,2023-08-22 20:03:43,2023-08-24 05:32:22,
relu,3.0,969.85,5003.6,0.0,1418032.0,100.0,0.0,100.0,2023-08-24 06:22:02,2023-08-24 22:31:54,
relu,0.0,0.0,4303.4,0.0,58008.0,0.4,0.0,8.0,2023-08-20 02:45:09,2023-08-20 02:45:09,components
relu,1.0,0.0,4303.4,0.0,2040.0,0.4,0.0,8.0,2023-08-20 02:45:21,2023-08-20 02:45:22,components
relu,2.0,0.0,4303.4,0.0,893.0,0.3,0.0,8.0,2023-08-20 02:45:34,2023-08-20 02:45:34,components
relu,3.0,0.0,4303.4,0.0,383.0,0.3,0.0,8.0,2023-08-20 02:45:44,2023-08-20 02:45:44,components
mean,0.0,29.567,4984.4,0.0,58008.0,100.0,0.0,100.0,2023-08-20 02:45:17,2023-08-20 03:14:52,
mean,1.0,3825.133,5003.6,0.0,5800800.0,100.0,0.0,100.0,2023-08-20 03:55:38,2023-08-22 19:40:47,
mean,2.0,2008.867,5003.6,0.0,2865457.0,100.0,0.0,100.0,2023-08-22 20:32:45,2023-08-24 06:01:38,
mean,3.0,970.167,5003.6,0.0,1418032.0,100.0,0.0,100.0,2023-08-24 06:51:13,2023-08-24 23:01:24,
mean,0.0,0.0,4303.4,0.0,58008.0,0.4,0.0,8.0,2023-08-20 02:45:21,2023-08-20 02:45:21,components
mean,1.0,0.0,4303.4,0.0,2040.0,0.4,0.0,8.0,2023-08-20 02:45:32,2023-08-20 02:45:33,components
mean,2.0,0.0,4303.4,0.0,893.0,0.3,0.0,8.0,2023-08-20 02:45:44,2023-08-20 02:45:44,components
mean,3.0,0.0,4303.4,0.0,383.0,0.3,0.0,8.0,2023-08-20 02:45:54,2023-08-20 02:45:54,components
