y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,42.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,qth_0.75
1,6742.0,135.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,qth_0.75
2,5958.0,361.0,2.0,2.0,0.0003356831151393085,1.0,0.00554016620498615,0,components,8.0,train,qth_0.75
3,6131.0,260.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,qth_0.75
4,5842.0,170.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,qth_0.75
5,5421.0,218.0,2.0,2.0,0.00036893562073418186,1.0,0.009174311926605505,0,components,8.0,train,qth_0.75
6,5918.0,90.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,qth_0.75
7,6265.0,211.0,1.0,1.0,0.0001596169193934557,1.0,0.004739336492890996,0,components,8.0,train,qth_0.75
8,5851.0,249.0,1.0,1.0,0.00017091095539224064,1.0,0.004016064257028112,0,components,8.0,train,qth_0.75
9,5949.0,256.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,train,qth_0.75
all,60000.0,1992.0,6.0,6.0,0.0001,1.0,0.0030120481927710845,0,components,8.0,train,qth_0.75
0,5923.0,42.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,qth_0.75
1,6742.0,135.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,qth_0.75
2,5958.0,361.0,2.0,2.0,0.0003356831151393085,1.0,0.00554016620498615,1,components,8.0,train,qth_0.75
3,6131.0,260.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,qth_0.75
4,5842.0,170.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,qth_0.75
5,5421.0,218.0,2.0,2.0,0.00036893562073418186,1.0,0.009174311926605505,1,components,8.0,train,qth_0.75
6,5918.0,90.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,qth_0.75
7,6265.0,211.0,1.0,1.0,0.0001596169193934557,1.0,0.004739336492890996,1,components,8.0,train,qth_0.75
8,5851.0,249.0,1.0,1.0,0.00017091095539224064,1.0,0.004016064257028112,1,components,8.0,train,qth_0.75
9,5949.0,256.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,train,qth_0.75
all,60000.0,1992.0,6.0,6.0,0.0001,1.0,0.0030120481927710845,1,components,8.0,train,qth_0.75
0,5923.0,42.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,qth_0.75
1,6742.0,135.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,qth_0.75
2,5958.0,361.0,2.0,2.0,0.0003356831151393085,1.0,0.00554016620498615,2,components,8.0,train,qth_0.75
3,6131.0,260.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,qth_0.75
4,5842.0,170.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,qth_0.75
5,5421.0,218.0,2.0,2.0,0.00036893562073418186,1.0,0.009174311926605505,2,components,8.0,train,qth_0.75
6,5918.0,90.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,qth_0.75
7,6265.0,211.0,1.0,1.0,0.0001596169193934557,1.0,0.004739336492890996,2,components,8.0,train,qth_0.75
8,5851.0,249.0,1.0,1.0,0.00017091095539224064,1.0,0.004016064257028112,2,components,8.0,train,qth_0.75
9,5949.0,256.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,train,qth_0.75
all,60000.0,1992.0,6.0,6.0,0.0001,1.0,0.0030120481927710845,2,components,8.0,train,qth_0.75
0,5923.0,42.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,train,qth_0.75
1,6742.0,135.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,train,qth_0.75
2,5958.0,361.0,2.0,2.0,0.0003356831151393085,1.0,0.00554016620498615,3,components,8.0,train,qth_0.75
3,6131.0,260.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,train,qth_0.75
4,5842.0,170.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,train,qth_0.75
5,5421.0,218.0,2.0,2.0,0.00036893562073418186,1.0,0.009174311926605505,3,components,8.0,train,qth_0.75
6,5918.0,90.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,train,qth_0.75
7,6265.0,211.0,1.0,1.0,0.0001596169193934557,1.0,0.004739336492890996,3,components,8.0,train,qth_0.75
8,5851.0,249.0,1.0,1.0,0.00017091095539224064,1.0,0.004016064257028112,3,components,8.0,train,qth_0.75
9,5949.0,256.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,train,qth_0.75
all,60000.0,1992.0,6.0,6.0,0.0001,1.0,0.0030120481927710845,3,components,8.0,train,qth_0.75
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,test,qth_0.75
1,1133.0,11.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,test,qth_0.75
2,1030.0,51.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,test,qth_0.75
3,1008.0,39.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,test,qth_0.75
4,980.0,27.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,test,qth_0.75
5,890.0,28.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,test,qth_0.75
6,956.0,22.0,2.0,0.0,0.0020920502092050207,1.0,1.0,0,components,8.0,test,qth_0.75
7,1027.0,45.0,1.0,0.0,0.0009737098344693282,1.0,1.0,0,components,8.0,test,qth_0.75
8,973.0,38.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,test,qth_0.75
9,1008.0,35.0,0.0,0.0,0.0,0.0,1.0,0,components,8.0,test,qth_0.75
all,9984.0,303.0,3.0,0.0,0.00030048076923076925,1.0,1.0,0,components,8.0,test,qth_0.75
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,test,qth_0.75
1,1133.0,11.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,test,qth_0.75
2,1030.0,51.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,test,qth_0.75
3,1008.0,39.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,test,qth_0.75
4,980.0,27.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,test,qth_0.75
5,890.0,28.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,test,qth_0.75
6,956.0,22.0,2.0,0.0,0.0020920502092050207,1.0,1.0,1,components,8.0,test,qth_0.75
7,1027.0,45.0,1.0,0.0,0.0009737098344693282,1.0,1.0,1,components,8.0,test,qth_0.75
8,973.0,38.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,test,qth_0.75
9,1008.0,35.0,0.0,0.0,0.0,0.0,1.0,1,components,8.0,test,qth_0.75
all,9984.0,303.0,3.0,0.0,0.00030048076923076925,1.0,1.0,1,components,8.0,test,qth_0.75
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,qth_0.75
1,1133.0,11.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,qth_0.75
2,1030.0,51.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,qth_0.75
3,1008.0,39.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,qth_0.75
4,980.0,27.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,qth_0.75
5,890.0,28.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,qth_0.75
6,956.0,22.0,2.0,0.0,0.0020920502092050207,1.0,1.0,2,components,8.0,test,qth_0.75
7,1027.0,45.0,1.0,0.0,0.0009737098344693282,1.0,1.0,2,components,8.0,test,qth_0.75
8,973.0,38.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,qth_0.75
9,1008.0,35.0,0.0,0.0,0.0,0.0,1.0,2,components,8.0,test,qth_0.75
all,9984.0,303.0,3.0,0.0,0.00030048076923076925,1.0,1.0,2,components,8.0,test,qth_0.75
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,qth_0.75
1,1133.0,11.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,qth_0.75
2,1030.0,51.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,qth_0.75
3,1008.0,39.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,qth_0.75
4,980.0,27.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,qth_0.75
5,890.0,28.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,qth_0.75
6,956.0,22.0,2.0,0.0,0.0020920502092050207,1.0,1.0,3,components,8.0,test,qth_0.75
7,1027.0,45.0,1.0,0.0,0.0009737098344693282,1.0,1.0,3,components,8.0,test,qth_0.75
8,973.0,38.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,qth_0.75
9,1008.0,35.0,0.0,0.0,0.0,0.0,1.0,3,components,8.0,test,qth_0.75
all,9984.0,303.0,3.0,0.0,0.00030048076923076925,1.0,1.0,3,components,8.0,test,qth_0.75
1,1000.0,0.0,3.0,0.0,0.003,1.0,0.0,0,components,8.0,evaluation,qth_0.75
all,1000.0,0.0,3.0,0.0,0.003,1.0,0.0,0,components,8.0,evaluation,qth_0.75
1,1000.0,0.0,3.0,0.0,0.003,1.0,0.0,1,components,8.0,evaluation,qth_0.75
all,1000.0,0.0,3.0,0.0,0.003,1.0,0.0,1,components,8.0,evaluation,qth_0.75
1,1000.0,0.0,3.0,0.0,0.003,1.0,0.0,2,components,8.0,evaluation,qth_0.75
all,1000.0,0.0,3.0,0.0,0.003,1.0,0.0,2,components,8.0,evaluation,qth_0.75
1,1000.0,0.0,3.0,0.0,0.003,1.0,0.0,3,components,8.0,evaluation,qth_0.75
all,1000.0,0.0,3.0,0.0,0.003,1.0,0.0,3,components,8.0,evaluation,qth_0.75
