y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,58,58,58,0,0.0097923349653891,1.0,1.0,0,,30,train,mean
1,6742,101,98,98,0,0.0145357460694156,1.0,0.9702970297029703,0,,30,train,mean
2,5958,270,269,269,0,0.0451493789862369,1.0,0.9962962962962963,0,,30,train,mean
3,6131,201,200,200,0,0.0326211058554885,1.0,0.9950248756218906,0,,30,train,mean
4,5842,278,273,273,0,0.046730571722013,1.0,0.9820143884892086,0,,30,train,mean
5,5421,133,133,133,0,0.024534218778823,1.0,1.0,0,,30,train,mean
6,5918,131,128,128,0,0.0216289286921257,1.0,0.9770992366412213,0,,30,train,mean
7,6265,162,157,157,0,0.0250598563447725,1.0,0.9691358024691358,0,,30,train,mean
8,5851,239,238,238,0,0.0406768073833532,1.0,0.99581589958159,0,,30,train,mean
9,5949,230,229,229,0,0.0384938645150445,1.0,0.9956521739130435,0,,30,train,mean
all,60000,1803,1783,1783,0,0.0297166666666666,1.0,0.9889073765945646,0,,30,train,mean
0,5923,58,58,58,0,0.0097923349653891,1.0,1.0,1,,30,train,mean
1,6742,101,98,98,0,0.0145357460694156,1.0,0.9702970297029703,1,,30,train,mean
2,5958,270,269,269,0,0.0451493789862369,1.0,0.9962962962962963,1,,30,train,mean
3,6131,201,200,200,0,0.0326211058554885,1.0,0.9950248756218906,1,,30,train,mean
4,5842,278,273,273,0,0.046730571722013,1.0,0.9820143884892086,1,,30,train,mean
5,5421,133,133,133,0,0.024534218778823,1.0,1.0,1,,30,train,mean
6,5918,131,128,128,0,0.0216289286921257,1.0,0.9770992366412213,1,,30,train,mean
7,6265,162,157,157,0,0.0250598563447725,1.0,0.9691358024691358,1,,30,train,mean
8,5851,239,238,238,0,0.0406768073833532,1.0,0.99581589958159,1,,30,train,mean
9,5949,230,229,229,0,0.0384938645150445,1.0,0.9956521739130435,1,,30,train,mean
