y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,58,58,58,0,0.0097923349653891,1.0,1.0,0,,30,train,qth_0.5
1,6742,101,98,98,0,0.0145357460694156,1.0,0.9702970297029703,0,,30,train,qth_0.5
2,5958,270,269,269,0,0.0451493789862369,1.0,0.9962962962962963,0,,30,train,qth_0.5
3,6131,201,200,200,0,0.0326211058554885,1.0,0.9950248756218906,0,,30,train,qth_0.5
4,5842,278,276,276,0,0.0472440944881889,1.0,0.9928057553956835,0,,30,train,qth_0.5
5,5421,133,133,133,0,0.024534218778823,1.0,1.0,0,,30,train,qth_0.5
6,5918,131,127,127,0,0.0214599526867184,1.0,0.9694656488549618,0,,30,train,qth_0.5
7,6265,162,160,160,0,0.0255387071029529,1.0,0.9876543209876543,0,,30,train,qth_0.5
8,5851,239,237,237,0,0.040505896427961,1.0,0.9916317991631799,0,,30,train,qth_0.5
9,5949,230,230,230,0,0.0386619599932761,1.0,1.0,0,,30,train,qth_0.5
all,60000,1803,1788,1788,0,0.0298,1.0,0.9916805324459235,0,,30,train,qth_0.5
0,5923,58,58,58,0,0.0097923349653891,1.0,1.0,1,,30,train,qth_0.5
1,6742,101,98,98,0,0.0145357460694156,1.0,0.9702970297029703,1,,30,train,qth_0.5
2,5958,270,269,269,0,0.0451493789862369,1.0,0.9962962962962963,1,,30,train,qth_0.5
3,6131,201,200,200,0,0.0326211058554885,1.0,0.9950248756218906,1,,30,train,qth_0.5
4,5842,278,276,276,0,0.0472440944881889,1.0,0.9928057553956835,1,,30,train,qth_0.5
5,5421,133,133,133,0,0.024534218778823,1.0,1.0,1,,30,train,qth_0.5
6,5918,131,127,127,0,0.0214599526867184,1.0,0.9694656488549618,1,,30,train,qth_0.5
7,6265,162,160,160,0,0.0255387071029529,1.0,0.9876543209876543,1,,30,train,qth_0.5
8,5851,239,237,237,0,0.040505896427961,1.0,0.9916317991631799,1,,30,train,qth_0.5
9,5949,230,230,230,0,0.0386619599932761,1.0,1.0,1,,30,train,qth_0.5
all,60000,1803,1788,1788,0,0.0298,1.0,0.9916805324459235,1,,30,train,qth_0.5
0,5923,58,58,58,0,0.0097923349653891,1.0,1.0,2,,30,train,qth_0.5
1,6742,101,98,98,0,0.0145357460694156,1.0,0.9702970297029703,2,,30,train,qth_0.5
2,5958,270,269,269,0,0.0451493789862369,1.0,0.9962962962962963,2,,30,train,qth_0.5
3,6131,201,200,200,0,0.0326211058554885,1.0,0.9950248756218906,2,,30,train,qth_0.5
4,5842,278,276,276,0,0.0472440944881889,1.0,0.9928057553956835,2,,30,train,qth_0.5
5,5421,133,133,133,0,0.024534218778823,1.0,1.0,2,,30,train,qth_0.5
6,5918,131,127,127,0,0.0214599526867184,1.0,0.9694656488549618,2,,30,train,qth_0.5
7,6265,162,160,160,0,0.0255387071029529,1.0,0.9876543209876543,2,,30,train,qth_0.5
8,5851,239,237,237,0,0.040505896427961,1.0,0.9916317991631799,2,,30,train,qth_0.5
9,5949,230,230,230,0,0.0386619599932761,1.0,1.0,2,,30,train,qth_0.5
all,60000,1803,1788,1788,0,0.0298,1.0,0.9916805324459235,2,,30,train,qth_0.5
0,5923,58,58,58,0,0.0097923349653891,1.0,1.0,3,,30,train,qth_0.5
1,6742,101,98,98,0,0.0145357460694156,1.0,0.9702970297029703,3,,30,train,qth_0.5
2,5958,270,269,269,0,0.0451493789862369,1.0,0.9962962962962963,3,,30,train,qth_0.5
3,6131,201,200,200,0,0.0326211058554885,1.0,0.9950248756218906,3,,30,train,qth_0.5
4,5842,278,276,276,0,0.0472440944881889,1.0,0.9928057553956835,3,,30,train,qth_0.5
5,5421,133,133,133,0,0.024534218778823,1.0,1.0,3,,30,train,qth_0.5
6,5918,131,127,127,0,0.0214599526867184,1.0,0.9694656488549618,3,,30,train,qth_0.5
7,6265,162,160,160,0,0.0255387071029529,1.0,0.9876543209876543,3,,30,train,qth_0.5
8,5851,239,237,237,0,0.040505896427961,1.0,0.9916317991631799,3,,30,train,qth_0.5
9,5949,230,230,230,0,0.0386619599932761,1.0,1.0,3,,30,train,qth_0.5
all,60000,1803,1788,1788,0,0.0298,1.0,0.9916805324459235,3,,30,train,qth_0.5
0,979,7,7,7,0,0.0071501532175689,1.0,1.0,0,,30,test,qth_0.5
1,1133,8,7,7,0,0.0061782877316857,1.0,0.875,0,,30,test,qth_0.5
2,1030,45,45,45,0,0.0436893203883495,1.0,1.0,0,,30,test,qth_0.5
3,1008,32,32,32,0,0.0317460317460317,1.0,1.0,0,,30,test,qth_0.5
4,980,33,33,33,0,0.0336734693877551,1.0,1.0,0,,30,test,qth_0.5
5,890,18,18,18,0,0.0202247191011235,1.0,1.0,0,,30,test,qth_0.5
6,956,31,31,31,0,0.0324267782426778,1.0,1.0,0,,30,test,qth_0.5
7,1027,36,36,36,0,0.0350535540408958,1.0,1.0,0,,30,test,qth_0.5
8,973,36,36,36,0,0.0369989722507708,1.0,1.0,0,,30,test,qth_0.5
9,1008,38,38,38,0,0.0376984126984126,1.0,1.0,0,,30,test,qth_0.5
all,9984,284,283,283,0,0.0283453525641025,1.0,0.9964788732394366,0,,30,test,qth_0.5
0,979,7,7,7,0,0.0071501532175689,1.0,1.0,1,,30,test,qth_0.5
1,1133,8,7,7,0,0.0061782877316857,1.0,0.875,1,,30,test,qth_0.5
2,1030,45,45,45,0,0.0436893203883495,1.0,1.0,1,,30,test,qth_0.5
