thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,2.083,4314.3,0.0,58197.0,78.5,0.0,30.0,2023-08-14 09:04:13,2023-08-14 09:06:19
qth_0.75,1.0,46.217,4320.6,0.0,1369800.0,93.4,0.0,30.0,2023-08-14 09:09:42,2023-08-14 09:55:55
qth_0.75,2.0,16.433,4320.7,0.0,803757.0,97.8,0.0,30.0,2023-08-14 09:58:39,2023-08-14 10:15:06
qth_0.75,3.0,7.817,4323.3,0.0,521556.0,99.3,0.0,30.0,2023-08-14 10:16:28,2023-08-14 10:24:17
qth_0.75,0.0,0.0,4303.4,0.0,58197.0,0.2,0.0,7.0,2023-08-14 09:04:07,2023-08-14 09:04:08
qth_0.75,1.0,0.0,4303.4,0.0,686.0,13.1,0.0,7.0,2023-08-14 09:04:34,2023-08-14 09:04:35
qth_0.75,2.0,0.0,4303.4,0.0,284.0,28.2,0.0,7.0,2023-08-14 09:05:00,2023-08-14 09:05:00
qth_0.75,3.0,0.0,4303.4,0.0,107.0,49.5,0.0,7.0,2023-08-14 09:05:26,2023-08-14 09:05:27
qth_0.5,0.0,2.8,4315.2,0.0,58197.0,93.5,0.0,30.0,2023-08-14 09:04:13,2023-08-14 09:07:02
qth_0.5,1.0,60.317,4323.1,0.0,1632390.0,97.6,0.0,30.0,2023-08-14 09:11:14,2023-08-14 10:11:33
qth_0.5,2.0,15.117,4323.1,0.0,786028.0,99.0,0.0,30.0,2023-08-14 10:13:19,2023-08-14 10:28:26
qth_0.5,3.0,4.883,4325.5,0.0,379344.0,99.6,0.0,30.0,2023-08-14 10:29:55,2023-08-14 10:34:49
qth_0.5,0.0,0.0,4303.4,0.0,58197.0,0.2,0.0,7.0,2023-08-14 09:04:14,2023-08-14 09:04:14
qth_0.5,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 09:04:40,2023-08-14 09:04:41
qth_0.5,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 09:05:06,2023-08-14 09:05:06
qth_0.5,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 09:05:31,2023-08-14 09:05:32
qth_0.25,0.0,2.1,4314.3,0.0,58197.0,79.5,0.0,30.0,2023-08-14 09:04:23,2023-08-14 09:06:29
qth_0.25,1.0,45.833,4319.3,0.0,1387530.0,93.5,0.0,30.0,2023-08-14 09:09:49,2023-08-14 09:55:40
qth_0.25,2.0,16.783,4320.9,0.0,828708.0,97.8,0.0,30.0,2023-08-14 09:58:24,2023-08-14 10:15:12
qth_0.25,3.0,8.233,4323.4,0.0,549268.0,99.2,0.0,30.0,2023-08-14 10:16:33,2023-08-14 10:24:48
qth_0.25,0.0,0.0,4303.4,0.0,58197.0,0.2,0.0,7.0,2023-08-14 09:04:17,2023-08-14 09:04:18
qth_0.25,1.0,0.0,4303.4,0.0,637.0,16.8,0.0,7.0,2023-08-14 09:04:45,2023-08-14 09:04:45
qth_0.25,2.0,0.0,4303.4,0.0,263.0,30.0,0.0,7.0,2023-08-14 09:05:11,2023-08-14 09:05:11
qth_0.25,3.0,0.0,4303.4,0.0,99.0,47.5,0.0,7.0,2023-08-14 09:05:37,2023-08-14 09:05:37
relu,0.0,2.667,4315.2,0.0,58197.0,92.9,0.0,30.0,2023-08-14 09:04:28,2023-08-14 09:07:08
relu,1.0,59.967,4323.0,0.0,1621170.0,97.5,0.0,30.0,2023-08-14 09:11:19,2023-08-14 10:11:17
relu,2.0,14.917,4323.0,0.0,776577.0,98.9,0.0,30.0,2023-08-14 10:13:03,2023-08-14 10:27:58
relu,3.0,4.883,4325.6,0.0,372050.0,99.5,0.0,30.0,2023-08-14 10:29:29,2023-08-14 10:34:23
relu,0.0,0.0,4303.4,0.0,58197.0,0.2,0.0,7.0,2023-08-14 09:04:26,2023-08-14 09:04:26
relu,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 09:04:51,2023-08-14 09:04:52
relu,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 09:05:19,2023-08-14 09:05:19
relu,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 09:05:47,2023-08-14 09:05:47
mean,0.0,2.6,4315.2,0.0,58197.0,92.9,0.0,30.0,2023-08-14 09:04:39,2023-08-14 09:07:16
mean,1.0,59.95,4323.0,0.0,1621170.0,97.5,0.0,30.0,2023-08-14 09:11:24,2023-08-14 10:11:22
mean,2.0,14.9,4323.0,0.0,776577.0,98.9,0.0,30.0,2023-08-14 10:13:07,2023-08-14 10:28:01
mean,3.0,4.883,4325.6,0.0,372050.0,99.5,0.0,30.0,2023-08-14 10:29:31,2023-08-14 10:34:25
mean,0.0,0.0,4303.4,0.0,58197.0,0.2,0.0,7.0,2023-08-14 09:04:32,2023-08-14 09:04:32
mean,1.0,0.017,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 09:04:58,2023-08-14 09:04:59
mean,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 09:05:26,2023-08-14 09:05:27
mean,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 09:05:54,2023-08-14 09:05:55
