thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,0.283,4306.0,0.0,67897.0,12.0,0.0,30.0,2023-08-11 13:39:29,2023-08-11 13:39:46
qth_0.75,1.0,7.75,4308.5,0.0,244950.0,86.0,0.0,30.0,2023-08-11 13:42:03,2023-08-11 13:49:49
qth_0.75,2.0,2.65,4309.0,0.0,138977.0,97.0,0.0,30.0,2023-08-11 13:50:50,2023-08-11 13:53:30
qth_0.75,3.0,1.667,4309.0,0.0,89064.0,99.4,0.0,30.0,2023-08-11 13:54:30,2023-08-11 13:56:10
qth_0.75,0.0,0.017,4303.9,0.0,67897.0,2.8,0.0,17.0,2023-08-11 13:39:23,2023-08-11 13:39:25
qth_0.75,1.0,0.6,4304.4,0.0,32844.0,66.8,0.0,17.0,2023-08-11 13:40:14,2023-08-11 13:40:51
qth_0.75,2.0,0.267,4304.5,0.0,17415.0,84.3,0.0,17.0,2023-08-11 13:41:38,2023-08-11 13:41:54
qth_0.75,3.0,0.133,4304.5,0.0,9738.0,93.7,0.0,17.0,2023-08-11 13:42:38,2023-08-11 13:42:47
qth_0.75,0.0,0.0,4303.5,0.0,67897.0,0.5,0.0,10.0,2023-08-11 13:39:19,2023-08-11 13:39:20
qth_0.75,1.0,0.033,4303.6,0.0,3290.0,38.2,0.0,10.0,2023-08-11 13:39:53,2023-08-11 13:39:55
qth_0.75,2.0,0.0,4303.6,0.0,1514.0,55.1,0.0,10.0,2023-08-11 13:40:29,2023-08-11 13:40:30
qth_0.75,3.0,0.0,4303.6,0.0,694.0,64.0,0.0,10.0,2023-08-11 13:41:03,2023-08-11 13:41:04
qth_0.5,0.0,1.083,4308.9,0.0,67897.0,38.7,0.0,30.0,2023-08-11 13:39:28,2023-08-11 13:40:34
qth_0.5,1.0,19.3,4317.6,0.0,787770.0,88.4,0.0,30.0,2023-08-11 13:44:07,2023-08-11 14:03:25
qth_0.5,2.0,4.983,4318.1,0.0,362989.0,96.2,0.0,30.0,2023-08-11 14:04:42,2023-08-11 14:09:42
qth_0.5,3.0,1.8,4318.1,0.0,175782.0,98.5,0.0,30.0,2023-08-11 14:10:33,2023-08-11 14:12:22
qth_0.5,0.0,0.083,4304.1,0.0,67897.0,10.0,0.0,17.0,2023-08-11 13:39:25,2023-08-11 13:39:32
qth_0.5,1.0,2.233,4305.4,0.0,115141.0,61.8,0.0,17.0,2023-08-11 13:40:30,2023-08-11 13:42:44
qth_0.5,2.0,0.9,4305.4,0.0,56044.0,75.6,0.0,17.0,2023-08-11 13:43:35,2023-08-11 13:44:30
qth_0.5,3.0,0.367,4305.4,0.0,27319.0,84.4,0.0,17.0,2023-08-11 13:45:17,2023-08-11 13:45:39
qth_0.5,0.0,0.0,4303.6,0.0,67897.0,1.0,0.0,10.0,2023-08-11 13:39:23,2023-08-11 13:39:23
qth_0.5,1.0,0.083,4303.7,0.0,7070.0,18.7,0.0,10.0,2023-08-11 13:39:57,2023-08-11 13:40:03
qth_0.5,2.0,0.033,4303.7,0.0,3193.0,24.3,0.0,10.0,2023-08-11 13:40:37,2023-08-11 13:40:40
qth_0.5,3.0,0.017,4303.7,0.0,1470.0,26.0,0.0,10.0,2023-08-11 13:41:14,2023-08-11 13:41:15
qth_0.25,0.0,1.083,4309.1,0.0,67897.0,42.6,0.0,30.0,2023-08-11 13:39:33,2023-08-11 13:40:38
qth_0.25,1.0,19.583,4318.8,0.0,868470.0,85.3,0.0,30.0,2023-08-11 13:43:52,2023-08-11 14:03:28
qth_0.25,2.0,5.967,4319.7,0.0,495875.0,95.8,0.0,30.0,2023-08-11 14:04:38,2023-08-11 14:10:36
