y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,24.0,24.0,0.0040520006753334,1.0,0.4137931034482758,0,,30.0,train,qth_0.25
1,6742.0,101.0,47.0,47.0,0.0069712251557401,1.0,0.4653465346534653,0,,30.0,train,qth_0.25
2,5958.0,270.0,124.0,124.0,0.0208123531386371,1.0,0.4592592592592592,0,,30.0,train,qth_0.25
3,6131.0,201.0,61.0,61.0,0.0099494372859239,1.0,0.3034825870646766,0,,30.0,train,qth_0.25
4,5842.0,278.0,84.0,84.0,0.014378637452927,1.0,0.302158273381295,0,,30.0,train,qth_0.25
5,5421.0,133.0,59.0,59.0,0.0108836008116583,1.0,0.4436090225563909,0,,30.0,train,qth_0.25
6,5918.0,131.0,55.0,55.0,0.0092936802973977,1.0,0.4198473282442748,0,,30.0,train,qth_0.25
7,6265.0,162.0,58.0,58.0,0.0092577813248204,1.0,0.3580246913580246,0,,30.0,train,qth_0.25
8,5851.0,239.0,77.0,77.0,0.0131601435652025,1.0,0.3221757322175732,0,,30.0,train,qth_0.25
9,5949.0,230.0,81.0,81.0,0.0136157337367624,1.0,0.3521739130434783,0,,30.0,train,qth_0.25
all,60000.0,1803.0,670.0,670.0,0.0111666666666666,1.0,0.3716028840820854,0,,30.0,train,qth_0.25
0,5923.0,58.0,24.0,24.0,0.0040520006753334,1.0,0.4137931034482758,1,,30.0,train,qth_0.25
1,6742.0,101.0,47.0,47.0,0.0069712251557401,1.0,0.4653465346534653,1,,30.0,train,qth_0.25
2,5958.0,270.0,124.0,124.0,0.0208123531386371,1.0,0.4592592592592592,1,,30.0,train,qth_0.25
3,6131.0,201.0,61.0,61.0,0.0099494372859239,1.0,0.3034825870646766,1,,30.0,train,qth_0.25
4,5842.0,278.0,84.0,84.0,0.014378637452927,1.0,0.302158273381295,1,,30.0,train,qth_0.25
5,5421.0,133.0,59.0,59.0,0.0108836008116583,1.0,0.4436090225563909,1,,30.0,train,qth_0.25
6,5918.0,131.0,55.0,55.0,0.0092936802973977,1.0,0.4198473282442748,1,,30.0,train,qth_0.25
7,6265.0,162.0,58.0,58.0,0.0092577813248204,1.0,0.3580246913580246,1,,30.0,train,qth_0.25
8,5851.0,239.0,77.0,77.0,0.0131601435652025,1.0,0.3221757322175732,1,,30.0,train,qth_0.25
9,5949.0,230.0,81.0,81.0,0.0136157337367624,1.0,0.3521739130434783,1,,30.0,train,qth_0.25
all,60000.0,1803.0,670.0,670.0,0.0111666666666666,1.0,0.3716028840820854,1,,30.0,train,qth_0.25
0,5923.0,58.0,24.0,24.0,0.0040520006753334,1.0,0.4137931034482758,2,,30.0,train,qth_0.25
1,6742.0,101.0,47.0,47.0,0.0069712251557401,1.0,0.4653465346534653,2,,30.0,train,qth_0.25
2,5958.0,270.0,124.0,124.0,0.0208123531386371,1.0,0.4592592592592592,2,,30.0,train,qth_0.25
3,6131.0,201.0,61.0,61.0,0.0099494372859239,1.0,0.3034825870646766,2,,30.0,train,qth_0.25
4,5842.0,278.0,84.0,84.0,0.014378637452927,1.0,0.302158273381295,2,,30.0,train,qth_0.25
5,5421.0,133.0,59.0,59.0,0.0108836008116583,1.0,0.4436090225563909,2,,30.0,train,qth_0.25
