y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,2.0,2.0,0.0003376667229444,1.0,0.0344827586206896,0,gte_mean,17.0,train,qth_0.25
1,6742.0,101.0,3.0,3.0,0.0004449718184514,1.0,0.0297029702970297,0,gte_mean,17.0,train,qth_0.25
2,5958.0,270.0,15.0,15.0,0.0025176233635448,1.0,0.0555555555555555,0,gte_mean,17.0,train,qth_0.25
3,6131.0,201.0,4.0,4.0,0.0006524221171097,1.0,0.0199004975124378,0,gte_mean,17.0,train,qth_0.25
4,5842.0,278.0,18.0,18.0,0.0030811365970558,1.0,0.0647482014388489,0,gte_mean,17.0,train,qth_0.25
5,5421.0,133.0,7.0,7.0,0.0012912746725696,1.0,0.0526315789473684,0,gte_mean,17.0,train,qth_0.25
6,5918.0,131.0,3.0,3.0,0.0005069280162216,1.0,0.0229007633587786,0,gte_mean,17.0,train,qth_0.25
7,6265.0,162.0,8.0,8.0,0.0012769353551476,1.0,0.0493827160493827,0,gte_mean,17.0,train,qth_0.25
8,5851.0,239.0,5.0,5.0,0.0008545547769612,1.0,0.0209205020920502,0,gte_mean,17.0,train,qth_0.25
9,5949.0,230.0,9.0,9.0,0.0015128593040847,1.0,0.0391304347826087,0,gte_mean,17.0,train,qth_0.25
all,60000.0,1803.0,74.0,74.0,0.0012333333333333,1.0,0.0410427066001109,0,gte_mean,17.0,train,qth_0.25
0,5923.0,58.0,2.0,2.0,0.0003376667229444,1.0,0.0344827586206896,1,gte_mean,17.0,train,qth_0.25
1,6742.0,101.0,3.0,3.0,0.0004449718184514,1.0,0.0297029702970297,1,gte_mean,17.0,train,qth_0.25
2,5958.0,270.0,15.0,15.0,0.0025176233635448,1.0,0.0555555555555555,1,gte_mean,17.0,train,qth_0.25
3,6131.0,201.0,4.0,4.0,0.0006524221171097,1.0,0.0199004975124378,1,gte_mean,17.0,train,qth_0.25
4,5842.0,278.0,18.0,18.0,0.0030811365970558,1.0,0.0647482014388489,1,gte_mean,17.0,train,qth_0.25
5,5421.0,133.0,7.0,7.0,0.0012912746725696,1.0,0.0526315789473684,1,gte_mean,17.0,train,qth_0.25
6,5918.0,131.0,3.0,3.0,0.0005069280162216,1.0,0.0229007633587786,1,gte_mean,17.0,train,qth_0.25
