y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,9.0,9.0,0.00151950025325,1.0,0.1551724137931034,0,gte_mean,17.0,train,relu
1,6742.0,101.0,9.0,9.0,0.0013349154553544,1.0,0.0891089108910891,0,gte_mean,17.0,train,relu
2,5958.0,270.0,53.0,53.0,0.0088956025511916,1.0,0.1962962962962963,0,gte_mean,17.0,train,relu
3,6131.0,201.0,53.0,53.0,0.0086445930517044,1.0,0.263681592039801,0,gte_mean,17.0,train,relu
4,5842.0,278.0,21.0,21.0,0.0035946593632317,1.0,0.0755395683453237,0,gte_mean,17.0,train,relu
5,5421.0,133.0,18.0,18.0,0.0033204205866076,1.0,0.1353383458646616,0,gte_mean,17.0,train,relu
6,5918.0,131.0,4.0,4.0,0.0006759040216289,1.0,0.0305343511450381,0,gte_mean,17.0,train,relu
7,6265.0,162.0,14.0,14.0,0.0022346368715083,1.0,0.0864197530864197,0,gte_mean,17.0,train,relu
8,5851.0,239.0,33.0,33.0,0.0056400615279439,1.0,0.1380753138075313,0,gte_mean,17.0,train,relu
9,5949.0,230.0,46.0,46.0,0.0077323919986552,1.0,0.2,0,gte_mean,17.0,train,relu
all,60000.0,1803.0,260.0,260.0,0.0043333333333333,1.0,0.14420410427066,0,gte_mean,17.0,train,relu
0,5923.0,58.0,9.0,9.0,0.00151950025325,1.0,0.1551724137931034,1,gte_mean,17.0,train,relu
1,6742.0,101.0,9.0,9.0,0.0013349154553544,1.0,0.0891089108910891,1,gte_mean,17.0,train,relu
2,5958.0,270.0,53.0,53.0,0.0088956025511916,1.0,0.1962962962962963,1,gte_mean,17.0,train,relu
3,6131.0,201.0,53.0,53.0,0.0086445930517044,1.0,0.263681592039801,1,gte_mean,17.0,train,relu
4,5842.0,278.0,21.0,21.0,0.0035946593632317,1.0,0.0755395683453237,1,gte_mean,17.0,train,relu
5,5421.0,133.0,18.0,18.0,0.0033204205866076,1.0,0.1353383458646616,1,gte_mean,17.0,train,relu
6,5918.0,131.0,4.0,4.0,0.0006759040216289,1.0,0.0305343511450381,1,gte_mean,17.0,train,relu
7,6265.0,162.0,14.0,14.0,0.0022346368715083,1.0,0.0864197530864197,1,gte_mean,17.0,train,relu
8,5851.0,239.0,33.0,33.0,0.0056400615279439,1.0,0.1380753138075313,1,gte_mean,17.0,train,relu
9,5949.0,230.0,46.0,46.0,0.0077323919986552,1.0,0.2,1,gte_mean,17.0,train,relu
all,60000.0,1803.0,260.0,260.0,0.0043333333333333,1.0,0.14420410427066,1,gte_mean,17.0,train,relu
