y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,38.0,38.0,0.006415667735944623,1.0,0.6551724137931034,0,None,30.0,train,qth_0.75
1,6742.0,101.0,73.0,73.0,0.010827647582319787,1.0,0.7227722772277227,0,None,30.0,train,qth_0.75
2,5958.0,270.0,156.0,156.0,0.026183282980866064,1.0,0.5777777777777777,0,None,30.0,train,qth_0.75
3,6131.0,201.0,108.0,108.0,0.01761539716196379,1.0,0.5373134328358209,0,None,30.0,train,qth_0.75
4,5842.0,278.0,158.0,158.0,0.02704553235193427,1.0,0.5683453237410072,0,None,30.0,train,qth_0.75
5,5421.0,133.0,81.0,81.0,0.014941892639734366,1.0,0.6090225563909775,0,None,30.0,train,qth_0.75
6,5918.0,131.0,58.0,58.0,0.009800608313619466,1.0,0.44274809160305345,0,None,30.0,train,qth_0.75
7,6265.0,162.0,87.0,87.0,0.013886671987230646,1.0,0.5370370370370371,0,None,30.0,train,qth_0.75
8,5851.0,239.0,135.0,135.0,0.023072978977952487,1.0,0.5648535564853556,0,None,30.0,train,qth_0.75
9,5949.0,230.0,115.0,115.0,0.01933097999663809,1.0,0.5,0,None,30.0,train,qth_0.75
all,60000.0,1803.0,1009.0,1009.0,0.016816666666666667,1.0,0.5596228508042151,0,None,30.0,train,qth_0.75
0,5923.0,58.0,38.0,38.0,0.006415667735944623,1.0,0.6551724137931034,1,None,30.0,train,qth_0.75
1,6742.0,101.0,73.0,73.0,0.010827647582319787,1.0,0.7227722772277227,1,None,30.0,train,qth_0.75
2,5958.0,270.0,156.0,156.0,0.026183282980866064,1.0,0.5777777777777777,1,None,30.0,train,qth_0.75
3,6131.0,201.0,108.0,108.0,0.01761539716196379,1.0,0.5373134328358209,1,None,30.0,train,qth_0.75
4,5842.0,278.0,158.0,158.0,0.02704553235193427,1.0,0.5683453237410072,1,None,30.0,train,qth_0.75
5,5421.0,133.0,81.0,81.0,0.014941892639734366,1.0,0.6090225563909775,1,None,30.0,train,qth_0.75
6,5918.0,131.0,58.0,58.0,0.009800608313619466,1.0,0.44274809160305345,1,None,30.0,train,qth_0.75
7,6265.0,162.0,87.0,87.0,0.013886671987230646,1.0,0.5370370370370371,1,None,30.0,train,qth_0.75
8,5851.0,239.0,135.0,135.0,0.023072978977952487,1.0,0.5648535564853556,1,None,30.0,train,qth_0.75
9,5949.0,230.0,115.0,115.0,0.01933097999663809,1.0,0.5,1,None,30.0,train,qth_0.75
all,60000.0,1803.0,1009.0,1009.0,0.016816666666666667,1.0,0.5596228508042151,1,None,30.0,train,qth_0.75
