y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,58,1,1,0,0.0001688333614722,1.0,0.017241379310344827,0,top_third,10,train,mean
1,6742,101,1,1,0,0.0001483239394838,1.0,0.009900990099009901,0,top_third,10,train,mean
2,5958,270,3,3,0,0.0005035246727089,1.0,0.011111111111111112,0,top_third,10,train,mean
3,6131,201,2,2,0,0.0003262110585548,1.0,0.009950248756218905,0,top_third,10,train,mean
4,5842,278,4,4,0,0.0006846970215679,1.0,0.014388489208633094,0,top_third,10,train,mean
5,5421,133,1,1,0,0.000184467810367,1.0,0.007518796992481203,0,top_third,10,train,mean
6,5918,131,0,0,0,0.0,0.0,0.0,0,top_third,10,train,mean
7,6265,162,2,2,0,0.0003192338387869,1.0,0.012345679012345678,0,top_third,10,train,mean
8,5851,239,6,6,0,0.0010254657323534,1.0,0.02510460251046025,0,top_third,10,train,mean
9,5949,230,2,2,0,0.0003361909564632,1.0,0.008695652173913044,0,top_third,10,train,mean
all,60000,1803,22,22,0,0.0003666666666666,1.0,0.012201885745978924,0,top_third,10,train,mean
0,5923,58,1,1,0,0.0001688333614722,1.0,0.017241379310344827,1,top_third,10,train,mean
1,6742,101,1,1,0,0.0001483239394838,1.0,0.009900990099009901,1,top_third,10,train,mean
2,5958,270,3,3,0,0.0005035246727089,1.0,0.011111111111111112,1,top_third,10,train,mean
3,6131,201,2,2,0,0.0003262110585548,1.0,0.009950248756218905,1,top_third,10,train,mean
4,5842,278,4,4,0,0.0006846970215679,1.0,0.014388489208633094,1,top_third,10,train,mean
5,5421,133,1,1,0,0.000184467810367,1.0,0.007518796992481203,1,top_third,10,train,mean
6,5918,131,0,0,0,0.0,0.0,0.0,1,top_third,10,train,mean
7,6265,162,2,2,0,0.0003192338387869,1.0,0.012345679012345678,1,top_third,10,train,mean
