y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,49.0,49.0,0.0082728347121391,1.0,0.8448275862068966,0,,30.0,train,mean
1,6742.0,101.0,68.0,68.0,0.0100860278849006,1.0,0.6732673267326733,0,,30.0,train,mean
2,5958.0,270.0,219.0,219.0,0.0367573011077542,1.0,0.8111111111111111,0,,30.0,train,mean
3,6131.0,201.0,153.0,153.0,0.0249551459794487,1.0,0.7611940298507462,0,,30.0,train,mean
4,5842.0,278.0,169.0,169.0,0.0289284491612461,1.0,0.6079136690647482,0,,30.0,train,mean
5,5421.0,133.0,109.0,109.0,0.0201069913300129,1.0,0.8195488721804511,0,,30.0,train,mean
6,5918.0,131.0,86.0,86.0,0.0145319364650219,1.0,0.6564885496183206,0,,30.0,train,mean
7,6265.0,162.0,114.0,114.0,0.0181963288108539,1.0,0.7037037037037037,0,,30.0,train,mean
8,5851.0,239.0,198.0,198.0,0.0338403691676636,1.0,0.8284518828451883,0,,30.0,train,mean
9,5949.0,230.0,162.0,162.0,0.0272314674735249,1.0,0.7043478260869566,0,,30.0,train,mean
all,60000.0,1803.0,1327.0,1327.0,0.0221166666666666,1.0,0.7359955629506378,0,,30.0,train,mean
0,5923.0,58.0,49.0,49.0,0.0082728347121391,1.0,0.8448275862068966,1,,30.0,train,mean
1,6742.0,101.0,68.0,68.0,0.0100860278849006,1.0,0.6732673267326733,1,,30.0,train,mean
2,5958.0,270.0,219.0,219.0,0.0367573011077542,1.0,0.8111111111111111,1,,30.0,train,mean
3,6131.0,201.0,153.0,153.0,0.0249551459794487,1.0,0.7611940298507462,1,,30.0,train,mean
4,5842.0,278.0,169.0,169.0,0.0289284491612461,1.0,0.6079136690647482,1,,30.0,train,mean
5,5421.0,133.0,109.0,109.0,0.0201069913300129,1.0,0.8195488721804511,1,,30.0,train,mean
6,5918.0,131.0,86.0,86.0,0.0145319364650219,1.0,0.6564885496183206,1,,30.0,train,mean
7,6265.0,162.0,114.0,114.0,0.0181963288108539,1.0,0.7037037037037037,1,,30.0,train,mean
8,5851.0,239.0,198.0,198.0,0.0338403691676636,1.0,0.8284518828451883,1,,30.0,train,mean
9,5949.0,230.0,162.0,162.0,0.0272314674735249,1.0,0.7043478260869566,1,,30.0,train,mean
all,60000.0,1803.0,1327.0,1327.0,0.0221166666666666,1.0,0.7359955629506378,1,,30.0,train,mean
0,5923.0,58.0,49.0,49.0,0.0082728347121391,1.0,0.8448275862068966,2,,30.0,train,mean
1,6742.0,101.0,68.0,68.0,0.0100860278849006,1.0,0.6732673267326733,2,,30.0,train,mean
2,5958.0,270.0,219.0,219.0,0.0367573011077542,1.0,0.8111111111111111,2,,30.0,train,mean
3,6131.0,201.0,153.0,153.0,0.0249551459794487,1.0,0.7611940298507462,2,,30.0,train,mean
4,5842.0,278.0,169.0,169.0,0.0289284491612461,1.0,0.6079136690647482,2,,30.0,train,mean
5,5421.0,133.0,109.0,109.0,0.0201069913300129,1.0,0.8195488721804511,2,,30.0,train,mean
6,5918.0,131.0,86.0,86.0,0.0145319364650219,1.0,0.6564885496183206,2,,30.0,train,mean
7,6265.0,162.0,114.0,114.0,0.0181963288108539,1.0,0.7037037037037037,2,,30.0,train,mean
8,5851.0,239.0,198.0,198.0,0.0338403691676636,1.0,0.8284518828451883,2,,30.0,train,mean
9,5949.0,230.0,162.0,162.0,0.0272314674735249,1.0,0.7043478260869566,2,,30.0,train,mean
all,60000.0,1803.0,1327.0,1327.0,0.0221166666666666,1.0,0.7359955629506378,2,,30.0,train,mean
0,5923.0,58.0,49.0,49.0,0.0082728347121391,1.0,0.8448275862068966,3,,30.0,train,mean
1,6742.0,101.0,68.0,68.0,0.0100860278849006,1.0,0.6732673267326733,3,,30.0,train,mean
2,5958.0,270.0,219.0,219.0,0.0367573011077542,1.0,0.8111111111111111,3,,30.0,train,mean
3,6131.0,201.0,153.0,153.0,0.0249551459794487,1.0,0.7611940298507462,3,,30.0,train,mean
4,5842.0,278.0,169.0,169.0,0.0289284491612461,1.0,0.6079136690647482,3,,30.0,train,mean
5,5421.0,133.0,109.0,109.0,0.0201069913300129,1.0,0.8195488721804511,3,,30.0,train,mean
6,5918.0,131.0,86.0,86.0,0.0145319364650219,1.0,0.6564885496183206,3,,30.0,train,mean
7,6265.0,162.0,114.0,114.0,0.0181963288108539,1.0,0.7037037037037037,3,,30.0,train,mean
8,5851.0,239.0,198.0,198.0,0.0338403691676636,1.0,0.8284518828451883,3,,30.0,train,mean
9,5949.0,230.0,162.0,162.0,0.0272314674735249,1.0,0.7043478260869566,3,,30.0,train,mean
all,60000.0,1803.0,1327.0,1327.0,0.0221166666666666,1.0,0.7359955629506378,3,,30.0,train,mean
0,979.0,7.0,152.0,7.0,0.1552604698672114,0.0460526315789473,1.0,0,,30.0,test,mean
1,1133.0,8.0,86.0,6.0,0.0759046778464254,0.0697674418604651,0.75,0,,30.0,test,mean
2,1030.0,45.0,269.0,37.0,0.2611650485436893,0.137546468401487,0.8222222222222222,0,,30.0,test,mean
3,1008.0,32.0,219.0,25.0,0.2172619047619047,0.1141552511415525,0.78125,0,,30.0,test,mean
4,980.0,33.0,232.0,18.0,0.236734693877551,0.0775862068965517,0.5454545454545454,0,,30.0,test,mean
5,890.0,18.0,241.0,15.0,0.2707865168539325,0.0622406639004149,0.8333333333333334,0,,30.0,test,mean
6,956.0,31.0,134.0,22.0,0.1401673640167364,0.1641791044776119,0.7096774193548387,0,,30.0,test,mean
7,1027.0,36.0,191.0,25.0,0.1859785783836416,0.1308900523560209,0.6944444444444444,0,,30.0,test,mean
8,973.0,36.0,292.0,30.0,0.3001027749229188,0.1027397260273972,0.8333333333333334,0,,30.0,test,mean
9,1008.0,38.0,154.0,29.0,0.1527777777777778,0.1883116883116883,0.7631578947368421,0,,30.0,test,mean
all,9984.0,284.0,1970.0,214.0,0.1973157051282051,0.1086294416243654,0.7535211267605634,0,,30.0,test,mean
0,979.0,7.0,152.0,7.0,0.1552604698672114,0.0460526315789473,1.0,1,,30.0,test,mean
1,1133.0,8.0,86.0,6.0,0.0759046778464254,0.0697674418604651,0.75,1,,30.0,test,mean
2,1030.0,45.0,269.0,37.0,0.2611650485436893,0.137546468401487,0.8222222222222222,1,,30.0,test,mean
3,1008.0,32.0,219.0,25.0,0.2172619047619047,0.1141552511415525,0.78125,1,,30.0,test,mean
4,980.0,33.0,232.0,18.0,0.236734693877551,0.0775862068965517,0.5454545454545454,1,,30.0,test,mean
5,890.0,18.0,241.0,15.0,0.2707865168539325,0.0622406639004149,0.8333333333333334,1,,30.0,test,mean
6,956.0,31.0,134.0,22.0,0.1401673640167364,0.1641791044776119,0.7096774193548387,1,,30.0,test,mean
7,1027.0,36.0,191.0,25.0,0.1859785783836416,0.1308900523560209,0.6944444444444444,1,,30.0,test,mean
8,973.0,36.0,292.0,30.0,0.3001027749229188,0.1027397260273972,0.8333333333333334,1,,30.0,test,mean
9,1008.0,38.0,154.0,29.0,0.1527777777777778,0.1883116883116883,0.7631578947368421,1,,30.0,test,mean
all,9984.0,284.0,1970.0,214.0,0.1973157051282051,0.1086294416243654,0.7535211267605634,1,,30.0,test,mean
0,979.0,7.0,152.0,7.0,0.1552604698672114,0.0460526315789473,1.0,2,,30.0,test,mean
1,1133.0,8.0,86.0,6.0,0.0759046778464254,0.0697674418604651,0.75,2,,30.0,test,mean
2,1030.0,45.0,269.0,37.0,0.2611650485436893,0.137546468401487,0.8222222222222222,2,,30.0,test,mean
3,1008.0,32.0,219.0,25.0,0.2172619047619047,0.1141552511415525,0.78125,2,,30.0,test,mean
4,980.0,33.0,232.0,18.0,0.236734693877551,0.0775862068965517,0.5454545454545454,2,,30.0,test,mean
5,890.0,18.0,241.0,15.0,0.2707865168539325,0.0622406639004149,0.8333333333333334,2,,30.0,test,mean
6,956.0,31.0,134.0,22.0,0.1401673640167364,0.1641791044776119,0.7096774193548387,2,,30.0,test,mean
7,1027.0,36.0,191.0,25.0,0.1859785783836416,0.1308900523560209,0.6944444444444444,2,,30.0,test,mean
8,973.0,36.0,292.0,30.0,0.3001027749229188,0.1027397260273972,0.8333333333333334,2,,30.0,test,mean
9,1008.0,38.0,154.0,29.0,0.1527777777777778,0.1883116883116883,0.7631578947368421,2,,30.0,test,mean
all,9984.0,284.0,1970.0,214.0,0.1973157051282051,0.1086294416243654,0.7535211267605634,2,,30.0,test,mean
0,979.0,7.0,152.0,7.0,0.1552604698672114,0.0460526315789473,1.0,3,,30.0,test,mean
1,1133.0,8.0,86.0,6.0,0.0759046778464254,0.0697674418604651,0.75,3,,30.0,test,mean
2,1030.0,45.0,269.0,37.0,0.2611650485436893,0.137546468401487,0.8222222222222222,3,,30.0,test,mean
3,1008.0,32.0,219.0,25.0,0.2172619047619047,0.1141552511415525,0.78125,3,,30.0,test,mean
4,980.0,33.0,232.0,18.0,0.236734693877551,0.0775862068965517,0.5454545454545454,3,,30.0,test,mean
5,890.0,18.0,241.0,15.0,0.2707865168539325,0.0622406639004149,0.8333333333333334,3,,30.0,test,mean
6,956.0,31.0,134.0,22.0,0.1401673640167364,0.1641791044776119,0.7096774193548387,3,,30.0,test,mean
7,1027.0,36.0,191.0,25.0,0.1859785783836416,0.1308900523560209,0.6944444444444444,3,,30.0,test,mean
8,973.0,36.0,292.0,30.0,0.3001027749229188,0.1027397260273972,0.8333333333333334,3,,30.0,test,mean
9,1008.0,38.0,154.0,29.0,0.1527777777777778,0.1883116883116883,0.7631578947368421,3,,30.0,test,mean
all,9984.0,284.0,1970.0,214.0,0.1973157051282051,0.1086294416243654,0.7535211267605634,3,,30.0,test,mean
