y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,58,24,24,0,0.0040520006753334,1.0,0.41379310344827586,0,,30,train,qth_0.25
1,6742,101,49,49,0,0.0072678730347078,1.0,0.48514851485148514,0,,30,train,qth_0.25
2,5958,270,126,126,0,0.0211480362537764,1.0,0.4666666666666667,0,,30,train,qth_0.25
3,6131,201,64,64,0,0.0104387538737563,1.0,0.31840796019900497,0,,30,train,qth_0.25
4,5842,278,92,92,0,0.0157480314960629,1.0,0.33093525179856115,0,,30,train,qth_0.25
5,5421,133,64,64,0,0.0118059398634938,1.0,0.48120300751879697,0,,30,train,qth_0.25
6,5918,131,54,54,0,0.0091247042919905,1.0,0.4122137404580153,0,,30,train,qth_0.25
7,6265,162,62,62,0,0.0098962490023942,1.0,0.38271604938271603,0,,30,train,qth_0.25
8,5851,239,84,84,0,0.0143565202529482,1.0,0.3514644351464435,0,,30,train,qth_0.25
9,5949,230,85,85,0,0.014288115649689,1.0,0.3695652173913043,0,,30,train,qth_0.25
all,60000,1803,704,704,0,0.0117333333333333,1.0,0.39046034387132555,0,,30,train,qth_0.25
0,5923,58,24,24,0,0.0040520006753334,1.0,0.41379310344827586,1,,30,train,qth_0.25
1,6742,101,49,49,0,0.0072678730347078,1.0,0.48514851485148514,1,,30,train,qth_0.25
2,5958,270,126,126,0,0.0211480362537764,1.0,0.4666666666666667,1,,30,train,qth_0.25
3,6131,201,64,64,0,0.0104387538737563,1.0,0.31840796019900497,1,,30,train,qth_0.25
4,5842,278,92,92,0,0.0157480314960629,1.0,0.33093525179856115,1,,30,train,qth_0.25
5,5421,133,64,64,0,0.0118059398634938,1.0,0.48120300751879697,1,,30,train,qth_0.25
6,5918,131,54,54,0,0.0091247042919905,1.0,0.4122137404580153,1,,30,train,qth_0.25
7,6265,162,62,62,0,0.0098962490023942,1.0,0.38271604938271603,1,,30,train,qth_0.25
8,5851,239,84,84,0,0.0143565202529482,1.0,0.3514644351464435,1,,30,train,qth_0.25
9,5949,230,85,85,0,0.014288115649689,1.0,0.3695652173913043,1,,30,train,qth_0.25
all,60000,1803,704,704,0,0.0117333333333333,1.0,0.39046034387132555,1,,30,train,qth_0.25
0,5923,58,24,24,0,0.0040520006753334,1.0,0.41379310344827586,2,,30,train,qth_0.25
1,6742,101,49,49,0,0.0072678730347078,1.0,0.48514851485148514,2,,30,train,qth_0.25
2,5958,270,126,126,0,0.0211480362537764,1.0,0.4666666666666667,2,,30,train,qth_0.25
3,6131,201,64,64,0,0.0104387538737563,1.0,0.31840796019900497,2,,30,train,qth_0.25
4,5842,278,92,92,0,0.0157480314960629,1.0,0.33093525179856115,2,,30,train,qth_0.25
5,5421,133,64,64,0,0.0118059398634938,1.0,0.48120300751879697,2,,30,train,qth_0.25
6,5918,131,54,54,0,0.0091247042919905,1.0,0.4122137404580153,2,,30,train,qth_0.25
7,6265,162,62,62,0,0.0098962490023942,1.0,0.38271604938271603,2,,30,train,qth_0.25
8,5851,239,84,84,0,0.0143565202529482,1.0,0.3514644351464435,2,,30,train,qth_0.25
9,5949,230,85,85,0,0.014288115649689,1.0,0.3695652173913043,2,,30,train,qth_0.25
all,60000,1803,704,704,0,0.0117333333333333,1.0,0.39046034387132555,2,,30,train,qth_0.25
0,5923,58,24,24,0,0.0040520006753334,1.0,0.41379310344827586,3,,30,train,qth_0.25
1,6742,101,49,49,0,0.0072678730347078,1.0,0.48514851485148514,3,,30,train,qth_0.25
2,5958,270,126,126,0,0.0211480362537764,1.0,0.4666666666666667,3,,30,train,qth_0.25
3,6131,201,64,64,0,0.0104387538737563,1.0,0.31840796019900497,3,,30,train,qth_0.25
4,5842,278,92,92,0,0.0157480314960629,1.0,0.33093525179856115,3,,30,train,qth_0.25
5,5421,133,64,64,0,0.0118059398634938,1.0,0.48120300751879697,3,,30,train,qth_0.25
6,5918,131,54,54,0,0.0091247042919905,1.0,0.4122137404580153,3,,30,train,qth_0.25
7,6265,162,62,62,0,0.0098962490023942,1.0,0.38271604938271603,3,,30,train,qth_0.25
8,5851,239,84,84,0,0.0143565202529482,1.0,0.3514644351464435,3,,30,train,qth_0.25
9,5949,230,85,85,0,0.014288115649689,1.0,0.3695652173913043,3,,30,train,qth_0.25
all,60000,1803,704,704,0,0.0117333333333333,1.0,0.39046034387132555,3,,30,train,qth_0.25
0,979,7,382,3,379,0.390194075587334,0.0078534031413612,0.42857142857142855,0,,30,test,qth_0.25
1,1133,8,79,3,76,0.0697263901147396,0.0379746835443038,0.375,0,,30,test,qth_0.25
2,1030,45,315,24,291,0.3058252427184466,0.0761904761904762,0.5333333333333333,0,,30,test,qth_0.25
3,1008,32,545,13,532,0.5406746031746031,0.0238532110091743,0.40625,0,,30,test,qth_0.25
4,980,33,250,13,237,0.2551020408163265,0.052,0.3939393939393939,0,,30,test,qth_0.25
5,890,18,373,11,362,0.4191011235955056,0.0294906166219839,0.6111111111111112,0,,30,test,qth_0.25
6,956,31,363,15,348,0.3797071129707113,0.0413223140495867,0.4838709677419355,0,,30,test,qth_0.25
7,1027,36,340,11,329,0.3310613437195716,0.0323529411764705,0.3055555555555556,0,,30,test,qth_0.25
8,973,36,216,17,199,0.2219938335046248,0.0787037037037037,0.4722222222222222,0,,30,test,qth_0.25
9,1008,38,181,13,168,0.179563492063492,0.0718232044198895,0.34210526315789475,0,,30,test,qth_0.25
all,9984,284,3044,123,2921,0.3048878205128205,0.0404073587385019,0.43309859154929575,0,,30,test,qth_0.25
0,979,7,382,3,379,0.390194075587334,0.0078534031413612,0.42857142857142855,1,,30,test,qth_0.25
1,1133,8,79,3,76,0.0697263901147396,0.0379746835443038,0.375,1,,30,test,qth_0.25
2,1030,45,315,24,291,0.3058252427184466,0.0761904761904762,0.5333333333333333,1,,30,test,qth_0.25
3,1008,32,545,13,532,0.5406746031746031,0.0238532110091743,0.40625,1,,30,test,qth_0.25
4,980,33,250,13,237,0.2551020408163265,0.052,0.3939393939393939,1,,30,test,qth_0.25
5,890,18,373,11,362,0.4191011235955056,0.0294906166219839,0.6111111111111112,1,,30,test,qth_0.25
6,956,31,363,15,348,0.3797071129707113,0.0413223140495867,0.4838709677419355,1,,30,test,qth_0.25
7,1027,36,340,11,329,0.3310613437195716,0.0323529411764705,0.3055555555555556,1,,30,test,qth_0.25
8,973,36,216,17,199,0.2219938335046248,0.0787037037037037,0.4722222222222222,1,,30,test,qth_0.25
9,1008,38,181,13,168,0.179563492063492,0.0718232044198895,0.34210526315789475,1,,30,test,qth_0.25
all,9984,284,3044,123,2921,0.3048878205128205,0.0404073587385019,0.43309859154929575,1,,30,test,qth_0.25
0,979,7,382,3,379,0.390194075587334,0.0078534031413612,0.42857142857142855,2,,30,test,qth_0.25
