y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,58,39,39,0,0.0065845010974168,1.0,0.6724137931034483,0,,30,train,relu
1,6742,101,59,59,0,0.0087511124295461,1.0,0.5841584158415841,0,,30,train,relu
2,5958,270,201,201,0,0.0337361530715005,1.0,0.7444444444444445,0,,30,train,relu
3,6131,201,158,158,0,0.0257706736258359,1.0,0.7860696517412935,0,,30,train,relu
4,5842,278,152,152,0,0.0260184868195823,1.0,0.5467625899280576,0,,30,train,relu
5,5421,133,80,80,0,0.0147574248293672,1.0,0.6015037593984962,0,,30,train,relu
6,5918,131,54,54,0,0.0091247042919905,1.0,0.4122137404580153,0,,30,train,relu
7,6265,162,91,91,0,0.0145251396648044,1.0,0.5617283950617284,0,,30,train,relu
8,5851,239,180,180,0,0.0307639719706033,1.0,0.7531380753138075,0,,30,train,relu
9,5949,230,161,161,0,0.0270633719952933,1.0,0.7,0,,30,train,relu
all,60000,1803,1175,1175,0,0.0195833333333333,1.0,0.6516916250693289,0,,30,train,relu
0,5923,58,39,39,0,0.0065845010974168,1.0,0.6724137931034483,1,,30,train,relu
1,6742,101,59,59,0,0.0087511124295461,1.0,0.5841584158415841,1,,30,train,relu
2,5958,270,201,201,0,0.0337361530715005,1.0,0.7444444444444445,1,,30,train,relu
3,6131,201,158,158,0,0.0257706736258359,1.0,0.7860696517412935,1,,30,train,relu
4,5842,278,152,152,0,0.0260184868195823,1.0,0.5467625899280576,1,,30,train,relu
5,5421,133,80,80,0,0.0147574248293672,1.0,0.6015037593984962,1,,30,train,relu
6,5918,131,54,54,0,0.0091247042919905,1.0,0.4122137404580153,1,,30,train,relu
7,6265,162,91,91,0,0.0145251396648044,1.0,0.5617283950617284,1,,30,train,relu
8,5851,239,180,180,0,0.0307639719706033,1.0,0.7531380753138075,1,,30,train,relu
9,5949,230,161,161,0,0.0270633719952933,1.0,0.7,1,,30,train,relu
all,60000,1803,1175,1175,0,0.0195833333333333,1.0,0.6516916250693289,1,,30,train,relu
0,5923,58,39,39,0,0.0065845010974168,1.0,0.6724137931034483,2,,30,train,relu
1,6742,101,59,59,0,0.0087511124295461,1.0,0.5841584158415841,2,,30,train,relu
2,5958,270,201,201,0,0.0337361530715005,1.0,0.7444444444444445,2,,30,train,relu
3,6131,201,158,158,0,0.0257706736258359,1.0,0.7860696517412935,2,,30,train,relu
4,5842,278,152,152,0,0.0260184868195823,1.0,0.5467625899280576,2,,30,train,relu
5,5421,133,80,80,0,0.0147574248293672,1.0,0.6015037593984962,2,,30,train,relu
6,5918,131,54,54,0,0.0091247042919905,1.0,0.4122137404580153,2,,30,train,relu
