y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,20.0,20.0,0.0033766672294445,1.0,0.3448275862068966,0,gte_mean,17.0,train,mean
1,6742.0,101.0,25.0,25.0,0.0037080984870958,1.0,0.2475247524752475,0,gte_mean,17.0,train,mean
2,5958.0,270.0,66.0,66.0,0.0110775427995971,1.0,0.2444444444444444,0,gte_mean,17.0,train,mean
3,6131.0,201.0,50.0,50.0,0.0081552764638721,1.0,0.2487562189054726,0,gte_mean,17.0,train,mean
4,5842.0,278.0,37.0,37.0,0.0063334474495035,1.0,0.1330935251798561,0,gte_mean,17.0,train,mean
5,5421.0,133.0,37.0,37.0,0.0068253089835823,1.0,0.2781954887218045,0,gte_mean,17.0,train,mean
6,5918.0,131.0,29.0,29.0,0.0049003041568097,1.0,0.2213740458015267,0,gte_mean,17.0,train,mean
7,6265.0,162.0,33.0,33.0,0.005267358339984,1.0,0.2037037037037037,0,gte_mean,17.0,train,mean
8,5851.0,239.0,59.0,59.0,0.0100837463681421,1.0,0.2468619246861924,0,gte_mean,17.0,train,mean
9,5949.0,230.0,50.0,50.0,0.0084047739115817,1.0,0.217391304347826,0,gte_mean,17.0,train,mean
all,60000.0,1803.0,406.0,406.0,0.0067666666666666,1.0,0.2251802551303383,0,gte_mean,17.0,train,mean
0,5923.0,58.0,20.0,20.0,0.0033766672294445,1.0,0.3448275862068966,1,gte_mean,17.0,train,mean
1,6742.0,101.0,25.0,25.0,0.0037080984870958,1.0,0.2475247524752475,1,gte_mean,17.0,train,mean
2,5958.0,270.0,66.0,66.0,0.0110775427995971,1.0,0.2444444444444444,1,gte_mean,17.0,train,mean
3,6131.0,201.0,50.0,50.0,0.0081552764638721,1.0,0.2487562189054726,1,gte_mean,17.0,train,mean
4,5842.0,278.0,37.0,37.0,0.0063334474495035,1.0,0.1330935251798561,1,gte_mean,17.0,train,mean
5,5421.0,133.0,37.0,37.0,0.0068253089835823,1.0,0.2781954887218045,1,gte_mean,17.0,train,mean
6,5918.0,131.0,29.0,29.0,0.0049003041568097,1.0,0.2213740458015267,1,gte_mean,17.0,train,mean
7,6265.0,162.0,33.0,33.0,0.005267358339984,1.0,0.2037037037037037,1,gte_mean,17.0,train,mean
8,5851.0,239.0,59.0,59.0,0.0100837463681421,1.0,0.2468619246861924,1,gte_mean,17.0,train,mean
9,5949.0,230.0,50.0,50.0,0.0084047739115817,1.0,0.217391304347826,1,gte_mean,17.0,train,mean
all,60000.0,1803.0,406.0,406.0,0.0067666666666666,1.0,0.2251802551303383,1,gte_mean,17.0,train,mean
0,5923.0,58.0,20.0,20.0,0.0033766672294445,1.0,0.3448275862068966,2,gte_mean,17.0,train,mean
1,6742.0,101.0,25.0,25.0,0.0037080984870958,1.0,0.2475247524752475,2,gte_mean,17.0,train,mean
2,5958.0,270.0,66.0,66.0,0.0110775427995971,1.0,0.2444444444444444,2,gte_mean,17.0,train,mean
3,6131.0,201.0,50.0,50.0,0.0081552764638721,1.0,0.2487562189054726,2,gte_mean,17.0,train,mean
4,5842.0,278.0,37.0,37.0,0.0063334474495035,1.0,0.1330935251798561,2,gte_mean,17.0,train,mean
5,5421.0,133.0,37.0,37.0,0.0068253089835823,1.0,0.2781954887218045,2,gte_mean,17.0,train,mean
6,5918.0,131.0,29.0,29.0,0.0049003041568097,1.0,0.2213740458015267,2,gte_mean,17.0,train,mean
7,6265.0,162.0,33.0,33.0,0.005267358339984,1.0,0.2037037037037037,2,gte_mean,17.0,train,mean
8,5851.0,239.0,59.0,59.0,0.0100837463681421,1.0,0.2468619246861924,2,gte_mean,17.0,train,mean
9,5949.0,230.0,50.0,50.0,0.0084047739115817,1.0,0.217391304347826,2,gte_mean,17.0,train,mean
all,60000.0,1803.0,406.0,406.0,0.0067666666666666,1.0,0.2251802551303383,2,gte_mean,17.0,train,mean
0,5923.0,58.0,20.0,20.0,0.0033766672294445,1.0,0.3448275862068966,3,gte_mean,17.0,train,mean
1,6742.0,101.0,25.0,25.0,0.0037080984870958,1.0,0.2475247524752475,3,gte_mean,17.0,train,mean
2,5958.0,270.0,66.0,66.0,0.0110775427995971,1.0,0.2444444444444444,3,gte_mean,17.0,train,mean
3,6131.0,201.0,50.0,50.0,0.0081552764638721,1.0,0.2487562189054726,3,gte_mean,17.0,train,mean
4,5842.0,278.0,37.0,37.0,0.0063334474495035,1.0,0.1330935251798561,3,gte_mean,17.0,train,mean
5,5421.0,133.0,37.0,37.0,0.0068253089835823,1.0,0.2781954887218045,3,gte_mean,17.0,train,mean
6,5918.0,131.0,29.0,29.0,0.0049003041568097,1.0,0.2213740458015267,3,gte_mean,17.0,train,mean
