y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,58,0,0,0,0.0,0.0,0.0,0,top_third,10,train,qth_0.5
1,6742,101,0,0,0,0.0,0.0,0.0,0,top_third,10,train,qth_0.5
2,5958,270,0,0,0,0.0,0.0,0.0,0,top_third,10,train,qth_0.5
3,6131,201,0,0,0,0.0,0.0,0.0,0,top_third,10,train,qth_0.5
4,5842,278,0,0,0,0.0,0.0,0.0,0,top_third,10,train,qth_0.5
5,5421,133,2,2,0,0.0003689356207341,1.0,0.015037593984962405,0,top_third,10,train,qth_0.5
6,5918,131,1,1,0,0.0001689760054072,1.0,0.007633587786259542,0,top_third,10,train,qth_0.5
7,6265,162,3,3,0,0.0004788507581803,1.0,0.018518518518518517,0,top_third,10,train,qth_0.5
8,5851,239,0,0,0,0.0,0.0,0.0,0,top_third,10,train,qth_0.5
9,5949,230,4,4,0,0.0006723819129265,1.0,0.017391304347826087,0,top_third,10,train,qth_0.5
all,60000,1803,10,10,0,0.0001666666666666,1.0,0.005546311702717693,0,top_third,10,train,qth_0.5
0,5923,58,0,0,0,0.0,0.0,0.0,1,top_third,10,train,qth_0.5
1,6742,101,0,0,0,0.0,0.0,0.0,1,top_third,10,train,qth_0.5
2,5958,270,0,0,0,0.0,0.0,0.0,1,top_third,10,train,qth_0.5
3,6131,201,0,0,0,0.0,0.0,0.0,1,top_third,10,train,qth_0.5
4,5842,278,0,0,0,0.0,0.0,0.0,1,top_third,10,train,qth_0.5
5,5421,133,2,2,0,0.0003689356207341,1.0,0.015037593984962405,1,top_third,10,train,qth_0.5
6,5918,131,1,1,0,0.0001689760054072,1.0,0.007633587786259542,1,top_third,10,train,qth_0.5
7,6265,162,3,3,0,0.0004788507581803,1.0,0.018518518518518517,1,top_third,10,train,qth_0.5
8,5851,239,0,0,0,0.0,0.0,0.0,1,top_third,10,train,qth_0.5
9,5949,230,4,4,0,0.0006723819129265,1.0,0.017391304347826087,1,top_third,10,train,qth_0.5
all,60000,1803,10,10,0,0.0001666666666666,1.0,0.005546311702717693,1,top_third,10,train,qth_0.5
0,5923,58,0,0,0,0.0,0.0,0.0,2,top_third,10,train,qth_0.5
1,6742,101,0,0,0,0.0,0.0,0.0,2,top_third,10,train,qth_0.5
2,5958,270,0,0,0,0.0,0.0,0.0,2,top_third,10,train,qth_0.5
3,6131,201,0,0,0,0.0,0.0,0.0,2,top_third,10,train,qth_0.5
4,5842,278,0,0,0,0.0,0.0,0.0,2,top_third,10,train,qth_0.5
5,5421,133,2,2,0,0.0003689356207341,1.0,0.015037593984962405,2,top_third,10,train,qth_0.5
6,5918,131,1,1,0,0.0001689760054072,1.0,0.007633587786259542,2,top_third,10,train,qth_0.5
7,6265,162,3,3,0,0.0004788507581803,1.0,0.018518518518518517,2,top_third,10,train,qth_0.5
8,5851,239,0,0,0,0.0,0.0,0.0,2,top_third,10,train,qth_0.5
9,5949,230,4,4,0,0.0006723819129265,1.0,0.017391304347826087,2,top_third,10,train,qth_0.5
all,60000,1803,10,10,0,0.0001666666666666,1.0,0.005546311702717693,2,top_third,10,train,qth_0.5
0,5923,58,0,0,0,0.0,0.0,0.0,3,top_third,10,train,qth_0.5
1,6742,101,0,0,0,0.0,0.0,0.0,3,top_third,10,train,qth_0.5
2,5958,270,0,0,0,0.0,0.0,0.0,3,top_third,10,train,qth_0.5
3,6131,201,0,0,0,0.0,0.0,0.0,3,top_third,10,train,qth_0.5
4,5842,278,0,0,0,0.0,0.0,0.0,3,top_third,10,train,qth_0.5
5,5421,133,2,2,0,0.0003689356207341,1.0,0.015037593984962405,3,top_third,10,train,qth_0.5
6,5918,131,1,1,0,0.0001689760054072,1.0,0.007633587786259542,3,top_third,10,train,qth_0.5
7,6265,162,3,3,0,0.0004788507581803,1.0,0.018518518518518517,3,top_third,10,train,qth_0.5
8,5851,239,0,0,0,0.0,0.0,0.0,3,top_third,10,train,qth_0.5
9,5949,230,4,4,0,0.0006723819129265,1.0,0.017391304347826087,3,top_third,10,train,qth_0.5
all,60000,1803,10,10,0,0.0001666666666666,1.0,0.005546311702717693,3,top_third,10,train,qth_0.5
0,979,7,0,0,0,0.0,0.0,0.0,0,top_third,10,test,qth_0.5
1,1133,8,0,0,0,0.0,0.0,0.0,0,top_third,10,test,qth_0.5
2,1030,45,2,0,2,0.0019417475728155,1.0,0.0,0,top_third,10,test,qth_0.5
3,1008,32,2,0,2,0.0019841269841269,1.0,0.0,0,top_third,10,test,qth_0.5
4,980,33,0,0,0,0.0,0.0,0.0,0,top_third,10,test,qth_0.5
5,890,18,2,0,2,0.0022471910112359,1.0,0.0,0,top_third,10,test,qth_0.5
6,956,31,1,1,0,0.0010460251046025,1.0,0.03225806451612903,0,top_third,10,test,qth_0.5
7,1027,36,3,0,3,0.0029211295034079,1.0,0.0,0,top_third,10,test,qth_0.5
8,973,36,1,0,1,0.001027749229188,1.0,0.0,0,top_third,10,test,qth_0.5
9,1008,38,1,0,1,0.0009920634920634,1.0,0.0,0,top_third,10,test,qth_0.5
all,9984,284,12,1,11,0.001201923076923,0.0833333333333333,0.0035211267605633804,0,top_third,10,test,qth_0.5
0,979,7,0,0,0,0.0,0.0,0.0,1,top_third,10,test,qth_0.5
1,1133,8,0,0,0,0.0,0.0,0.0,1,top_third,10,test,qth_0.5
2,1030,45,2,0,2,0.0019417475728155,1.0,0.0,1,top_third,10,test,qth_0.5
3,1008,32,2,0,2,0.0019841269841269,1.0,0.0,1,top_third,10,test,qth_0.5
4,980,33,0,0,0,0.0,0.0,0.0,1,top_third,10,test,qth_0.5
5,890,18,2,0,2,0.0022471910112359,1.0,0.0,1,top_third,10,test,qth_0.5
6,956,31,1,1,0,0.0010460251046025,1.0,0.03225806451612903,1,top_third,10,test,qth_0.5
7,1027,36,3,0,3,0.0029211295034079,1.0,0.0,1,top_third,10,test,qth_0.5
8,973,36,1,0,1,0.001027749229188,1.0,0.0,1,top_third,10,test,qth_0.5
9,1008,38,1,0,1,0.0009920634920634,1.0,0.0,1,top_third,10,test,qth_0.5
all,9984,284,12,1,11,0.001201923076923,0.0833333333333333,0.0035211267605633804,1,top_third,10,test,qth_0.5
0,979,7,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.5
1,1133,8,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.5
2,1030,45,2,0,2,0.0019417475728155,1.0,0.0,2,top_third,10,test,qth_0.5
3,1008,32,2,0,2,0.0019841269841269,1.0,0.0,2,top_third,10,test,qth_0.5
4,980,33,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.5
5,890,18,2,0,2,0.0022471910112359,1.0,0.0,2,top_third,10,test,qth_0.5
6,956,31,1,1,0,0.0010460251046025,1.0,0.03225806451612903,2,top_third,10,test,qth_0.5
7,1027,36,3,0,3,0.0029211295034079,1.0,0.0,2,top_third,10,test,qth_0.5
8,973,36,1,0,1,0.001027749229188,1.0,0.0,2,top_third,10,test,qth_0.5
9,1008,38,1,0,1,0.0009920634920634,1.0,0.0,2,top_third,10,test,qth_0.5
all,9984,284,12,1,11,0.001201923076923,0.0833333333333333,0.0035211267605633804,2,top_third,10,test,qth_0.5
0,979,7,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.5
1,1133,8,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.5
2,1030,45,2,0,2,0.0019417475728155,1.0,0.0,3,top_third,10,test,qth_0.5
3,1008,32,2,0,2,0.0019841269841269,1.0,0.0,3,top_third,10,test,qth_0.5
4,980,33,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.5
5,890,18,2,0,2,0.0022471910112359,1.0,0.0,3,top_third,10,test,qth_0.5
6,956,31,1,1,0,0.0010460251046025,1.0,0.03225806451612903,3,top_third,10,test,qth_0.5
7,1027,36,3,0,3,0.0029211295034079,1.0,0.0,3,top_third,10,test,qth_0.5
8,973,36,1,0,1,0.001027749229188,1.0,0.0,3,top_third,10,test,qth_0.5
9,1008,38,1,0,1,0.0009920634920634,1.0,0.0,3,top_third,10,test,qth_0.5
all,9984,284,12,1,11,0.001201923076923,0.0833333333333333,0.0035211267605633804,3,top_third,10,test,qth_0.5
1,1000,1000,3,0,3,0.003,1.0,0.0,0,top_third,10,evaluation,qth_0.5
all,1000,1000,3,0,3,0.003,1.0,0.0,0,top_third,10,evaluation,qth_0.5
1,1000,1000,3,0,3,0.003,1.0,0.0,1,top_third,10,evaluation,qth_0.5
all,1000,1000,3,0,3,0.003,1.0,0.0,1,top_third,10,evaluation,qth_0.5
1,1000,1000,3,0,3,0.003,1.0,0.0,2,top_third,10,evaluation,qth_0.5
all,1000,1000,3,0,3,0.003,1.0,0.0,2,top_third,10,evaluation,qth_0.5
1,1000,1000,3,0,3,0.003,1.0,0.0,3,top_third,10,evaluation,qth_0.5
all,1000,1000,3,0,3,0.003,1.0,0.0,3,top_third,10,evaluation,qth_0.5
