y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,qth_0.75
1,6742.0,101.0,1.0,1.0,0.0001483239394838,1.0,0.0099009900990099,0,top_third,10.0,train,qth_0.75
2,5958.0,270.0,8.0,8.0,0.0013427324605572,1.0,0.0296296296296296,0,top_third,10.0,train,qth_0.75
3,6131.0,201.0,1.0,1.0,0.0001631055292774,1.0,0.0049751243781094,0,top_third,10.0,train,qth_0.75
4,5842.0,278.0,5.0,5.0,0.0008558712769599,1.0,0.0179856115107913,0,top_third,10.0,train,qth_0.75
5,5421.0,133.0,3.0,3.0,0.0005534034311012,1.0,0.0225563909774436,0,top_third,10.0,train,qth_0.75
6,5918.0,131.0,1.0,1.0,0.0001689760054072,1.0,0.0076335877862595,0,top_third,10.0,train,qth_0.75
7,6265.0,162.0,5.0,5.0,0.0007980845969672,1.0,0.0308641975308641,0,top_third,10.0,train,qth_0.75
8,5851.0,239.0,3.0,3.0,0.0005127328661767,1.0,0.0125523012552301,0,top_third,10.0,train,qth_0.75
9,5949.0,230.0,1.0,1.0,0.0001680954782316,1.0,0.0043478260869565,0,top_third,10.0,train,qth_0.75
all,60000.0,1803.0,28.0,28.0,0.0004666666666666,1.0,0.0155296727676095,0,top_third,10.0,train,qth_0.75
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,qth_0.75
1,6742.0,101.0,1.0,1.0,0.0001483239394838,1.0,0.0099009900990099,1,top_third,10.0,train,qth_0.75
2,5958.0,270.0,8.0,8.0,0.0013427324605572,1.0,0.0296296296296296,1,top_third,10.0,train,qth_0.75
3,6131.0,201.0,1.0,1.0,0.0001631055292774,1.0,0.0049751243781094,1,top_third,10.0,train,qth_0.75
4,5842.0,278.0,5.0,5.0,0.0008558712769599,1.0,0.0179856115107913,1,top_third,10.0,train,qth_0.75
5,5421.0,133.0,3.0,3.0,0.0005534034311012,1.0,0.0225563909774436,1,top_third,10.0,train,qth_0.75
6,5918.0,131.0,1.0,1.0,0.0001689760054072,1.0,0.0076335877862595,1,top_third,10.0,train,qth_0.75
7,6265.0,162.0,5.0,5.0,0.0007980845969672,1.0,0.0308641975308641,1,top_third,10.0,train,qth_0.75
8,5851.0,239.0,3.0,3.0,0.0005127328661767,1.0,0.0125523012552301,1,top_third,10.0,train,qth_0.75
9,5949.0,230.0,1.0,1.0,0.0001680954782316,1.0,0.0043478260869565,1,top_third,10.0,train,qth_0.75
all,60000.0,1803.0,28.0,28.0,0.0004666666666666,1.0,0.0155296727676095,1,top_third,10.0,train,qth_0.75
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,qth_0.75
1,6742.0,101.0,1.0,1.0,0.0001483239394838,1.0,0.0099009900990099,2,top_third,10.0,train,qth_0.75
2,5958.0,270.0,8.0,8.0,0.0013427324605572,1.0,0.0296296296296296,2,top_third,10.0,train,qth_0.75
3,6131.0,201.0,1.0,1.0,0.0001631055292774,1.0,0.0049751243781094,2,top_third,10.0,train,qth_0.75
4,5842.0,278.0,5.0,5.0,0.0008558712769599,1.0,0.0179856115107913,2,top_third,10.0,train,qth_0.75
5,5421.0,133.0,3.0,3.0,0.0005534034311012,1.0,0.0225563909774436,2,top_third,10.0,train,qth_0.75
