y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,relu
1,6742.0,101.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,relu
2,5958.0,270.0,5.0,5.0,0.0008392077878482,1.0,0.0185185185185185,0,top_third,10.0,train,relu
3,6131.0,201.0,4.0,4.0,0.0006524221171097,1.0,0.0199004975124378,0,top_third,10.0,train,relu
4,5842.0,278.0,1.0,1.0,0.0001711742553919,1.0,0.0035971223021582,0,top_third,10.0,train,relu
5,5421.0,133.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,relu
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,relu
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,train,relu
8,5851.0,239.0,2.0,2.0,0.0003418219107844,1.0,0.00836820083682,0,top_third,10.0,train,relu
9,5949.0,230.0,3.0,3.0,0.0005042864346949,1.0,0.0130434782608695,0,top_third,10.0,train,relu
all,60000.0,1803.0,15.0,15.0,0.00025,1.0,0.0083194675540765,0,top_third,10.0,train,relu
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,relu
1,6742.0,101.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,relu
2,5958.0,270.0,5.0,5.0,0.0008392077878482,1.0,0.0185185185185185,1,top_third,10.0,train,relu
3,6131.0,201.0,4.0,4.0,0.0006524221171097,1.0,0.0199004975124378,1,top_third,10.0,train,relu
4,5842.0,278.0,1.0,1.0,0.0001711742553919,1.0,0.0035971223021582,1,top_third,10.0,train,relu
5,5421.0,133.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,relu
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,relu
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,train,relu
8,5851.0,239.0,2.0,2.0,0.0003418219107844,1.0,0.00836820083682,1,top_third,10.0,train,relu
9,5949.0,230.0,3.0,3.0,0.0005042864346949,1.0,0.0130434782608695,1,top_third,10.0,train,relu
all,60000.0,1803.0,15.0,15.0,0.00025,1.0,0.0083194675540765,1,top_third,10.0,train,relu
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,relu
1,6742.0,101.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,relu
2,5958.0,270.0,5.0,5.0,0.0008392077878482,1.0,0.0185185185185185,2,top_third,10.0,train,relu
3,6131.0,201.0,4.0,4.0,0.0006524221171097,1.0,0.0199004975124378,2,top_third,10.0,train,relu
4,5842.0,278.0,1.0,1.0,0.0001711742553919,1.0,0.0035971223021582,2,top_third,10.0,train,relu
5,5421.0,133.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,relu
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,relu
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,train,relu
8,5851.0,239.0,2.0,2.0,0.0003418219107844,1.0,0.00836820083682,2,top_third,10.0,train,relu
9,5949.0,230.0,3.0,3.0,0.0005042864346949,1.0,0.0130434782608695,2,top_third,10.0,train,relu
all,60000.0,1803.0,15.0,15.0,0.00025,1.0,0.0083194675540765,2,top_third,10.0,train,relu
0,5923.0,58.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,relu
1,6742.0,101.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,relu
2,5958.0,270.0,5.0,5.0,0.0008392077878482,1.0,0.0185185185185185,3,top_third,10.0,train,relu
3,6131.0,201.0,4.0,4.0,0.0006524221171097,1.0,0.0199004975124378,3,top_third,10.0,train,relu
4,5842.0,278.0,1.0,1.0,0.0001711742553919,1.0,0.0035971223021582,3,top_third,10.0,train,relu
5,5421.0,133.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,relu
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,relu
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,train,relu
8,5851.0,239.0,2.0,2.0,0.0003418219107844,1.0,0.00836820083682,3,top_third,10.0,train,relu
9,5949.0,230.0,3.0,3.0,0.0005042864346949,1.0,0.0130434782608695,3,top_third,10.0,train,relu
all,60000.0,1803.0,15.0,15.0,0.00025,1.0,0.0083194675540765,3,top_third,10.0,train,relu
0,979.0,7.0,1.0,0.0,0.0010214504596527,1.0,1.0,0,top_third,10.0,test,relu
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,test,relu
2,1030.0,45.0,1.0,0.0,0.0009708737864077,1.0,1.0,0,top_third,10.0,test,relu
3,1008.0,32.0,1.0,1.0,0.0009920634920634,1.0,0.03125,0,top_third,10.0,test,relu
4,980.0,33.0,2.0,0.0,0.0020408163265306,1.0,1.0,0,top_third,10.0,test,relu
5,890.0,18.0,1.0,0.0,0.0011235955056179,1.0,1.0,0,top_third,10.0,test,relu
6,956.0,31.0,0.0,0.0,0.0,0.0,1.0,0,top_third,10.0,test,relu
7,1027.0,36.0,1.0,0.0,0.0009737098344693,1.0,1.0,0,top_third,10.0,test,relu
8,973.0,36.0,3.0,0.0,0.0030832476875642,1.0,1.0,0,top_third,10.0,test,relu
9,1008.0,38.0,2.0,1.0,0.0019841269841269,0.5,0.0263157894736842,0,top_third,10.0,test,relu
all,9984.0,284.0,12.0,2.0,0.001201923076923,0.1666666666666666,0.0070422535211267,0,top_third,10.0,test,relu
0,979.0,7.0,1.0,0.0,0.0010214504596527,1.0,1.0,1,top_third,10.0,test,relu
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,test,relu
2,1030.0,45.0,1.0,0.0,0.0009708737864077,1.0,1.0,1,top_third,10.0,test,relu
3,1008.0,32.0,1.0,1.0,0.0009920634920634,1.0,0.03125,1,top_third,10.0,test,relu
4,980.0,33.0,2.0,0.0,0.0020408163265306,1.0,1.0,1,top_third,10.0,test,relu
5,890.0,18.0,1.0,0.0,0.0011235955056179,1.0,1.0,1,top_third,10.0,test,relu
6,956.0,31.0,0.0,0.0,0.0,0.0,1.0,1,top_third,10.0,test,relu
7,1027.0,36.0,1.0,0.0,0.0009737098344693,1.0,1.0,1,top_third,10.0,test,relu
8,973.0,36.0,3.0,0.0,0.0030832476875642,1.0,1.0,1,top_third,10.0,test,relu
9,1008.0,38.0,2.0,1.0,0.0019841269841269,0.5,0.0263157894736842,1,top_third,10.0,test,relu
all,9984.0,284.0,12.0,2.0,0.001201923076923,0.1666666666666666,0.0070422535211267,1,top_third,10.0,test,relu
0,979.0,7.0,1.0,0.0,0.0010214504596527,1.0,1.0,2,top_third,10.0,test,relu
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,test,relu
2,1030.0,45.0,1.0,0.0,0.0009708737864077,1.0,1.0,2,top_third,10.0,test,relu
3,1008.0,32.0,1.0,1.0,0.0009920634920634,1.0,0.03125,2,top_third,10.0,test,relu
4,980.0,33.0,2.0,0.0,0.0020408163265306,1.0,1.0,2,top_third,10.0,test,relu
5,890.0,18.0,1.0,0.0,0.0011235955056179,1.0,1.0,2,top_third,10.0,test,relu
6,956.0,31.0,0.0,0.0,0.0,0.0,1.0,2,top_third,10.0,test,relu
7,1027.0,36.0,1.0,0.0,0.0009737098344693,1.0,1.0,2,top_third,10.0,test,relu
8,973.0,36.0,3.0,0.0,0.0030832476875642,1.0,1.0,2,top_third,10.0,test,relu
9,1008.0,38.0,2.0,1.0,0.0019841269841269,0.5,0.0263157894736842,2,top_third,10.0,test,relu
all,9984.0,284.0,12.0,2.0,0.001201923076923,0.1666666666666666,0.0070422535211267,2,top_third,10.0,test,relu
0,979.0,7.0,1.0,0.0,0.0010214504596527,1.0,1.0,3,top_third,10.0,test,relu
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,test,relu
2,1030.0,45.0,1.0,0.0,0.0009708737864077,1.0,1.0,3,top_third,10.0,test,relu
3,1008.0,32.0,1.0,1.0,0.0009920634920634,1.0,0.03125,3,top_third,10.0,test,relu
4,980.0,33.0,2.0,0.0,0.0020408163265306,1.0,1.0,3,top_third,10.0,test,relu
5,890.0,18.0,1.0,0.0,0.0011235955056179,1.0,1.0,3,top_third,10.0,test,relu
6,956.0,31.0,0.0,0.0,0.0,0.0,1.0,3,top_third,10.0,test,relu
7,1027.0,36.0,1.0,0.0,0.0009737098344693,1.0,1.0,3,top_third,10.0,test,relu
8,973.0,36.0,3.0,0.0,0.0030832476875642,1.0,1.0,3,top_third,10.0,test,relu
9,1008.0,38.0,2.0,1.0,0.0019841269841269,0.5,0.0263157894736842,3,top_third,10.0,test,relu
all,9984.0,284.0,12.0,2.0,0.001201923076923,0.1666666666666666,0.0070422535211267,3,top_third,10.0,test,relu
1,1000.0,0.0,31.0,0.0,0.031,1.0,0.0,0,top_third,10.0,evaluation,relu
all,1000.0,0.0,31.0,0.0,0.031,1.0,0.0,0,top_third,10.0,evaluation,relu
1,1000.0,0.0,31.0,0.0,0.031,1.0,0.0,1,top_third,10.0,evaluation,relu
all,1000.0,0.0,31.0,0.0,0.031,1.0,0.0,1,top_third,10.0,evaluation,relu
1,1000.0,0.0,31.0,0.0,0.031,1.0,0.0,2,top_third,10.0,evaluation,relu
all,1000.0,0.0,31.0,0.0,0.031,1.0,0.0,2,top_third,10.0,evaluation,relu
1,1000.0,0.0,31.0,0.0,0.031,1.0,0.0,3,top_third,10.0,evaluation,relu
all,1000.0,0.0,31.0,0.0,0.031,1.0,0.0,3,top_third,10.0,evaluation,relu
