thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,2.117,4314.6,0.0,67897.0,76.8,0.0,30.0,2023-08-14 09:04:39,2023-08-14 09:06:48
qth_0.75,1.0,51.3,4325.6,0.0,1565310.0,93.0,0.0,30.0,2023-08-14 09:10:03,2023-08-14 10:01:22
qth_0.75,2.0,15.25,4329.7,0.0,916373.0,97.6,0.0,30.0,2023-08-14 10:04:02,2023-08-14 10:19:18
qth_0.75,3.0,8.383,4330.1,0.0,593324.0,99.2,0.0,30.0,2023-08-14 10:20:37,2023-08-14 10:29:00
qth_0.75,0.0,0.0,4303.4,0.0,67897.0,0.1,0.0,7.0,2023-08-14 09:04:30,2023-08-14 09:04:30
qth_0.75,1.0,0.0,4303.4,0.0,686.0,13.1,0.0,7.0,2023-08-14 09:04:56,2023-08-14 09:04:57
qth_0.75,2.0,0.0,4303.4,0.0,284.0,28.2,0.0,7.0,2023-08-14 09:05:25,2023-08-14 09:05:25
qth_0.75,3.0,0.0,4303.4,0.0,107.0,49.5,0.0,7.0,2023-08-14 09:05:53,2023-08-14 09:05:54
qth_0.5,0.0,2.9,4315.7,0.0,67897.0,92.8,0.0,30.0,2023-08-14 09:04:45,2023-08-14 09:07:39
qth_0.5,1.0,64.0,4323.6,0.0,1889550.0,97.4,0.0,30.0,2023-08-14 09:11:33,2023-08-14 10:15:33
qth_0.5,2.0,15.417,4323.6,0.0,910224.0,98.9,0.0,30.0,2023-08-14 10:17:17,2023-08-14 10:32:42
qth_0.5,3.0,6.133,4325.8,0.0,439573.0,99.5,0.0,30.0,2023-08-14 10:33:49,2023-08-14 10:39:58
qth_0.5,0.0,0.0,4303.4,0.0,67897.0,0.2,0.0,7.0,2023-08-14 09:04:36,2023-08-14 09:04:36
qth_0.5,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 09:05:02,2023-08-14 09:05:03
qth_0.5,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 09:05:30,2023-08-14 09:05:31
qth_0.5,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 09:06:00,2023-08-14 09:06:00
qth_0.25,0.0,2.117,4314.5,0.0,67897.0,78.0,0.0,30.0,2023-08-14 09:04:55,2023-08-14 09:07:03
qth_0.25,1.0,51.467,4325.5,0.0,1589490.0,93.0,0.0,30.0,2023-08-14 09:10:17,2023-08-14 10:01:45
qth_0.25,2.0,15.517,4329.6,0.0,947994.0,97.6,0.0,30.0,2023-08-14 10:04:25,2023-08-14 10:19:57
qth_0.25,3.0,8.7,4330.5,0.0,627415.0,99.2,0.0,30.0,2023-08-14 10:21:17,2023-08-14 10:29:59
qth_0.25,0.0,0.0,4303.4,0.0,67897.0,0.1,0.0,7.0,2023-08-14 09:04:57,2023-08-14 09:04:57
qth_0.25,1.0,0.0,4303.4,0.0,644.0,16.5,0.0,7.0,2023-08-14 09:05:22,2023-08-14 09:05:23
qth_0.25,2.0,0.0,4303.4,0.0,268.0,29.1,0.0,7.0,2023-08-14 09:05:49,2023-08-14 09:05:49
qth_0.25,3.0,0.0,4303.4,0.0,102.0,45.1,0.0,7.0,2023-08-14 09:06:17,2023-08-14 09:06:17
relu,0.0,2.883,4315.5,0.0,67897.0,92.1,0.0,30.0,2023-08-14 09:05:04,2023-08-14 09:07:58
relu,1.0,63.433,4323.6,0.0,1875660.0,97.2,0.0,30.0,2023-08-14 09:11:45,2023-08-14 10:15:12
relu,2.0,15.283,4326.1,0.0,899037.0,98.8,0.0,30.0,2023-08-14 10:16:55,2023-08-14 10:32:12
relu,3.0,5.917,4330.6,0.0,431082.0,99.5,0.0,30.0,2023-08-14 10:33:18,2023-08-14 10:39:13
relu,0.0,0.0,4303.4,0.0,67897.0,0.2,0.0,7.0,2023-08-14 09:05:01,2023-08-14 09:05:01
relu,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 09:05:28,2023-08-14 09:05:29
relu,2.0,0.017,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 09:05:57,2023-08-14 09:05:58
relu,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 09:06:24,2023-08-14 09:06:24
mean,0.0,2.85,4315.6,0.0,67897.0,92.1,0.0,30.0,2023-08-14 09:05:12,2023-08-14 09:08:03
mean,1.0,63.083,4327.3,0.0,1876020.0,97.2,0.0,30.0,2023-08-14 09:11:51,2023-08-14 10:14:56
mean,2.0,15.583,4331.5,0.0,899032.0,98.8,0.0,30.0,2023-08-14 10:16:38,2023-08-14 10:32:14
mean,3.0,5.95,4333.1,0.0,430985.0,99.5,0.0,30.0,2023-08-14 10:33:21,2023-08-14 10:39:19
mean,0.0,0.0,4303.4,0.0,67897.0,0.2,0.0,7.0,2023-08-14 09:05:05,2023-08-14 09:05:05
mean,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 09:05:33,2023-08-14 09:05:34
mean,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 09:06:03,2023-08-14 09:06:03
mean,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 09:06:29,2023-08-14 09:06:29
