y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,58.0,58.0,0.0097923349653891,1.0,1.0,0,,30.0,train,relu
1,6742.0,101.0,97.0,97.0,0.0143874221299317,1.0,0.9603960396039604,0,,30.0,train,relu
2,5958.0,270.0,269.0,269.0,0.0451493789862369,1.0,0.9962962962962963,0,,30.0,train,relu
3,6131.0,201.0,200.0,200.0,0.0326211058554885,1.0,0.9950248756218906,0,,30.0,train,relu
4,5842.0,278.0,273.0,273.0,0.046730571722013,1.0,0.9820143884892086,0,,30.0,train,relu
5,5421.0,133.0,133.0,133.0,0.024534218778823,1.0,1.0,0,,30.0,train,relu
6,5918.0,131.0,128.0,128.0,0.0216289286921257,1.0,0.9770992366412212,0,,30.0,train,relu
7,6265.0,162.0,157.0,157.0,0.0250598563447725,1.0,0.9691358024691358,0,,30.0,train,relu
8,5851.0,239.0,238.0,238.0,0.0406768073833532,1.0,0.99581589958159,0,,30.0,train,relu
9,5949.0,230.0,228.0,228.0,0.0383257690368129,1.0,0.991304347826087,0,,30.0,train,relu
all,60000.0,1803.0,1781.0,1781.0,0.0296833333333333,1.0,0.9877981142540212,0,,30.0,train,relu
0,5923.0,58.0,58.0,58.0,0.0097923349653891,1.0,1.0,1,,30.0,train,relu
1,6742.0,101.0,97.0,97.0,0.0143874221299317,1.0,0.9603960396039604,1,,30.0,train,relu
2,5958.0,270.0,269.0,269.0,0.0451493789862369,1.0,0.9962962962962963,1,,30.0,train,relu
3,6131.0,201.0,200.0,200.0,0.0326211058554885,1.0,0.9950248756218906,1,,30.0,train,relu
4,5842.0,278.0,273.0,273.0,0.046730571722013,1.0,0.9820143884892086,1,,30.0,train,relu
5,5421.0,133.0,133.0,133.0,0.024534218778823,1.0,1.0,1,,30.0,train,relu
6,5918.0,131.0,128.0,128.0,0.0216289286921257,1.0,0.9770992366412212,1,,30.0,train,relu
7,6265.0,162.0,157.0,157.0,0.0250598563447725,1.0,0.9691358024691358,1,,30.0,train,relu
8,5851.0,239.0,238.0,238.0,0.0406768073833532,1.0,0.99581589958159,1,,30.0,train,relu
9,5949.0,230.0,228.0,228.0,0.0383257690368129,1.0,0.991304347826087,1,,30.0,train,relu
all,60000.0,1803.0,1781.0,1781.0,0.0296833333333333,1.0,0.9877981142540212,1,,30.0,train,relu
0,5923.0,58.0,58.0,58.0,0.0097923349653891,1.0,1.0,2,,30.0,train,relu
1,6742.0,101.0,97.0,97.0,0.0143874221299317,1.0,0.9603960396039604,2,,30.0,train,relu
2,5958.0,270.0,269.0,269.0,0.0451493789862369,1.0,0.9962962962962963,2,,30.0,train,relu
3,6131.0,201.0,200.0,200.0,0.0326211058554885,1.0,0.9950248756218906,2,,30.0,train,relu
4,5842.0,278.0,273.0,273.0,0.046730571722013,1.0,0.9820143884892086,2,,30.0,train,relu
5,5421.0,133.0,133.0,133.0,0.024534218778823,1.0,1.0,2,,30.0,train,relu
6,5918.0,131.0,128.0,128.0,0.0216289286921257,1.0,0.9770992366412212,2,,30.0,train,relu
7,6265.0,162.0,157.0,157.0,0.0250598563447725,1.0,0.9691358024691358,2,,30.0,train,relu
8,5851.0,239.0,238.0,238.0,0.0406768073833532,1.0,0.99581589958159,2,,30.0,train,relu
9,5949.0,230.0,228.0,228.0,0.0383257690368129,1.0,0.991304347826087,2,,30.0,train,relu
all,60000.0,1803.0,1781.0,1781.0,0.0296833333333333,1.0,0.9877981142540212,2,,30.0,train,relu
0,5923.0,58.0,58.0,58.0,0.0097923349653891,1.0,1.0,3,,30.0,train,relu
1,6742.0,101.0,97.0,97.0,0.0143874221299317,1.0,0.9603960396039604,3,,30.0,train,relu
2,5958.0,270.0,269.0,269.0,0.0451493789862369,1.0,0.9962962962962963,3,,30.0,train,relu
3,6131.0,201.0,200.0,200.0,0.0326211058554885,1.0,0.9950248756218906,3,,30.0,train,relu
4,5842.0,278.0,273.0,273.0,0.046730571722013,1.0,0.9820143884892086,3,,30.0,train,relu
5,5421.0,133.0,133.0,133.0,0.024534218778823,1.0,1.0,3,,30.0,train,relu
6,5918.0,131.0,128.0,128.0,0.0216289286921257,1.0,0.9770992366412212,3,,30.0,train,relu
7,6265.0,162.0,157.0,157.0,0.0250598563447725,1.0,0.9691358024691358,3,,30.0,train,relu
8,5851.0,239.0,238.0,238.0,0.0406768073833532,1.0,0.99581589958159,3,,30.0,train,relu
