y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,58.0,58.0,0.0097923349653891,1.0,1.0,0,,30.0,train,mean
1,6742.0,101.0,97.0,97.0,0.0143874221299317,1.0,0.9603960396039604,0,,30.0,train,mean
2,5958.0,270.0,269.0,269.0,0.0451493789862369,1.0,0.9962962962962963,0,,30.0,train,mean
3,6131.0,201.0,200.0,200.0,0.0326211058554885,1.0,0.9950248756218906,0,,30.0,train,mean
4,5842.0,278.0,273.0,273.0,0.046730571722013,1.0,0.9820143884892086,0,,30.0,train,mean
5,5421.0,133.0,133.0,133.0,0.024534218778823,1.0,1.0,0,,30.0,train,mean
6,5918.0,131.0,128.0,128.0,0.0216289286921257,1.0,0.9770992366412212,0,,30.0,train,mean
7,6265.0,162.0,158.0,158.0,0.025219473264166,1.0,0.9753086419753086,0,,30.0,train,mean
8,5851.0,239.0,238.0,238.0,0.0406768073833532,1.0,0.99581589958159,0,,30.0,train,mean
9,5949.0,230.0,228.0,228.0,0.0383257690368129,1.0,0.991304347826087,0,,30.0,train,mean
all,60000.0,1803.0,1782.0,1782.0,0.0297,1.0,0.9883527454242927,0,,30.0,train,mean
0,5923.0,58.0,58.0,58.0,0.0097923349653891,1.0,1.0,1,,30.0,train,mean
1,6742.0,101.0,97.0,97.0,0.0143874221299317,1.0,0.9603960396039604,1,,30.0,train,mean
2,5958.0,270.0,269.0,269.0,0.0451493789862369,1.0,0.9962962962962963,1,,30.0,train,mean
3,6131.0,201.0,200.0,200.0,0.0326211058554885,1.0,0.9950248756218906,1,,30.0,train,mean
4,5842.0,278.0,273.0,273.0,0.046730571722013,1.0,0.9820143884892086,1,,30.0,train,mean
5,5421.0,133.0,133.0,133.0,0.024534218778823,1.0,1.0,1,,30.0,train,mean
6,5918.0,131.0,128.0,128.0,0.0216289286921257,1.0,0.9770992366412212,1,,30.0,train,mean
7,6265.0,162.0,158.0,158.0,0.025219473264166,1.0,0.9753086419753086,1,,30.0,train,mean
8,5851.0,239.0,238.0,238.0,0.0406768073833532,1.0,0.99581589958159,1,,30.0,train,mean
9,5949.0,230.0,228.0,228.0,0.0383257690368129,1.0,0.991304347826087,1,,30.0,train,mean
all,60000.0,1803.0,1782.0,1782.0,0.0297,1.0,0.9883527454242927,1,,30.0,train,mean
0,5923.0,58.0,58.0,58.0,0.0097923349653891,1.0,1.0,2,,30.0,train,mean
1,6742.0,101.0,97.0,97.0,0.0143874221299317,1.0,0.9603960396039604,2,,30.0,train,mean
2,5958.0,270.0,269.0,269.0,0.0451493789862369,1.0,0.9962962962962963,2,,30.0,train,mean
3,6131.0,201.0,200.0,200.0,0.0326211058554885,1.0,0.9950248756218906,2,,30.0,train,mean
4,5842.0,278.0,273.0,273.0,0.046730571722013,1.0,0.9820143884892086,2,,30.0,train,mean
5,5421.0,133.0,133.0,133.0,0.024534218778823,1.0,1.0,2,,30.0,train,mean
6,5918.0,131.0,128.0,128.0,0.0216289286921257,1.0,0.9770992366412212,2,,30.0,train,mean
7,6265.0,162.0,158.0,158.0,0.025219473264166,1.0,0.9753086419753086,2,,30.0,train,mean
8,5851.0,239.0,238.0,238.0,0.0406768073833532,1.0,0.99581589958159,2,,30.0,train,mean
9,5949.0,230.0,228.0,228.0,0.0383257690368129,1.0,0.991304347826087,2,,30.0,train,mean
all,60000.0,1803.0,1782.0,1782.0,0.0297,1.0,0.9883527454242927,2,,30.0,train,mean
0,5923.0,58.0,58.0,58.0,0.0097923349653891,1.0,1.0,3,,30.0,train,mean
1,6742.0,101.0,97.0,97.0,0.0143874221299317,1.0,0.9603960396039604,3,,30.0,train,mean
2,5958.0,270.0,269.0,269.0,0.0451493789862369,1.0,0.9962962962962963,3,,30.0,train,mean
3,6131.0,201.0,200.0,200.0,0.0326211058554885,1.0,0.9950248756218906,3,,30.0,train,mean
4,5842.0,278.0,273.0,273.0,0.046730571722013,1.0,0.9820143884892086,3,,30.0,train,mean
5,5421.0,133.0,133.0,133.0,0.024534218778823,1.0,1.0,3,,30.0,train,mean
6,5918.0,131.0,128.0,128.0,0.0216289286921257,1.0,0.9770992366412212,3,,30.0,train,mean
7,6265.0,162.0,158.0,158.0,0.025219473264166,1.0,0.9753086419753086,3,,30.0,train,mean
8,5851.0,239.0,238.0,238.0,0.0406768073833532,1.0,0.99581589958159,3,,30.0,train,mean
9,5949.0,230.0,228.0,228.0,0.0383257690368129,1.0,0.991304347826087,3,,30.0,train,mean
all,60000.0,1803.0,1782.0,1782.0,0.0297,1.0,0.9883527454242927,3,,30.0,train,mean
0,979.0,7.0,883.0,7.0,0.90194075587334,0.0079275198187995,1.0,0,,30.0,test,mean
1,1133.0,8.0,656.0,7.0,0.5789938217122683,0.010670731707317,0.875,0,,30.0,test,mean
2,1030.0,45.0,965.0,44.0,0.9368932038834952,0.0455958549222797,0.9777777777777776,0,,30.0,test,mean
3,1008.0,32.0,954.0,32.0,0.9464285714285714,0.0335429769392033,1.0,0,,30.0,test,mean
4,980.0,33.0,912.0,33.0,0.9306122448979592,0.0361842105263157,1.0,0,,30.0,test,mean
5,890.0,18.0,848.0,18.0,0.952808988764045,0.0212264150943396,1.0,0,,30.0,test,mean
6,956.0,31.0,879.0,30.0,0.9194560669456068,0.0341296928327645,0.967741935483871,0,,30.0,test,mean
7,1027.0,36.0,858.0,36.0,0.8354430379746836,0.0419580419580419,1.0,0,,30.0,test,mean
8,973.0,36.0,953.0,36.0,0.9794450154162384,0.0377754459601259,1.0,0,,30.0,test,mean
9,1008.0,38.0,915.0,38.0,0.9077380952380952,0.0415300546448087,1.0,0,,30.0,test,mean
all,9984.0,284.0,8823.0,281.0,0.8837139423076923,0.0318485775813215,0.98943661971831,0,,30.0,test,mean
0,979.0,7.0,883.0,7.0,0.90194075587334,0.0079275198187995,1.0,1,,30.0,test,mean
1,1133.0,8.0,656.0,7.0,0.5789938217122683,0.010670731707317,0.875,1,,30.0,test,mean
2,1030.0,45.0,965.0,44.0,0.9368932038834952,0.0455958549222797,0.9777777777777776,1,,30.0,test,mean
3,1008.0,32.0,954.0,32.0,0.9464285714285714,0.0335429769392033,1.0,1,,30.0,test,mean
4,980.0,33.0,912.0,33.0,0.9306122448979592,0.0361842105263157,1.0,1,,30.0,test,mean
5,890.0,18.0,848.0,18.0,0.952808988764045,0.0212264150943396,1.0,1,,30.0,test,mean
6,956.0,31.0,879.0,30.0,0.9194560669456068,0.0341296928327645,0.967741935483871,1,,30.0,test,mean
7,1027.0,36.0,858.0,36.0,0.8354430379746836,0.0419580419580419,1.0,1,,30.0,test,mean
8,973.0,36.0,953.0,36.0,0.9794450154162384,0.0377754459601259,1.0,1,,30.0,test,mean
9,1008.0,38.0,915.0,38.0,0.9077380952380952,0.0415300546448087,1.0,1,,30.0,test,mean
all,9984.0,284.0,8823.0,281.0,0.8837139423076923,0.0318485775813215,0.98943661971831,1,,30.0,test,mean
0,979.0,7.0,883.0,7.0,0.90194075587334,0.0079275198187995,1.0,2,,30.0,test,mean
1,1133.0,8.0,656.0,7.0,0.5789938217122683,0.010670731707317,0.875,2,,30.0,test,mean
2,1030.0,45.0,965.0,44.0,0.9368932038834952,0.0455958549222797,0.9777777777777776,2,,30.0,test,mean
3,1008.0,32.0,954.0,32.0,0.9464285714285714,0.0335429769392033,1.0,2,,30.0,test,mean
4,980.0,33.0,912.0,33.0,0.9306122448979592,0.0361842105263157,1.0,2,,30.0,test,mean
5,890.0,18.0,848.0,18.0,0.952808988764045,0.0212264150943396,1.0,2,,30.0,test,mean
6,956.0,31.0,879.0,30.0,0.9194560669456068,0.0341296928327645,0.967741935483871,2,,30.0,test,mean
7,1027.0,36.0,858.0,36.0,0.8354430379746836,0.0419580419580419,1.0,2,,30.0,test,mean
8,973.0,36.0,953.0,36.0,0.9794450154162384,0.0377754459601259,1.0,2,,30.0,test,mean
9,1008.0,38.0,915.0,38.0,0.9077380952380952,0.0415300546448087,1.0,2,,30.0,test,mean
all,9984.0,284.0,8823.0,281.0,0.8837139423076923,0.0318485775813215,0.98943661971831,2,,30.0,test,mean
0,979.0,7.0,883.0,7.0,0.90194075587334,0.0079275198187995,1.0,3,,30.0,test,mean
1,1133.0,8.0,656.0,7.0,0.5789938217122683,0.010670731707317,0.875,3,,30.0,test,mean
2,1030.0,45.0,965.0,44.0,0.9368932038834952,0.0455958549222797,0.9777777777777776,3,,30.0,test,mean
3,1008.0,32.0,954.0,32.0,0.9464285714285714,0.0335429769392033,1.0,3,,30.0,test,mean
4,980.0,33.0,912.0,33.0,0.9306122448979592,0.0361842105263157,1.0,3,,30.0,test,mean
5,890.0,18.0,848.0,18.0,0.952808988764045,0.0212264150943396,1.0,3,,30.0,test,mean
6,956.0,31.0,879.0,30.0,0.9194560669456068,0.0341296928327645,0.967741935483871,3,,30.0,test,mean
7,1027.0,36.0,858.0,36.0,0.8354430379746836,0.0419580419580419,1.0,3,,30.0,test,mean
8,973.0,36.0,953.0,36.0,0.9794450154162384,0.0377754459601259,1.0,3,,30.0,test,mean
9,1008.0,38.0,915.0,38.0,0.9077380952380952,0.0415300546448087,1.0,3,,30.0,test,mean
all,9984.0,284.0,8823.0,281.0,0.8837139423076923,0.0318485775813215,0.98943661971831,3,,30.0,test,mean
1,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,0,,30.0,evaluation,mean
all,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,0,,30.0,evaluation,mean
1,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,1,,30.0,evaluation,mean
all,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,1,,30.0,evaluation,mean
1,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,2,,30.0,evaluation,mean
all,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,2,,30.0,evaluation,mean
1,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,3,,30.0,evaluation,mean
all,1000.0,0.0,1000.0,0.0,1.0,1.0,0.0,3,,30.0,evaluation,mean
