y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,58.0,56.0,56.0,0.0094546682424447,1.0,0.9655172413793104,0,,30.0,train,qth_0.75
1,6742.0,101.0,85.0,85.0,0.0126075348561257,1.0,0.8415841584158416,0,,30.0,train,qth_0.75
2,5958.0,270.0,249.0,249.0,0.0417925478348439,1.0,0.9222222222222224,0,,30.0,train,qth_0.75
3,6131.0,201.0,188.0,188.0,0.0306638395041591,1.0,0.9353233830845772,0,,30.0,train,qth_0.75
4,5842.0,278.0,225.0,225.0,0.0385142074631975,1.0,0.8093525179856115,0,,30.0,train,qth_0.75
5,5421.0,133.0,124.0,124.0,0.0228740084855192,1.0,0.9323308270676692,0,,30.0,train,qth_0.75
6,5918.0,131.0,121.0,121.0,0.020446096654275,1.0,0.9236641221374046,0,,30.0,train,qth_0.75
7,6265.0,162.0,148.0,148.0,0.0236233040702314,1.0,0.9135802469135802,0,,30.0,train,qth_0.75
8,5851.0,239.0,227.0,227.0,0.0387967868740386,1.0,0.9497907949790796,0,,30.0,train,qth_0.75
9,5949.0,230.0,215.0,215.0,0.0361405278198016,1.0,0.9347826086956522,0,,30.0,train,qth_0.75
all,60000.0,1803.0,1638.0,1638.0,0.0273,1.0,0.908485856905158,0,,30.0,train,qth_0.75
0,5923.0,58.0,56.0,56.0,0.0094546682424447,1.0,0.9655172413793104,1,,30.0,train,qth_0.75
1,6742.0,101.0,85.0,85.0,0.0126075348561257,1.0,0.8415841584158416,1,,30.0,train,qth_0.75
2,5958.0,270.0,249.0,249.0,0.0417925478348439,1.0,0.9222222222222224,1,,30.0,train,qth_0.75
3,6131.0,201.0,188.0,188.0,0.0306638395041591,1.0,0.9353233830845772,1,,30.0,train,qth_0.75
4,5842.0,278.0,225.0,225.0,0.0385142074631975,1.0,0.8093525179856115,1,,30.0,train,qth_0.75
5,5421.0,133.0,124.0,124.0,0.0228740084855192,1.0,0.9323308270676692,1,,30.0,train,qth_0.75
6,5918.0,131.0,121.0,121.0,0.020446096654275,1.0,0.9236641221374046,1,,30.0,train,qth_0.75
7,6265.0,162.0,148.0,148.0,0.0236233040702314,1.0,0.9135802469135802,1,,30.0,train,qth_0.75
8,5851.0,239.0,227.0,227.0,0.0387967868740386,1.0,0.9497907949790796,1,,30.0,train,qth_0.75
9,5949.0,230.0,215.0,215.0,0.0361405278198016,1.0,0.9347826086956522,1,,30.0,train,qth_0.75
all,60000.0,1803.0,1638.0,1638.0,0.0273,1.0,0.908485856905158,1,,30.0,train,qth_0.75
0,5923.0,58.0,56.0,56.0,0.0094546682424447,1.0,0.9655172413793104,2,,30.0,train,qth_0.75
1,6742.0,101.0,85.0,85.0,0.0126075348561257,1.0,0.8415841584158416,2,,30.0,train,qth_0.75
2,5958.0,270.0,249.0,249.0,0.0417925478348439,1.0,0.9222222222222224,2,,30.0,train,qth_0.75
3,6131.0,201.0,188.0,188.0,0.0306638395041591,1.0,0.9353233830845772,2,,30.0,train,qth_0.75
4,5842.0,278.0,225.0,225.0,0.0385142074631975,1.0,0.8093525179856115,2,,30.0,train,qth_0.75
5,5421.0,133.0,124.0,124.0,0.0228740084855192,1.0,0.9323308270676692,2,,30.0,train,qth_0.75
6,5918.0,131.0,121.0,121.0,0.020446096654275,1.0,0.9236641221374046,2,,30.0,train,qth_0.75
7,6265.0,162.0,148.0,148.0,0.0236233040702314,1.0,0.9135802469135802,2,,30.0,train,qth_0.75
8,5851.0,239.0,227.0,227.0,0.0387967868740386,1.0,0.9497907949790796,2,,30.0,train,qth_0.75
9,5949.0,230.0,215.0,215.0,0.0361405278198016,1.0,0.9347826086956522,2,,30.0,train,qth_0.75
all,60000.0,1803.0,1638.0,1638.0,0.0273,1.0,0.908485856905158,2,,30.0,train,qth_0.75
0,5923.0,58.0,56.0,56.0,0.0094546682424447,1.0,0.9655172413793104,3,,30.0,train,qth_0.75
1,6742.0,101.0,85.0,85.0,0.0126075348561257,1.0,0.8415841584158416,3,,30.0,train,qth_0.75
2,5958.0,270.0,249.0,249.0,0.0417925478348439,1.0,0.9222222222222224,3,,30.0,train,qth_0.75
3,6131.0,201.0,188.0,188.0,0.0306638395041591,1.0,0.9353233830845772,3,,30.0,train,qth_0.75
4,5842.0,278.0,225.0,225.0,0.0385142074631975,1.0,0.8093525179856115,3,,30.0,train,qth_0.75
5,5421.0,133.0,124.0,124.0,0.0228740084855192,1.0,0.9323308270676692,3,,30.0,train,qth_0.75
6,5918.0,131.0,121.0,121.0,0.020446096654275,1.0,0.9236641221374046,3,,30.0,train,qth_0.75
7,6265.0,162.0,148.0,148.0,0.0236233040702314,1.0,0.9135802469135802,3,,30.0,train,qth_0.75
8,5851.0,239.0,227.0,227.0,0.0387967868740386,1.0,0.9497907949790796,3,,30.0,train,qth_0.75
9,5949.0,230.0,215.0,215.0,0.0361405278198016,1.0,0.9347826086956522,3,,30.0,train,qth_0.75
all,60000.0,1803.0,1638.0,1638.0,0.0273,1.0,0.908485856905158,3,,30.0,train,qth_0.75
0,979.0,7.0,635.0,7.0,0.6486210418794689,0.011023622047244,1.0,0,,30.0,test,qth_0.75
1,1133.0,8.0,281.0,8.0,0.2480141218005295,0.0284697508896797,1.0,0,,30.0,test,qth_0.75
2,1030.0,45.0,898.0,43.0,0.8718446601941747,0.0478841870824053,0.9555555555555556,0,,30.0,test,qth_0.75
3,1008.0,32.0,823.0,30.0,0.816468253968254,0.0364520048602673,0.9375,0,,30.0,test,qth_0.75
4,980.0,33.0,704.0,26.0,0.7183673469387755,0.0369318181818181,0.7878787878787878,0,,30.0,test,qth_0.75
5,890.0,18.0,749.0,17.0,0.8415730337078652,0.0226969292389853,0.9444444444444444,0,,30.0,test,qth_0.75
6,956.0,31.0,690.0,28.0,0.7217573221757322,0.0405797101449275,0.9032258064516128,0,,30.0,test,qth_0.75
7,1027.0,36.0,711.0,35.0,0.6923076923076923,0.0492264416315049,0.9722222222222222,0,,30.0,test,qth_0.75
8,973.0,36.0,796.0,33.0,0.8180883864337102,0.0414572864321608,0.9166666666666666,0,,30.0,test,qth_0.75
9,1008.0,38.0,631.0,36.0,0.6259920634920635,0.0570522979397781,0.9473684210526316,0,,30.0,test,qth_0.75
all,9984.0,284.0,6918.0,263.0,0.6929086538461539,0.0380167678519803,0.926056338028169,0,,30.0,test,qth_0.75
0,979.0,7.0,635.0,7.0,0.6486210418794689,0.011023622047244,1.0,1,,30.0,test,qth_0.75
1,1133.0,8.0,281.0,8.0,0.2480141218005295,0.0284697508896797,1.0,1,,30.0,test,qth_0.75
2,1030.0,45.0,898.0,43.0,0.8718446601941747,0.0478841870824053,0.9555555555555556,1,,30.0,test,qth_0.75
3,1008.0,32.0,823.0,30.0,0.816468253968254,0.0364520048602673,0.9375,1,,30.0,test,qth_0.75
4,980.0,33.0,704.0,26.0,0.7183673469387755,0.0369318181818181,0.7878787878787878,1,,30.0,test,qth_0.75
5,890.0,18.0,749.0,17.0,0.8415730337078652,0.0226969292389853,0.9444444444444444,1,,30.0,test,qth_0.75
6,956.0,31.0,690.0,28.0,0.7217573221757322,0.0405797101449275,0.9032258064516128,1,,30.0,test,qth_0.75
7,1027.0,36.0,711.0,35.0,0.6923076923076923,0.0492264416315049,0.9722222222222222,1,,30.0,test,qth_0.75
8,973.0,36.0,796.0,33.0,0.8180883864337102,0.0414572864321608,0.9166666666666666,1,,30.0,test,qth_0.75
9,1008.0,38.0,631.0,36.0,0.6259920634920635,0.0570522979397781,0.9473684210526316,1,,30.0,test,qth_0.75
all,9984.0,284.0,6918.0,263.0,0.6929086538461539,0.0380167678519803,0.926056338028169,1,,30.0,test,qth_0.75
0,979.0,7.0,635.0,7.0,0.6486210418794689,0.011023622047244,1.0,2,,30.0,test,qth_0.75
1,1133.0,8.0,281.0,8.0,0.2480141218005295,0.0284697508896797,1.0,2,,30.0,test,qth_0.75
2,1030.0,45.0,898.0,43.0,0.8718446601941747,0.0478841870824053,0.9555555555555556,2,,30.0,test,qth_0.75
3,1008.0,32.0,823.0,30.0,0.816468253968254,0.0364520048602673,0.9375,2,,30.0,test,qth_0.75
4,980.0,33.0,704.0,26.0,0.7183673469387755,0.0369318181818181,0.7878787878787878,2,,30.0,test,qth_0.75
5,890.0,18.0,749.0,17.0,0.8415730337078652,0.0226969292389853,0.9444444444444444,2,,30.0,test,qth_0.75
6,956.0,31.0,690.0,28.0,0.7217573221757322,0.0405797101449275,0.9032258064516128,2,,30.0,test,qth_0.75
7,1027.0,36.0,711.0,35.0,0.6923076923076923,0.0492264416315049,0.9722222222222222,2,,30.0,test,qth_0.75
8,973.0,36.0,796.0,33.0,0.8180883864337102,0.0414572864321608,0.9166666666666666,2,,30.0,test,qth_0.75
9,1008.0,38.0,631.0,36.0,0.6259920634920635,0.0570522979397781,0.9473684210526316,2,,30.0,test,qth_0.75
all,9984.0,284.0,6918.0,263.0,0.6929086538461539,0.0380167678519803,0.926056338028169,2,,30.0,test,qth_0.75
0,979.0,7.0,635.0,7.0,0.6486210418794689,0.011023622047244,1.0,3,,30.0,test,qth_0.75
1,1133.0,8.0,281.0,8.0,0.2480141218005295,0.0284697508896797,1.0,3,,30.0,test,qth_0.75
2,1030.0,45.0,898.0,43.0,0.8718446601941747,0.0478841870824053,0.9555555555555556,3,,30.0,test,qth_0.75
3,1008.0,32.0,823.0,30.0,0.816468253968254,0.0364520048602673,0.9375,3,,30.0,test,qth_0.75
4,980.0,33.0,704.0,26.0,0.7183673469387755,0.0369318181818181,0.7878787878787878,3,,30.0,test,qth_0.75
5,890.0,18.0,749.0,17.0,0.8415730337078652,0.0226969292389853,0.9444444444444444,3,,30.0,test,qth_0.75
6,956.0,31.0,690.0,28.0,0.7217573221757322,0.0405797101449275,0.9032258064516128,3,,30.0,test,qth_0.75
7,1027.0,36.0,711.0,35.0,0.6923076923076923,0.0492264416315049,0.9722222222222222,3,,30.0,test,qth_0.75
8,973.0,36.0,796.0,33.0,0.8180883864337102,0.0414572864321608,0.9166666666666666,3,,30.0,test,qth_0.75
9,1008.0,38.0,631.0,36.0,0.6259920634920635,0.0570522979397781,0.9473684210526316,3,,30.0,test,qth_0.75
all,9984.0,284.0,6918.0,263.0,0.6929086538461539,0.0380167678519803,0.926056338028169,3,,30.0,test,qth_0.75
1,1000.0,0.0,968.0,0.0,0.968,1.0,0.0,0,,30.0,evaluation,qth_0.75
all,1000.0,0.0,968.0,0.0,0.968,1.0,0.0,0,,30.0,evaluation,qth_0.75
1,1000.0,0.0,968.0,0.0,0.968,1.0,0.0,1,,30.0,evaluation,qth_0.75
all,1000.0,0.0,968.0,0.0,0.968,1.0,0.0,1,,30.0,evaluation,qth_0.75
1,1000.0,0.0,968.0,0.0,0.968,1.0,0.0,2,,30.0,evaluation,qth_0.75
all,1000.0,0.0,968.0,0.0,0.968,1.0,0.0,2,,30.0,evaluation,qth_0.75
1,1000.0,0.0,968.0,0.0,0.968,1.0,0.0,3,,30.0,evaluation,qth_0.75
all,1000.0,0.0,968.0,0.0,0.968,1.0,0.0,3,,30.0,evaluation,qth_0.75
