y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,117.0,0.0,0.0,0.0,0.0,1.0,0,None,5.0,train,qth_0.75
1,6742.0,122.0,0.0,0.0,0.0,0.0,1.0,0,None,5.0,train,qth_0.75
2,5958.0,395.0,1.0,1.0,0.00016784155756965425,1.0,0.002531645569620253,0,None,5.0,train,qth_0.75
3,6131.0,343.0,0.0,0.0,0.0,0.0,1.0,0,None,5.0,train,qth_0.75
4,5842.0,187.0,0.0,0.0,0.0,0.0,1.0,0,None,5.0,train,qth_0.75
5,5421.0,253.0,1.0,1.0,0.00018446781036709093,1.0,0.003952569169960474,0,None,5.0,train,qth_0.75
6,5918.0,156.0,0.0,0.0,0.0,0.0,1.0,0,None,5.0,train,qth_0.75
7,6265.0,334.0,0.0,0.0,0.0,0.0,1.0,0,None,5.0,train,qth_0.75
8,5851.0,701.0,2.0,2.0,0.0003418219107844813,1.0,0.0028530670470756064,0,None,5.0,train,qth_0.75
9,5949.0,381.0,0.0,0.0,0.0,0.0,1.0,0,None,5.0,train,qth_0.75
all,60000.0,2989.0,4.0,4.0,6.666666666666667e-05,1.0,0.0013382402141184342,0,None,5.0,train,qth_0.75
0,5923.0,117.0,0.0,0.0,0.0,0.0,1.0,1,None,5.0,train,qth_0.75
1,6742.0,122.0,0.0,0.0,0.0,0.0,1.0,1,None,5.0,train,qth_0.75
2,5958.0,395.0,1.0,1.0,0.00016784155756965425,1.0,0.002531645569620253,1,None,5.0,train,qth_0.75
3,6131.0,343.0,0.0,0.0,0.0,0.0,1.0,1,None,5.0,train,qth_0.75
4,5842.0,187.0,0.0,0.0,0.0,0.0,1.0,1,None,5.0,train,qth_0.75
5,5421.0,253.0,1.0,1.0,0.00018446781036709093,1.0,0.003952569169960474,1,None,5.0,train,qth_0.75
6,5918.0,156.0,0.0,0.0,0.0,0.0,1.0,1,None,5.0,train,qth_0.75
7,6265.0,334.0,0.0,0.0,0.0,0.0,1.0,1,None,5.0,train,qth_0.75
8,5851.0,701.0,2.0,2.0,0.0003418219107844813,1.0,0.0028530670470756064,1,None,5.0,train,qth_0.75
9,5949.0,381.0,0.0,0.0,0.0,0.0,1.0,1,None,5.0,train,qth_0.75
all,60000.0,2989.0,4.0,4.0,6.666666666666667e-05,1.0,0.0013382402141184342,1,None,5.0,train,qth_0.75
0,5923.0,117.0,0.0,0.0,0.0,0.0,1.0,2,None,5.0,train,qth_0.75
1,6742.0,122.0,0.0,0.0,0.0,0.0,1.0,2,None,5.0,train,qth_0.75
2,5958.0,395.0,1.0,1.0,0.00016784155756965425,1.0,0.002531645569620253,2,None,5.0,train,qth_0.75
3,6131.0,343.0,0.0,0.0,0.0,0.0,1.0,2,None,5.0,train,qth_0.75
4,5842.0,187.0,0.0,0.0,0.0,0.0,1.0,2,None,5.0,train,qth_0.75
5,5421.0,253.0,1.0,1.0,0.00018446781036709093,1.0,0.003952569169960474,2,None,5.0,train,qth_0.75
6,5918.0,156.0,0.0,0.0,0.0,0.0,1.0,2,None,5.0,train,qth_0.75
7,6265.0,334.0,0.0,0.0,0.0,0.0,1.0,2,None,5.0,train,qth_0.75
8,5851.0,701.0,2.0,2.0,0.0003418219107844813,1.0,0.0028530670470756064,2,None,5.0,train,qth_0.75
9,5949.0,381.0,0.0,0.0,0.0,0.0,1.0,2,None,5.0,train,qth_0.75
all,60000.0,2989.0,4.0,4.0,6.666666666666667e-05,1.0,0.0013382402141184342,2,None,5.0,train,qth_0.75
0,5923.0,117.0,0.0,0.0,0.0,0.0,1.0,3,None,5.0,train,qth_0.75
1,6742.0,122.0,0.0,0.0,0.0,0.0,1.0,3,None,5.0,train,qth_0.75
2,5958.0,395.0,1.0,1.0,0.00016784155756965425,1.0,0.002531645569620253,3,None,5.0,train,qth_0.75
3,6131.0,343.0,0.0,0.0,0.0,0.0,1.0,3,None,5.0,train,qth_0.75
4,5842.0,187.0,0.0,0.0,0.0,0.0,1.0,3,None,5.0,train,qth_0.75
5,5421.0,253.0,1.0,1.0,0.00018446781036709093,1.0,0.003952569169960474,3,None,5.0,train,qth_0.75
6,5918.0,156.0,0.0,0.0,0.0,0.0,1.0,3,None,5.0,train,qth_0.75
7,6265.0,334.0,0.0,0.0,0.0,0.0,1.0,3,None,5.0,train,qth_0.75
8,5851.0,701.0,2.0,2.0,0.0003418219107844813,1.0,0.0028530670470756064,3,None,5.0,train,qth_0.75
9,5949.0,381.0,0.0,0.0,0.0,0.0,1.0,3,None,5.0,train,qth_0.75
all,60000.0,2989.0,4.0,4.0,6.666666666666667e-05,1.0,0.0013382402141184342,3,None,5.0,train,qth_0.75
