thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,0.0,4303.4,0.0,57011.0,0.0,0.0,5.0,2023-08-14 09:02:08,2023-08-14 09:02:08
qth_0.75,1.0,0.0,4303.4,0.0,130.0,12.3,0.0,5.0,2023-08-14 09:02:24,2023-08-14 09:02:24
qth_0.75,2.0,0.0,4303.4,0.0,51.0,25.5,0.0,5.0,2023-08-14 09:02:42,2023-08-14 09:02:42
qth_0.75,3.0,0.0,4303.4,0.0,18.0,33.3,0.0,5.0,2023-08-14 09:02:57,2023-08-14 09:02:57
qth_0.75,0.0,0.0,4303.4,0.0,57011.0,0.0,0.0,3.0,2023-08-14 09:02:08,2023-08-14 09:02:09
qth_0.75,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:02:24,2023-08-14 09:02:24
qth_0.75,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:02:40,2023-08-14 09:02:40
qth_0.75,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:02:55,2023-08-14 09:02:55
qth_0.5,0.0,0.0,4303.4,0.0,57011.0,0.1,0.0,5.0,2023-08-14 09:02:08,2023-08-14 09:02:08
qth_0.5,1.0,0.0,4303.4,0.0,160.0,0.0,0.0,5.0,2023-08-14 09:02:22,2023-08-14 09:02:23
qth_0.5,2.0,0.0,4303.4,0.0,64.0,0.0,0.0,5.0,2023-08-14 09:02:40,2023-08-14 09:02:40
qth_0.5,3.0,0.0,4303.4,0.0,24.0,0.0,0.0,5.0,2023-08-14 09:02:56,2023-08-14 09:02:56
qth_0.5,0.0,0.0,4303.4,0.0,57011.0,0.0,0.0,3.0,2023-08-14 09:02:09,2023-08-14 09:02:09
qth_0.5,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:02:23,2023-08-14 09:02:24
qth_0.5,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:02:41,2023-08-14 09:02:41
qth_0.5,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:02:54,2023-08-14 09:02:55
qth_0.25,0.0,0.0,4303.4,0.0,57011.0,0.0,0.0,5.0,2023-08-14 09:02:10,2023-08-14 09:02:10
qth_0.25,1.0,0.0,4303.4,0.0,125.0,15.2,0.0,5.0,2023-08-14 09:02:26,2023-08-14 09:02:26
qth_0.25,2.0,0.0,4303.4,0.0,48.0,29.2,0.0,5.0,2023-08-14 09:02:45,2023-08-14 09:02:45
qth_0.25,3.0,0.0,4303.4,0.0,17.0,41.2,0.0,5.0,2023-08-14 09:03:03,2023-08-14 09:03:03
qth_0.25,0.0,0.0,4303.4,0.0,57011.0,0.0,0.0,3.0,2023-08-14 09:02:10,2023-08-14 09:02:10
qth_0.25,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:02:24,2023-08-14 09:02:24
qth_0.25,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:02:40,2023-08-14 09:02:40
qth_0.25,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:02:54,2023-08-14 09:02:54
relu,0.0,0.0,4303.4,0.0,57011.0,0.1,0.0,5.0,2023-08-14 09:02:13,2023-08-14 09:02:13
relu,1.0,0.0,4303.4,0.0,160.0,0.0,0.0,5.0,2023-08-14 09:02:29,2023-08-14 09:02:29
relu,2.0,0.0,4303.4,0.0,64.0,0.0,0.0,5.0,2023-08-14 09:02:45,2023-08-14 09:02:45
relu,3.0,0.0,4303.4,0.0,24.0,0.0,0.0,5.0,2023-08-14 09:03:01,2023-08-14 09:03:01
relu,0.0,0.0,4303.4,0.0,57011.0,0.0,0.0,3.0,2023-08-14 09:02:10,2023-08-14 09:02:10
relu,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:02:24,2023-08-14 09:02:24
relu,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:02:41,2023-08-14 09:02:41
relu,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:02:57,2023-08-14 09:02:57
mean,0.0,0.0,4303.4,0.0,57011.0,0.1,0.0,5.0,2023-08-14 09:02:12,2023-08-14 09:02:12
mean,1.0,0.0,4303.4,0.0,160.0,0.0,0.0,5.0,2023-08-14 09:02:28,2023-08-14 09:02:28
mean,2.0,0.0,4303.4,0.0,64.0,0.0,0.0,5.0,2023-08-14 09:02:44,2023-08-14 09:02:44
mean,3.0,0.0,4303.4,0.0,24.0,0.0,0.0,5.0,2023-08-14 09:03:00,2023-08-14 09:03:00
mean,0.0,0.0,4303.4,0.0,57011.0,0.0,0.0,3.0,2023-08-14 09:02:11,2023-08-14 09:02:11
mean,1.0,0.0,4303.4,0.0,24.0,0.0,0.0,3.0,2023-08-14 09:02:26,2023-08-14 09:02:27
mean,2.0,0.0,4303.4,0.0,8.0,0.0,0.0,3.0,2023-08-14 09:02:43,2023-08-14 09:02:43
mean,3.0,0.0,4303.4,0.0,2.0,0.0,0.0,3.0,2023-08-14 09:03:00,2023-08-14 09:03:00
