y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
1,6742,56,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
2,5958,132,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
3,6131,96,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
4,5842,112,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
5,5421,77,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
6,5918,84,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
7,6265,86,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
8,5851,124,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
9,5949,139,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
all,60000,935,0,0,0,0.0,0.0,0.0,0,components,7,train,mean
0,5923,29,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
1,6742,56,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
2,5958,132,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
3,6131,96,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
4,5842,112,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
5,5421,77,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
6,5918,84,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
7,6265,86,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
8,5851,124,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
9,5949,139,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
all,60000,935,0,0,0,0.0,0.0,0.0,1,components,7,train,mean
0,5923,29,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
1,6742,56,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
2,5958,132,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
3,6131,96,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
4,5842,112,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
5,5421,77,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
6,5918,84,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
7,6265,86,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
8,5851,124,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
9,5949,139,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
all,60000,935,0,0,0,0.0,0.0,0.0,2,components,7,train,mean
0,5923,29,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
1,6742,56,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
2,5958,132,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
3,6131,96,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
4,5842,112,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
5,5421,77,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
6,5918,84,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
7,6265,86,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
8,5851,124,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
9,5949,139,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
all,60000,935,0,0,0,0.0,0.0,0.0,3,components,7,train,mean
0,979,5,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
1,1133,4,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
2,1030,25,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
3,1008,12,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
4,980,22,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
5,890,13,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
6,956,22,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
7,1027,18,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
8,973,18,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
9,1008,35,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
all,9984,174,0,0,0,0.0,0.0,0.0,0,components,7,test,mean
0,979,5,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
1,1133,4,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
2,1030,25,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
3,1008,12,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
4,980,22,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
5,890,13,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
6,956,22,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
7,1027,18,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
8,973,18,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
9,1008,35,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
all,9984,174,0,0,0,0.0,0.0,0.0,1,components,7,test,mean
0,979,5,0,0,0,0.0,0.0,0.0,2,components,7,test,mean
1,1133,4,0,0,0,0.0,0.0,0.0,2,components,7,test,mean
2,1030,25,0,0,0,0.0,0.0,0.0,2,components,7,test,mean
3,1008,12,0,0,0,0.0,0.0,0.0,2,components,7,test,mean
4,980,22,0,0,0,0.0,0.0,0.0,2,components,7,test,mean
5,890,13,0,0,0,0.0,0.0,0.0,2,components,7,test,mean
6,956,22,0,0,0,0.0,0.0,0.0,2,components,7,test,mean
