thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,10.85,4477.8,0.0,59065.0,99.7,0.0,60.0,2023-08-14 20:57:06,2023-08-14 21:07:58,
qth_0.75,1.0,615.717,4489.2,0.0,3534180.0,99.9,0.0,60.0,2023-08-14 21:22:26,2023-08-15 07:38:10,
qth_0.75,2.0,366.383,4489.6,0.0,2171300.0,100.0,0.0,60.0,2023-08-15 07:51:31,2023-08-15 13:57:55,
qth_0.75,3.0,249.55,4489.6,0.0,1498949.0,100.0,0.0,60.0,2023-08-15 14:11:17,2023-08-15 18:20:50,
qth_0.75,0.0,0.0,4303.4,0.0,68875.0,0.1,0.0,7.0,2023-08-14 20:44:56,2023-08-14 20:44:56,components
qth_0.75,1.0,0.0,4303.4,0.0,707.0,13.2,0.0,7.0,2023-08-14 20:45:05,2023-08-14 20:45:05,components
qth_0.75,2.0,0.0,4303.4,0.0,303.0,22.8,0.0,7.0,2023-08-14 20:45:13,2023-08-14 20:45:14,components
qth_0.75,3.0,0.0,4303.4,0.0,122.0,29.5,0.0,7.0,2023-08-14 20:45:22,2023-08-14 20:45:22,components
qth_0.5,0.0,12.717,4501.8,0.0,59065.0,100.0,0.0,60.0,2023-08-14 20:57:19,2023-08-14 21:10:03,
qth_0.5,1.0,795.917,4507.1,0.0,3543300.0,100.0,0.0,60.0,2023-08-14 21:27:32,2023-08-15 10:43:28,
qth_0.5,2.0,366.083,4507.1,0.0,1749916.0,100.0,0.0,60.0,2023-08-15 10:59:26,2023-08-15 17:05:31,
qth_0.5,3.0,172.133,4507.1,0.0,857014.0,100.0,0.0,60.0,2023-08-15 17:21:27,2023-08-15 20:13:36,
qth_0.5,0.0,0.0,4303.4,0.0,68875.0,0.2,0.0,7.0,2023-08-14 20:45:02,2023-08-14 20:45:02,components
qth_0.5,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 20:45:10,2023-08-14 20:45:11,components
qth_0.5,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 20:45:19,2023-08-14 20:45:19,components
qth_0.5,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 20:45:28,2023-08-14 20:45:28,components
qth_0.25,0.0,10.883,4490.7,0.0,59065.0,99.5,0.0,60.0,2023-08-14 20:57:21,2023-08-14 21:08:15,
qth_0.25,1.0,630.1,4492.0,0.0,3525780.0,99.9,0.0,60.0,2023-08-14 21:22:42,2023-08-15 07:52:49,
qth_0.25,2.0,367.517,4492.0,0.0,2173956.0,100.0,0.0,60.0,2023-08-15 08:06:11,2023-08-15 14:13:43,
qth_0.25,3.0,250.483,4492.0,0.0,1498293.0,100.0,0.0,60.0,2023-08-15 14:27:03,2023-08-15 18:37:33,
qth_0.25,0.0,0.0,4303.4,0.0,68875.0,0.2,0.0,7.0,2023-08-14 20:45:04,2023-08-14 20:45:04,components
qth_0.25,1.0,0.0,4303.4,0.0,791.0,8.7,0.0,7.0,2023-08-14 20:45:12,2023-08-14 20:45:13,components
qth_0.25,2.0,0.0,4303.4,0.0,336.0,12.5,0.0,7.0,2023-08-14 20:45:21,2023-08-14 20:45:22,components
qth_0.25,3.0,0.0,4303.4,0.0,140.0,14.3,0.0,7.0,2023-08-14 20:45:32,2023-08-14 20:45:32,components
relu,0.0,12.783,4501.6,0.0,59065.0,100.0,0.0,60.0,2023-08-14 20:57:23,2023-08-14 21:10:10,
relu,1.0,781.667,4508.2,0.0,3543240.0,100.0,0.0,60.0,2023-08-14 21:27:33,2023-08-15 10:29:14,
relu,2.0,364.867,4508.2,0.0,1748374.0,100.0,0.0,60.0,2023-08-15 10:45:15,2023-08-15 16:50:08,
relu,3.0,173.55,4508.2,0.0,855958.0,100.0,0.0,60.0,2023-08-15 17:06:02,2023-08-15 19:59:36,
relu,0.0,0.0,4303.4,0.0,68875.0,0.2,0.0,7.0,2023-08-14 20:45:10,2023-08-14 20:45:10,components
relu,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 20:45:18,2023-08-14 20:45:19,components
relu,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 20:45:28,2023-08-14 20:45:29,components
relu,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 20:45:40,2023-08-14 20:45:40,components
mean,0.0,12.75,4501.6,0.0,59065.0,100.0,0.0,60.0,2023-08-14 20:57:27,2023-08-14 21:10:13,
mean,1.0,797.633,4508.2,0.0,3543240.0,100.0,0.0,60.0,2023-08-14 21:27:32,2023-08-15 10:45:10,
mean,2.0,372.517,4508.2,0.0,1748374.0,100.0,0.0,60.0,2023-08-15 11:02:32,2023-08-15 17:15:03,
mean,3.0,169.917,4508.2,0.0,855958.0,100.0,0.0,60.0,2023-08-15 17:30:56,2023-08-15 20:20:52,
mean,0.0,0.0,4303.4,0.0,68875.0,0.2,0.0,7.0,2023-08-14 20:45:11,2023-08-14 20:45:11,components
mean,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 20:45:20,2023-08-14 20:45:20,components
mean,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 20:45:30,2023-08-14 20:45:30,components
mean,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 20:45:42,2023-08-14 20:45:42,components
