y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,0,,60,train,qth_0.75
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,0,,60,train,qth_0.75
2,5958,132,132,132,0,0.0221550855991943,1.0,1.0,0,,60,train,qth_0.75
3,6131,96,96,96,0,0.0156581308106344,1.0,1.0,0,,60,train,qth_0.75
4,5842,112,112,112,0,0.0191715166039027,1.0,1.0,0,,60,train,qth_0.75
5,5421,77,77,77,0,0.014204021398266,1.0,1.0,0,,60,train,qth_0.75
6,5918,84,84,84,0,0.0141939844542075,1.0,1.0,0,,60,train,qth_0.75
7,6265,86,86,86,0,0.0137270550678371,1.0,1.0,0,,60,train,qth_0.75
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,0,,60,train,qth_0.75
9,5949,139,139,139,0,0.0233652714741973,1.0,1.0,0,,60,train,qth_0.75
all,60000,935,935,935,0,0.0155833333333333,1.0,1.0,0,,60,train,qth_0.75
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,1,,60,train,qth_0.75
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,1,,60,train,qth_0.75
2,5958,132,132,132,0,0.0221550855991943,1.0,1.0,1,,60,train,qth_0.75
3,6131,96,96,96,0,0.0156581308106344,1.0,1.0,1,,60,train,qth_0.75
4,5842,112,112,112,0,0.0191715166039027,1.0,1.0,1,,60,train,qth_0.75
5,5421,77,77,77,0,0.014204021398266,1.0,1.0,1,,60,train,qth_0.75
6,5918,84,84,84,0,0.0141939844542075,1.0,1.0,1,,60,train,qth_0.75
7,6265,86,86,86,0,0.0137270550678371,1.0,1.0,1,,60,train,qth_0.75
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,1,,60,train,qth_0.75
9,5949,139,139,139,0,0.0233652714741973,1.0,1.0,1,,60,train,qth_0.75
all,60000,935,935,935,0,0.0155833333333333,1.0,1.0,1,,60,train,qth_0.75
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,2,,60,train,qth_0.75
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,2,,60,train,qth_0.75
2,5958,132,132,132,0,0.0221550855991943,1.0,1.0,2,,60,train,qth_0.75
3,6131,96,96,96,0,0.0156581308106344,1.0,1.0,2,,60,train,qth_0.75
4,5842,112,112,112,0,0.0191715166039027,1.0,1.0,2,,60,train,qth_0.75
5,5421,77,77,77,0,0.014204021398266,1.0,1.0,2,,60,train,qth_0.75
6,5918,84,84,84,0,0.0141939844542075,1.0,1.0,2,,60,train,qth_0.75
7,6265,86,86,86,0,0.0137270550678371,1.0,1.0,2,,60,train,qth_0.75
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,2,,60,train,qth_0.75
9,5949,139,139,139,0,0.0233652714741973,1.0,1.0,2,,60,train,qth_0.75
all,60000,935,935,935,0,0.0155833333333333,1.0,1.0,2,,60,train,qth_0.75
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,3,,60,train,qth_0.75
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,3,,60,train,qth_0.75
2,5958,132,132,132,0,0.0221550855991943,1.0,1.0,3,,60,train,qth_0.75
3,6131,96,96,96,0,0.0156581308106344,1.0,1.0,3,,60,train,qth_0.75
4,5842,112,112,112,0,0.0191715166039027,1.0,1.0,3,,60,train,qth_0.75
5,5421,77,77,77,0,0.014204021398266,1.0,1.0,3,,60,train,qth_0.75
6,5918,84,84,84,0,0.0141939844542075,1.0,1.0,3,,60,train,qth_0.75
7,6265,86,86,86,0,0.0137270550678371,1.0,1.0,3,,60,train,qth_0.75
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,3,,60,train,qth_0.75
9,5949,139,139,139,0,0.0233652714741973,1.0,1.0,3,,60,train,qth_0.75
all,60000,935,935,935,0,0.0155833333333333,1.0,1.0,3,,60,train,qth_0.75
0,979,5,977,5,972,0.9979570990806946,0.0051177072671443,1.0,0,,60,test,qth_0.75
1,1133,4,1095,4,1091,0.9664607237422772,0.0036529680365296,1.0,0,,60,test,qth_0.75
2,1030,25,1029,25,1004,0.9990291262135922,0.0242954324586977,1.0,0,,60,test,qth_0.75
3,1008,12,1007,12,995,0.9990079365079364,0.0119165839126117,1.0,0,,60,test,qth_0.75
4,980,22,980,22,958,1.0,0.0224489795918367,1.0,0,,60,test,qth_0.75
5,890,13,890,13,877,1.0,0.0146067415730337,1.0,0,,60,test,qth_0.75
6,956,22,956,22,934,1.0,0.0230125523012552,1.0,0,,60,test,qth_0.75
7,1027,18,1023,18,1005,0.9961051606621228,0.0175953079178885,1.0,0,,60,test,qth_0.75
8,973,18,972,18,954,0.998972250770812,0.0185185185185185,1.0,0,,60,test,qth_0.75
9,1008,35,1007,35,972,0.9990079365079364,0.0347567030784508,1.0,0,,60,test,qth_0.75
all,9984,174,9936,174,9762,0.9951923076923076,0.0175120772946859,1.0,0,,60,test,qth_0.75
0,979,5,977,5,972,0.9979570990806946,0.0051177072671443,1.0,1,,60,test,qth_0.75
1,1133,4,1095,4,1091,0.9664607237422772,0.0036529680365296,1.0,1,,60,test,qth_0.75
2,1030,25,1029,25,1004,0.9990291262135922,0.0242954324586977,1.0,1,,60,test,qth_0.75
3,1008,12,1007,12,995,0.9990079365079364,0.0119165839126117,1.0,1,,60,test,qth_0.75
4,980,22,980,22,958,1.0,0.0224489795918367,1.0,1,,60,test,qth_0.75
5,890,13,890,13,877,1.0,0.0146067415730337,1.0,1,,60,test,qth_0.75
6,956,22,956,22,934,1.0,0.0230125523012552,1.0,1,,60,test,qth_0.75
7,1027,18,1023,18,1005,0.9961051606621228,0.0175953079178885,1.0,1,,60,test,qth_0.75
8,973,18,972,18,954,0.998972250770812,0.0185185185185185,1.0,1,,60,test,qth_0.75
9,1008,35,1007,35,972,0.9990079365079364,0.0347567030784508,1.0,1,,60,test,qth_0.75
all,9984,174,9936,174,9762,0.9951923076923076,0.0175120772946859,1.0,1,,60,test,qth_0.75
0,979,5,977,5,972,0.9979570990806946,0.0051177072671443,1.0,2,,60,test,qth_0.75
1,1133,4,1095,4,1091,0.9664607237422772,0.0036529680365296,1.0,2,,60,test,qth_0.75
2,1030,25,1029,25,1004,0.9990291262135922,0.0242954324586977,1.0,2,,60,test,qth_0.75
3,1008,12,1007,12,995,0.9990079365079364,0.0119165839126117,1.0,2,,60,test,qth_0.75
4,980,22,980,22,958,1.0,0.0224489795918367,1.0,2,,60,test,qth_0.75
5,890,13,890,13,877,1.0,0.0146067415730337,1.0,2,,60,test,qth_0.75
6,956,22,956,22,934,1.0,0.0230125523012552,1.0,2,,60,test,qth_0.75
7,1027,18,1023,18,1005,0.9961051606621228,0.0175953079178885,1.0,2,,60,test,qth_0.75
8,973,18,972,18,954,0.998972250770812,0.0185185185185185,1.0,2,,60,test,qth_0.75
9,1008,35,1007,35,972,0.9990079365079364,0.0347567030784508,1.0,2,,60,test,qth_0.75
all,9984,174,9936,174,9762,0.9951923076923076,0.0175120772946859,1.0,2,,60,test,qth_0.75
0,979,5,977,5,972,0.9979570990806946,0.0051177072671443,1.0,3,,60,test,qth_0.75
1,1133,4,1095,4,1091,0.9664607237422772,0.0036529680365296,1.0,3,,60,test,qth_0.75
2,1030,25,1029,25,1004,0.9990291262135922,0.0242954324586977,1.0,3,,60,test,qth_0.75
3,1008,12,1007,12,995,0.9990079365079364,0.0119165839126117,1.0,3,,60,test,qth_0.75
4,980,22,980,22,958,1.0,0.0224489795918367,1.0,3,,60,test,qth_0.75
5,890,13,890,13,877,1.0,0.0146067415730337,1.0,3,,60,test,qth_0.75
6,956,22,956,22,934,1.0,0.0230125523012552,1.0,3,,60,test,qth_0.75
7,1027,18,1023,18,1005,0.9961051606621228,0.0175953079178885,1.0,3,,60,test,qth_0.75
8,973,18,972,18,954,0.998972250770812,0.0185185185185185,1.0,3,,60,test,qth_0.75
9,1008,35,1007,35,972,0.9990079365079364,0.0347567030784508,1.0,3,,60,test,qth_0.75
all,9984,174,9936,174,9762,0.9951923076923076,0.0175120772946859,1.0,3,,60,test,qth_0.75
1,1000,1000,1000,0,1000,1.0,1.0,0.0,0,,60,evaluation,qth_0.75
all,1000,1000,1000,0,1000,1.0,1.0,0.0,0,,60,evaluation,qth_0.75
1,1000,1000,1000,0,1000,1.0,1.0,0.0,1,,60,evaluation,qth_0.75
all,1000,1000,1000,0,1000,1.0,1.0,0.0,1,,60,evaluation,qth_0.75
1,1000,1000,1000,0,1000,1.0,1.0,0.0,2,,60,evaluation,qth_0.75
all,1000,1000,1000,0,1000,1.0,1.0,0.0,2,,60,evaluation,qth_0.75
1,1000,1000,1000,0,1000,1.0,1.0,0.0,3,,60,evaluation,qth_0.75
all,1000,1000,1000,0,1000,1.0,1.0,0.0,3,,60,evaluation,qth_0.75
