y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
1,6742,56,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
2,5958,132,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
3,6131,96,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
4,5842,112,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
5,5421,77,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
6,5918,84,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
7,6265,86,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
8,5851,124,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
9,5949,139,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
all,60000,935,0,0,0,0.0,0.0,0.0,0,components,7,train,qth_0.25
0,5923,29,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
1,6742,56,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
2,5958,132,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
3,6131,96,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
4,5842,112,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
5,5421,77,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
6,5918,84,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
7,6265,86,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
8,5851,124,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
9,5949,139,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
all,60000,935,0,0,0,0.0,0.0,0.0,1,components,7,train,qth_0.25
0,5923,29,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
1,6742,56,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
2,5958,132,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
3,6131,96,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
4,5842,112,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
5,5421,77,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
6,5918,84,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
7,6265,86,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
8,5851,124,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
9,5949,139,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
all,60000,935,0,0,0,0.0,0.0,0.0,2,components,7,train,qth_0.25
0,5923,29,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
1,6742,56,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
2,5958,132,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
3,6131,96,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
4,5842,112,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
5,5421,77,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
6,5918,84,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
7,6265,86,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
8,5851,124,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
9,5949,139,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
all,60000,935,0,0,0,0.0,0.0,0.0,3,components,7,train,qth_0.25
0,979,5,1,1,0,0.0010214504596527,1.0,0.2,0,components,7,test,qth_0.25
1,1133,4,0,0,0,0.0,0.0,0.0,0,components,7,test,qth_0.25
2,1030,25,0,0,0,0.0,0.0,0.0,0,components,7,test,qth_0.25
3,1008,12,0,0,0,0.0,0.0,0.0,0,components,7,test,qth_0.25
4,980,22,0,0,0,0.0,0.0,0.0,0,components,7,test,qth_0.25
5,890,13,1,1,0,0.0011235955056179,1.0,0.07692307692307693,0,components,7,test,qth_0.25
6,956,22,0,0,0,0.0,0.0,0.0,0,components,7,test,qth_0.25
7,1027,18,0,0,0,0.0,0.0,0.0,0,components,7,test,qth_0.25
8,973,18,0,0,0,0.0,0.0,0.0,0,components,7,test,qth_0.25
9,1008,35,0,0,0,0.0,0.0,0.0,0,components,7,test,qth_0.25
all,9984,174,2,2,0,0.0002003205128205,1.0,0.011494252873563218,0,components,7,test,qth_0.25
0,979,5,1,1,0,0.0010214504596527,1.0,0.2,1,components,7,test,qth_0.25
1,1133,4,0,0,0,0.0,0.0,0.0,1,components,7,test,qth_0.25
2,1030,25,0,0,0,0.0,0.0,0.0,1,components,7,test,qth_0.25
3,1008,12,0,0,0,0.0,0.0,0.0,1,components,7,test,qth_0.25
4,980,22,0,0,0,0.0,0.0,0.0,1,components,7,test,qth_0.25
5,890,13,1,1,0,0.0011235955056179,1.0,0.07692307692307693,1,components,7,test,qth_0.25
6,956,22,0,0,0,0.0,0.0,0.0,1,components,7,test,qth_0.25
7,1027,18,0,0,0,0.0,0.0,0.0,1,components,7,test,qth_0.25
8,973,18,0,0,0,0.0,0.0,0.0,1,components,7,test,qth_0.25
9,1008,35,0,0,0,0.0,0.0,0.0,1,components,7,test,qth_0.25
all,9984,174,2,2,0,0.0002003205128205,1.0,0.011494252873563218,1,components,7,test,qth_0.25
0,979,5,1,1,0,0.0010214504596527,1.0,0.2,2,components,7,test,qth_0.25
1,1133,4,0,0,0,0.0,0.0,0.0,2,components,7,test,qth_0.25
2,1030,25,0,0,0,0.0,0.0,0.0,2,components,7,test,qth_0.25
3,1008,12,0,0,0,0.0,0.0,0.0,2,components,7,test,qth_0.25
4,980,22,0,0,0,0.0,0.0,0.0,2,components,7,test,qth_0.25
5,890,13,1,1,0,0.0011235955056179,1.0,0.07692307692307693,2,components,7,test,qth_0.25
6,956,22,0,0,0,0.0,0.0,0.0,2,components,7,test,qth_0.25
7,1027,18,0,0,0,0.0,0.0,0.0,2,components,7,test,qth_0.25
8,973,18,0,0,0,0.0,0.0,0.0,2,components,7,test,qth_0.25
