y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,0,,60,train,mean
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,0,,60,train,mean
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,0,,60,train,mean
3,6131,96,94,94,0,0.0153319197520795,1.0,0.9791666666666666,0,,60,train,mean
4,5842,112,110,110,0,0.0188291680931187,1.0,0.9821428571428571,0,,60,train,mean
5,5421,77,74,74,0,0.0136506179671647,1.0,0.961038961038961,0,,60,train,mean
6,5918,84,82,82,0,0.013856032443393,1.0,0.9761904761904762,0,,60,train,mean
7,6265,86,84,84,0,0.0134078212290502,1.0,0.9767441860465116,0,,60,train,mean
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,0,,60,train,mean
9,5949,139,129,129,0,0.0216843166918809,1.0,0.9280575539568345,0,,60,train,mean
all,60000,935,912,912,0,0.0152,1.0,0.9754010695187165,0,,60,train,mean
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,1,,60,train,mean
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,1,,60,train,mean
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,1,,60,train,mean
3,6131,96,94,94,0,0.0153319197520795,1.0,0.9791666666666666,1,,60,train,mean
4,5842,112,110,110,0,0.0188291680931187,1.0,0.9821428571428571,1,,60,train,mean
5,5421,77,74,74,0,0.0136506179671647,1.0,0.961038961038961,1,,60,train,mean
6,5918,84,82,82,0,0.013856032443393,1.0,0.9761904761904762,1,,60,train,mean
7,6265,86,84,84,0,0.0134078212290502,1.0,0.9767441860465116,1,,60,train,mean
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,1,,60,train,mean
9,5949,139,129,129,0,0.0216843166918809,1.0,0.9280575539568345,1,,60,train,mean
all,60000,935,912,912,0,0.0152,1.0,0.9754010695187165,1,,60,train,mean
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,2,,60,train,mean
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,2,,60,train,mean
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,2,,60,train,mean
3,6131,96,94,94,0,0.0153319197520795,1.0,0.9791666666666666,2,,60,train,mean
4,5842,112,110,110,0,0.0188291680931187,1.0,0.9821428571428571,2,,60,train,mean
5,5421,77,74,74,0,0.0136506179671647,1.0,0.961038961038961,2,,60,train,mean
6,5918,84,82,82,0,0.013856032443393,1.0,0.9761904761904762,2,,60,train,mean
7,6265,86,84,84,0,0.0134078212290502,1.0,0.9767441860465116,2,,60,train,mean
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,2,,60,train,mean
9,5949,139,129,129,0,0.0216843166918809,1.0,0.9280575539568345,2,,60,train,mean
all,60000,935,912,912,0,0.0152,1.0,0.9754010695187165,2,,60,train,mean
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,3,,60,train,mean
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,3,,60,train,mean
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,3,,60,train,mean
3,6131,96,94,94,0,0.0153319197520795,1.0,0.9791666666666666,3,,60,train,mean
4,5842,112,110,110,0,0.0188291680931187,1.0,0.9821428571428571,3,,60,train,mean
5,5421,77,74,74,0,0.0136506179671647,1.0,0.961038961038961,3,,60,train,mean
6,5918,84,82,82,0,0.013856032443393,1.0,0.9761904761904762,3,,60,train,mean
7,6265,86,84,84,0,0.0134078212290502,1.0,0.9767441860465116,3,,60,train,mean
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,3,,60,train,mean
9,5949,139,129,129,0,0.0216843166918809,1.0,0.9280575539568345,3,,60,train,mean
all,60000,935,912,912,0,0.0152,1.0,0.9754010695187165,3,,60,train,mean
0,979,5,5,5,0,0.0051072522982635,1.0,1.0,0,,60,test,mean
1,1133,4,4,4,0,0.0035304501323918,1.0,1.0,0,,60,test,mean
2,1030,25,25,25,0,0.0242718446601941,1.0,1.0,0,,60,test,mean
3,1008,12,12,12,0,0.0119047619047619,1.0,1.0,0,,60,test,mean
4,980,22,22,22,0,0.0224489795918367,1.0,1.0,0,,60,test,mean
5,890,13,13,13,0,0.0146067415730337,1.0,1.0,0,,60,test,mean
6,956,22,22,22,0,0.0230125523012552,1.0,1.0,0,,60,test,mean
7,1027,18,18,18,0,0.0175267770204479,1.0,1.0,0,,60,test,mean
8,973,18,18,18,0,0.0184994861253854,1.0,1.0,0,,60,test,mean
9,1008,35,35,35,0,0.0347222222222222,1.0,1.0,0,,60,test,mean
all,9984,174,174,174,0,0.0174278846153846,1.0,1.0,0,,60,test,mean
0,979,5,5,5,0,0.0051072522982635,1.0,1.0,1,,60,test,mean
1,1133,4,4,4,0,0.0035304501323918,1.0,1.0,1,,60,test,mean
2,1030,25,25,25,0,0.0242718446601941,1.0,1.0,1,,60,test,mean
3,1008,12,12,12,0,0.0119047619047619,1.0,1.0,1,,60,test,mean
4,980,22,22,22,0,0.0224489795918367,1.0,1.0,1,,60,test,mean
5,890,13,13,13,0,0.0146067415730337,1.0,1.0,1,,60,test,mean
6,956,22,22,22,0,0.0230125523012552,1.0,1.0,1,,60,test,mean
7,1027,18,18,18,0,0.0175267770204479,1.0,1.0,1,,60,test,mean
8,973,18,18,18,0,0.0184994861253854,1.0,1.0,1,,60,test,mean
9,1008,35,35,35,0,0.0347222222222222,1.0,1.0,1,,60,test,mean
all,9984,174,174,174,0,0.0174278846153846,1.0,1.0,1,,60,test,mean
0,979,5,5,5,0,0.0051072522982635,1.0,1.0,2,,60,test,mean
1,1133,4,4,4,0,0.0035304501323918,1.0,1.0,2,,60,test,mean
2,1030,25,25,25,0,0.0242718446601941,1.0,1.0,2,,60,test,mean
3,1008,12,12,12,0,0.0119047619047619,1.0,1.0,2,,60,test,mean
4,980,22,22,22,0,0.0224489795918367,1.0,1.0,2,,60,test,mean
5,890,13,13,13,0,0.0146067415730337,1.0,1.0,2,,60,test,mean
6,956,22,22,22,0,0.0230125523012552,1.0,1.0,2,,60,test,mean
7,1027,18,18,18,0,0.0175267770204479,1.0,1.0,2,,60,test,mean
8,973,18,18,18,0,0.0184994861253854,1.0,1.0,2,,60,test,mean
9,1008,35,35,35,0,0.0347222222222222,1.0,1.0,2,,60,test,mean
all,9984,174,174,174,0,0.0174278846153846,1.0,1.0,2,,60,test,mean
0,979,5,5,5,0,0.0051072522982635,1.0,1.0,3,,60,test,mean
1,1133,4,4,4,0,0.0035304501323918,1.0,1.0,3,,60,test,mean
2,1030,25,25,25,0,0.0242718446601941,1.0,1.0,3,,60,test,mean
3,1008,12,12,12,0,0.0119047619047619,1.0,1.0,3,,60,test,mean
4,980,22,22,22,0,0.0224489795918367,1.0,1.0,3,,60,test,mean
5,890,13,13,13,0,0.0146067415730337,1.0,1.0,3,,60,test,mean
6,956,22,22,22,0,0.0230125523012552,1.0,1.0,3,,60,test,mean
7,1027,18,18,18,0,0.0175267770204479,1.0,1.0,3,,60,test,mean
8,973,18,18,18,0,0.0184994861253854,1.0,1.0,3,,60,test,mean
9,1008,35,35,35,0,0.0347222222222222,1.0,1.0,3,,60,test,mean
all,9984,174,174,174,0,0.0174278846153846,1.0,1.0,3,,60,test,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,0,,60,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,0,,60,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,1,,60,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,1,,60,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,2,,60,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,2,,60,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,3,,60,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,3,,60,evaluation,mean
