y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,6,6,0,0.0010130001688333,1.0,0.20689655172413793,0,top_third,20,train,qth_0.75
1,6742,56,8,8,0,0.0011865915158706,1.0,0.14285714285714285,0,top_third,20,train,qth_0.75
2,5958,132,30,30,0,0.0050352467270896,1.0,0.22727272727272727,0,top_third,20,train,qth_0.75
3,6131,96,31,31,0,0.0050562714076007,1.0,0.3229166666666667,0,top_third,20,train,qth_0.75
4,5842,112,29,29,0,0.0049640534063676,1.0,0.25892857142857145,0,top_third,20,train,qth_0.75
5,5421,77,26,26,0,0.0047961630695443,1.0,0.33766233766233766,0,top_third,20,train,qth_0.75
6,5918,84,20,20,0,0.0033795201081446,1.0,0.23809523809523808,0,top_third,20,train,qth_0.75
7,6265,86,28,28,0,0.0044692737430167,1.0,0.32558139534883723,0,top_third,20,train,qth_0.75
8,5851,124,41,41,0,0.0070073491710818,1.0,0.33064516129032256,0,top_third,20,train,qth_0.75
9,5949,139,39,39,0,0.0065557236510337,1.0,0.2805755395683453,0,top_third,20,train,qth_0.75
all,60000,935,258,258,0,0.0043,1.0,0.27593582887700535,0,top_third,20,train,qth_0.75
0,5923,29,6,6,0,0.0010130001688333,1.0,0.20689655172413793,1,top_third,20,train,qth_0.75
1,6742,56,8,8,0,0.0011865915158706,1.0,0.14285714285714285,1,top_third,20,train,qth_0.75
2,5958,132,30,30,0,0.0050352467270896,1.0,0.22727272727272727,1,top_third,20,train,qth_0.75
3,6131,96,31,31,0,0.0050562714076007,1.0,0.3229166666666667,1,top_third,20,train,qth_0.75
4,5842,112,29,29,0,0.0049640534063676,1.0,0.25892857142857145,1,top_third,20,train,qth_0.75
5,5421,77,26,26,0,0.0047961630695443,1.0,0.33766233766233766,1,top_third,20,train,qth_0.75
6,5918,84,20,20,0,0.0033795201081446,1.0,0.23809523809523808,1,top_third,20,train,qth_0.75
7,6265,86,28,28,0,0.0044692737430167,1.0,0.32558139534883723,1,top_third,20,train,qth_0.75
8,5851,124,41,41,0,0.0070073491710818,1.0,0.33064516129032256,1,top_third,20,train,qth_0.75
9,5949,139,39,39,0,0.0065557236510337,1.0,0.2805755395683453,1,top_third,20,train,qth_0.75
all,60000,935,258,258,0,0.0043,1.0,0.27593582887700535,1,top_third,20,train,qth_0.75
0,5923,29,6,6,0,0.0010130001688333,1.0,0.20689655172413793,2,top_third,20,train,qth_0.75
1,6742,56,8,8,0,0.0011865915158706,1.0,0.14285714285714285,2,top_third,20,train,qth_0.75
2,5958,132,30,30,0,0.0050352467270896,1.0,0.22727272727272727,2,top_third,20,train,qth_0.75
3,6131,96,31,31,0,0.0050562714076007,1.0,0.3229166666666667,2,top_third,20,train,qth_0.75
4,5842,112,29,29,0,0.0049640534063676,1.0,0.25892857142857145,2,top_third,20,train,qth_0.75
5,5421,77,26,26,0,0.0047961630695443,1.0,0.33766233766233766,2,top_third,20,train,qth_0.75
6,5918,84,20,20,0,0.0033795201081446,1.0,0.23809523809523808,2,top_third,20,train,qth_0.75
7,6265,86,28,28,0,0.0044692737430167,1.0,0.32558139534883723,2,top_third,20,train,qth_0.75
8,5851,124,41,41,0,0.0070073491710818,1.0,0.33064516129032256,2,top_third,20,train,qth_0.75
9,5949,139,39,39,0,0.0065557236510337,1.0,0.2805755395683453,2,top_third,20,train,qth_0.75
all,60000,935,258,258,0,0.0043,1.0,0.27593582887700535,2,top_third,20,train,qth_0.75
0,5923,29,6,6,0,0.0010130001688333,1.0,0.20689655172413793,3,top_third,20,train,qth_0.75
1,6742,56,8,8,0,0.0011865915158706,1.0,0.14285714285714285,3,top_third,20,train,qth_0.75
2,5958,132,30,30,0,0.0050352467270896,1.0,0.22727272727272727,3,top_third,20,train,qth_0.75
3,6131,96,31,31,0,0.0050562714076007,1.0,0.3229166666666667,3,top_third,20,train,qth_0.75
4,5842,112,29,29,0,0.0049640534063676,1.0,0.25892857142857145,3,top_third,20,train,qth_0.75
5,5421,77,26,26,0,0.0047961630695443,1.0,0.33766233766233766,3,top_third,20,train,qth_0.75
6,5918,84,20,20,0,0.0033795201081446,1.0,0.23809523809523808,3,top_third,20,train,qth_0.75
7,6265,86,28,28,0,0.0044692737430167,1.0,0.32558139534883723,3,top_third,20,train,qth_0.75
8,5851,124,41,41,0,0.0070073491710818,1.0,0.33064516129032256,3,top_third,20,train,qth_0.75
9,5949,139,39,39,0,0.0065557236510337,1.0,0.2805755395683453,3,top_third,20,train,qth_0.75
all,60000,935,258,258,0,0.0043,1.0,0.27593582887700535,3,top_third,20,train,qth_0.75
0,979,5,3,3,0,0.0030643513789581,1.0,0.6,0,top_third,20,test,qth_0.75
1,1133,4,1,1,0,0.0008826125330979,1.0,0.25,0,top_third,20,test,qth_0.75
2,1030,25,8,8,0,0.0077669902912621,1.0,0.32,0,top_third,20,test,qth_0.75
3,1008,12,3,3,0,0.0029761904761904,1.0,0.25,0,top_third,20,test,qth_0.75
4,980,22,5,5,0,0.0051020408163265,1.0,0.22727272727272727,0,top_third,20,test,qth_0.75
5,890,13,3,3,0,0.0033707865168539,1.0,0.23076923076923078,0,top_third,20,test,qth_0.75
6,956,22,9,9,0,0.0094142259414225,1.0,0.4090909090909091,0,top_third,20,test,qth_0.75
7,1027,18,6,6,0,0.0058422590068159,1.0,0.3333333333333333,0,top_third,20,test,qth_0.75
8,973,18,9,9,0,0.0092497430626927,1.0,0.5,0,top_third,20,test,qth_0.75
9,1008,35,10,10,0,0.0099206349206349,1.0,0.2857142857142857,0,top_third,20,test,qth_0.75
all,9984,174,57,57,0,0.0057091346153846,1.0,0.3275862068965517,0,top_third,20,test,qth_0.75
0,979,5,3,3,0,0.0030643513789581,1.0,0.6,1,top_third,20,test,qth_0.75
1,1133,4,1,1,0,0.0008826125330979,1.0,0.25,1,top_third,20,test,qth_0.75
