y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,5,5,0,0.0008441668073611,1.0,0.1724137931034483,0,top_third,20,train,relu
1,6742,56,11,11,0,0.0016315633343221,1.0,0.19642857142857142,0,top_third,20,train,relu
2,5958,132,36,36,0,0.0060422960725075,1.0,0.2727272727272727,0,top_third,20,train,relu
3,6131,96,37,37,0,0.0060349045832653,1.0,0.3854166666666667,0,top_third,20,train,relu
4,5842,112,15,15,0,0.0025676138308798,1.0,0.13392857142857142,0,top_third,20,train,relu
5,5421,77,24,24,0,0.0044272274488101,1.0,0.3116883116883117,0,top_third,20,train,relu
6,5918,84,10,10,0,0.0016897600540723,1.0,0.11904761904761904,0,top_third,20,train,relu
7,6265,86,16,16,0,0.0025538707102952,1.0,0.18604651162790697,0,top_third,20,train,relu
8,5851,124,34,34,0,0.0058109724833361,1.0,0.27419354838709675,0,top_third,20,train,relu
9,5949,139,43,43,0,0.0072281055639603,1.0,0.30935251798561153,0,top_third,20,train,relu
all,60000,935,231,231,0,0.00385,1.0,0.24705882352941178,0,top_third,20,train,relu
0,5923,29,5,5,0,0.0008441668073611,1.0,0.1724137931034483,1,top_third,20,train,relu
1,6742,56,11,11,0,0.0016315633343221,1.0,0.19642857142857142,1,top_third,20,train,relu
2,5958,132,36,36,0,0.0060422960725075,1.0,0.2727272727272727,1,top_third,20,train,relu
3,6131,96,37,37,0,0.0060349045832653,1.0,0.3854166666666667,1,top_third,20,train,relu
4,5842,112,15,15,0,0.0025676138308798,1.0,0.13392857142857142,1,top_third,20,train,relu
5,5421,77,24,24,0,0.0044272274488101,1.0,0.3116883116883117,1,top_third,20,train,relu
6,5918,84,10,10,0,0.0016897600540723,1.0,0.11904761904761904,1,top_third,20,train,relu
7,6265,86,16,16,0,0.0025538707102952,1.0,0.18604651162790697,1,top_third,20,train,relu
8,5851,124,34,34,0,0.0058109724833361,1.0,0.27419354838709675,1,top_third,20,train,relu
9,5949,139,43,43,0,0.0072281055639603,1.0,0.30935251798561153,1,top_third,20,train,relu
all,60000,935,231,231,0,0.00385,1.0,0.24705882352941178,1,top_third,20,train,relu
0,5923,29,5,5,0,0.0008441668073611,1.0,0.1724137931034483,2,top_third,20,train,relu
1,6742,56,11,11,0,0.0016315633343221,1.0,0.19642857142857142,2,top_third,20,train,relu
2,5958,132,36,36,0,0.0060422960725075,1.0,0.2727272727272727,2,top_third,20,train,relu
3,6131,96,37,37,0,0.0060349045832653,1.0,0.3854166666666667,2,top_third,20,train,relu
4,5842,112,15,15,0,0.0025676138308798,1.0,0.13392857142857142,2,top_third,20,train,relu
5,5421,77,24,24,0,0.0044272274488101,1.0,0.3116883116883117,2,top_third,20,train,relu
6,5918,84,10,10,0,0.0016897600540723,1.0,0.11904761904761904,2,top_third,20,train,relu
7,6265,86,16,16,0,0.0025538707102952,1.0,0.18604651162790697,2,top_third,20,train,relu
8,5851,124,34,34,0,0.0058109724833361,1.0,0.27419354838709675,2,top_third,20,train,relu
9,5949,139,43,43,0,0.0072281055639603,1.0,0.30935251798561153,2,top_third,20,train,relu
all,60000,935,231,231,0,0.00385,1.0,0.24705882352941178,2,top_third,20,train,relu
0,5923,29,5,5,0,0.0008441668073611,1.0,0.1724137931034483,3,top_third,20,train,relu
1,6742,56,11,11,0,0.0016315633343221,1.0,0.19642857142857142,3,top_third,20,train,relu
2,5958,132,36,36,0,0.0060422960725075,1.0,0.2727272727272727,3,top_third,20,train,relu
3,6131,96,37,37,0,0.0060349045832653,1.0,0.3854166666666667,3,top_third,20,train,relu
4,5842,112,15,15,0,0.0025676138308798,1.0,0.13392857142857142,3,top_third,20,train,relu
5,5421,77,24,24,0,0.0044272274488101,1.0,0.3116883116883117,3,top_third,20,train,relu
6,5918,84,10,10,0,0.0016897600540723,1.0,0.11904761904761904,3,top_third,20,train,relu
7,6265,86,16,16,0,0.0025538707102952,1.0,0.18604651162790697,3,top_third,20,train,relu
8,5851,124,34,34,0,0.0058109724833361,1.0,0.27419354838709675,3,top_third,20,train,relu
9,5949,139,43,43,0,0.0072281055639603,1.0,0.30935251798561153,3,top_third,20,train,relu
all,60000,935,231,231,0,0.00385,1.0,0.24705882352941178,3,top_third,20,train,relu
0,979,5,1,1,0,0.0010214504596527,1.0,0.2,0,top_third,20,test,relu
1,1133,4,1,1,0,0.0008826125330979,1.0,0.25,0,top_third,20,test,relu
2,1030,25,7,7,0,0.0067961165048543,1.0,0.28,0,top_third,20,test,relu
3,1008,12,5,5,0,0.0049603174603174,1.0,0.4166666666666667,0,top_third,20,test,relu
4,980,22,2,2,0,0.0020408163265306,1.0,0.09090909090909091,0,top_third,20,test,relu
5,890,13,3,3,0,0.0033707865168539,1.0,0.23076923076923078,0,top_third,20,test,relu
6,956,22,4,4,0,0.00418410041841,1.0,0.18181818181818182,0,top_third,20,test,relu
7,1027,18,3,3,0,0.0029211295034079,1.0,0.16666666666666666,0,top_third,20,test,relu
8,973,18,6,6,0,0.0061664953751284,1.0,0.3333333333333333,0,top_third,20,test,relu
9,1008,35,8,8,0,0.0079365079365079,1.0,0.22857142857142856,0,top_third,20,test,relu
all,9984,174,40,40,0,0.0040064102564102,1.0,0.22988505747126436,0,top_third,20,test,relu
0,979,5,1,1,0,0.0010214504596527,1.0,0.2,1,top_third,20,test,relu
1,1133,4,1,1,0,0.0008826125330979,1.0,0.25,1,top_third,20,test,relu
2,1030,25,7,7,0,0.0067961165048543,1.0,0.28,1,top_third,20,test,relu
3,1008,12,5,5,0,0.0049603174603174,1.0,0.4166666666666667,1,top_third,20,test,relu
4,980,22,2,2,0,0.0020408163265306,1.0,0.09090909090909091,1,top_third,20,test,relu
5,890,13,3,3,0,0.0033707865168539,1.0,0.23076923076923078,1,top_third,20,test,relu
6,956,22,4,4,0,0.00418410041841,1.0,0.18181818181818182,1,top_third,20,test,relu
7,1027,18,3,3,0,0.0029211295034079,1.0,0.16666666666666666,1,top_third,20,test,relu
8,973,18,6,6,0,0.0061664953751284,1.0,0.3333333333333333,1,top_third,20,test,relu
9,1008,35,8,8,0,0.0079365079365079,1.0,0.22857142857142856,1,top_third,20,test,relu
all,9984,174,40,40,0,0.0040064102564102,1.0,0.22988505747126436,1,top_third,20,test,relu
0,979,5,1,1,0,0.0010214504596527,1.0,0.2,2,top_third,20,test,relu
1,1133,4,1,1,0,0.0008826125330979,1.0,0.25,2,top_third,20,test,relu
2,1030,25,7,7,0,0.0067961165048543,1.0,0.28,2,top_third,20,test,relu
3,1008,12,5,5,0,0.0049603174603174,1.0,0.4166666666666667,2,top_third,20,test,relu
