thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time
qth_0.75,0.0,1.083,4322.1,0.0,59065.0,31.7,0.0,60.0,2023-08-11 14:14:04,2023-08-11 14:15:10
qth_0.75,1.0,134.233,4347.0,0.0,1123140.0,95.8,0.0,60.0,2023-08-11 14:23:49,2023-08-11 16:38:04
qth_0.75,2.0,60.65,4347.1,0.0,674235.0,99.5,0.0,60.0,2023-08-11 16:43:57,2023-08-11 17:44:37
qth_0.75,3.0,39.75,4348.8,0.0,451518.0,99.9,0.0,60.0,2023-08-11 17:50:31,2023-08-11 18:30:17
qth_0.75,0.0,0.083,4305.7,0.0,59065.0,11.7,0.0,31.0,2023-08-11 14:14:03,2023-08-11 14:14:08
qth_0.75,1.0,5.1,4308.9,0.0,213435.0,88.4,0.0,31.0,2023-08-11 14:14:53,2023-08-11 14:19:59
qth_0.75,2.0,4.883,4309.3,0.0,121074.0,97.4,0.0,31.0,2023-08-11 14:21:34,2023-08-11 14:26:28
qth_0.75,3.0,3.05,4309.3,0.0,77635.0,99.4,0.0,31.0,2023-08-11 14:28:21,2023-08-11 14:31:25
qth_0.75,0.0,0.017,4304.1,0.0,59065.0,4.7,0.0,20.0,2023-08-11 14:14:01,2023-08-11 14:14:02
qth_0.75,1.0,0.417,4304.8,0.0,55120.0,76.8,0.0,20.0,2023-08-11 14:14:22,2023-08-11 14:14:47
qth_0.75,2.0,0.183,4304.8,0.0,29838.0,90.8,0.0,20.0,2023-08-11 14:15:05,2023-08-11 14:15:16
qth_0.75,3.0,0.133,4304.8,0.0,17992.0,96.1,0.0,20.0,2023-08-11 14:15:38,2023-08-11 14:15:46
qth_0.5,0.0,8.367,4386.6,0.0,59065.0,92.0,0.0,60.0,2023-08-11 14:14:03,2023-08-11 14:22:25
qth_0.5,1.0,431.25,4469.9,0.0,3260220.0,99.0,0.0,60.0,2023-08-11 14:49:19,2023-08-11 22:00:35
qth_0.5,2.0,185.25,4474.3,0.0,1656917.0,99.9,0.0,60.0,2023-08-11 22:14:07,2023-08-12 01:19:23
qth_0.5,3.0,62.267,4478.7,0.0,846335.0,100.0,0.0,60.0,2023-08-12 01:26:18,2023-08-12 02:28:34
qth_0.5,0.0,0.517,4309.5,0.0,59065.0,54.8,0.0,31.0,2023-08-11 14:14:02,2023-08-11 14:14:34
qth_0.5,1.0,48.983,4321.0,0.0,1004059.0,90.5,0.0,31.0,2023-08-11 14:16:17,2023-08-11 15:05:16
qth_0.5,2.0,17.767,4324.7,0.0,493522.0,97.1,0.0,31.0,2023-08-11 15:08:35,2023-08-11 15:26:22
qth_0.5,3.0,7.467,4324.7,0.0,251043.0,99.0,0.0,31.0,2023-08-11 15:28:57,2023-08-11 15:36:25
qth_0.5,0.0,0.083,4304.5,0.0,59065.0,22.7,0.0,20.0,2023-08-11 14:14:02,2023-08-11 14:14:07
qth_0.5,1.0,2.667,4306.6,0.0,268380.0,72.8,0.0,20.0,2023-08-11 14:14:36,2023-08-11 14:17:16
qth_0.5,2.0,2.083,4306.7,0.0,132586.0,86.1,0.0,20.0,2023-08-11 14:18:07,2023-08-11 14:20:12
qth_0.5,3.0,1.383,4306.8,0.0,71126.0,91.1,0.0,20.0,2023-08-11 14:21:15,2023-08-11 14:22:38
qth_0.25,0.0,8.75,4387.3,0.0,59065.0,96.4,0.0,60.0,2023-08-11 14:14:07,2023-08-11 14:22:53
qth_0.25,1.0,449.9,4457.9,0.0,3417480.0,99.3,0.0,60.0,2023-08-11 14:47:38,2023-08-11 22:17:33
qth_0.25,2.0,209.767,4457.9,0.0,2143528.0,99.9,0.0,60.0,2023-08-11 22:30:38,2023-08-12 02:00:25
qth_0.25,3.0,93.433,4458.4,0.0,1494796.0,100.0,0.0,60.0,2023-08-12 02:06:50,2023-08-12 03:40:17
qth_0.25,0.0,0.467,4309.7,0.0,59065.0,54.1,0.0,31.0,2023-08-11 14:14:07,2023-08-11 14:14:36
qth_0.25,1.0,44.267,4319.7,0.0,991349.0,88.1,0.0,31.0,2023-08-11 14:16:03,2023-08-11 15:00:19
qth_0.25,2.0,19.467,4320.3,0.0,576444.0,96.8,0.0,31.0,2023-08-11 15:03:27,2023-08-11 15:22:56
qth_0.25,3.0,10.267,4321.8,0.0,379274.0,99.2,0.0,31.0,2023-08-11 15:25:23,2023-08-11 15:35:39
qth_0.25,0.0,0.05,4304.4,0.0,59065.0,17.7,0.0,20.0,2023-08-11 14:14:08,2023-08-11 14:14:12
qth_0.25,1.0,1.917,4306.5,0.0,209280.0,67.2,0.0,20.0,2023-08-11 14:14:38,2023-08-11 14:16:34
qth_0.25,2.0,1.533,4306.5,0.0,112342.0,84.8,0.0,20.0,2023-08-11 14:17:07,2023-08-11 14:18:39
qth_0.25,3.0,1.05,4306.6,0.0,68581.0,92.1,0.0,20.0,2023-08-11 14:19:26,2023-08-11 14:20:29
relu,0.0,1.7,4325.4,0.0,59065.0,43.0,0.0,60.0,2023-08-11 14:14:14,2023-08-11 14:15:56
