y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,0,,60,train,mean
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,0,,60,train,mean
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,0,,60,train,mean
3,6131,96,94,94,0,0.0153319197520795,1.0,0.9791666666666666,0,,60,train,mean
4,5842,112,110,110,0,0.0188291680931187,1.0,0.9821428571428571,0,,60,train,mean
5,5421,77,74,74,0,0.0136506179671647,1.0,0.961038961038961,0,,60,train,mean
6,5918,84,82,82,0,0.013856032443393,1.0,0.9761904761904762,0,,60,train,mean
7,6265,86,84,84,0,0.0134078212290502,1.0,0.9767441860465116,0,,60,train,mean
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,0,,60,train,mean
9,5949,139,131,131,0,0.0220205076483442,1.0,0.9424460431654677,0,,60,train,mean
all,60000,935,914,914,0,0.0152333333333333,1.0,0.9775401069518717,0,,60,train,mean
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,1,,60,train,mean
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,1,,60,train,mean
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,1,,60,train,mean
3,6131,96,94,94,0,0.0153319197520795,1.0,0.9791666666666666,1,,60,train,mean
4,5842,112,110,110,0,0.0188291680931187,1.0,0.9821428571428571,1,,60,train,mean
5,5421,77,74,74,0,0.0136506179671647,1.0,0.961038961038961,1,,60,train,mean
6,5918,84,82,82,0,0.013856032443393,1.0,0.9761904761904762,1,,60,train,mean
7,6265,86,84,84,0,0.0134078212290502,1.0,0.9767441860465116,1,,60,train,mean
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,1,,60,train,mean
9,5949,139,131,131,0,0.0220205076483442,1.0,0.9424460431654677,1,,60,train,mean
all,60000,935,914,914,0,0.0152333333333333,1.0,0.9775401069518717,1,,60,train,mean
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,2,,60,train,mean
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,2,,60,train,mean
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,2,,60,train,mean
3,6131,96,94,94,0,0.0153319197520795,1.0,0.9791666666666666,2,,60,train,mean
4,5842,112,110,110,0,0.0188291680931187,1.0,0.9821428571428571,2,,60,train,mean
5,5421,77,74,74,0,0.0136506179671647,1.0,0.961038961038961,2,,60,train,mean
6,5918,84,82,82,0,0.013856032443393,1.0,0.9761904761904762,2,,60,train,mean
7,6265,86,84,84,0,0.0134078212290502,1.0,0.9767441860465116,2,,60,train,mean
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,2,,60,train,mean
9,5949,139,131,131,0,0.0220205076483442,1.0,0.9424460431654677,2,,60,train,mean
all,60000,935,914,914,0,0.0152333333333333,1.0,0.9775401069518717,2,,60,train,mean
0,5923,29,29,29,0,0.0048961674826945,1.0,1.0,3,,60,train,mean
1,6742,56,56,56,0,0.0083061406110946,1.0,1.0,3,,60,train,mean
2,5958,132,130,130,0,0.021819402484055,1.0,0.9848484848484849,3,,60,train,mean
3,6131,96,94,94,0,0.0153319197520795,1.0,0.9791666666666666,3,,60,train,mean
4,5842,112,110,110,0,0.0188291680931187,1.0,0.9821428571428571,3,,60,train,mean
5,5421,77,74,74,0,0.0136506179671647,1.0,0.961038961038961,3,,60,train,mean
6,5918,84,82,82,0,0.013856032443393,1.0,0.9761904761904762,3,,60,train,mean
7,6265,86,84,84,0,0.0134078212290502,1.0,0.9767441860465116,3,,60,train,mean
8,5851,124,124,124,0,0.0211929584686378,1.0,1.0,3,,60,train,mean
9,5949,139,131,131,0,0.0220205076483442,1.0,0.9424460431654677,3,,60,train,mean
all,60000,935,914,914,0,0.0152333333333333,1.0,0.9775401069518717,3,,60,train,mean
0,979,5,412,5,407,0.4208375893769152,0.012135922330097,1.0,0,,60,test,mean
1,1133,4,287,4,283,0.2533097969991174,0.0139372822299651,1.0,0,,60,test,mean
2,1030,25,710,25,685,0.6893203883495146,0.0352112676056338,1.0,0,,60,test,mean
3,1008,12,458,12,446,0.4543650793650793,0.0262008733624454,1.0,0,,60,test,mean
4,980,22,660,22,638,0.673469387755102,0.0333333333333333,1.0,0,,60,test,mean
5,890,13,505,13,492,0.5674157303370787,0.0257425742574257,1.0,0,,60,test,mean
6,956,22,486,22,464,0.5083682008368201,0.0452674897119341,1.0,0,,60,test,mean
7,1027,18,473,18,455,0.4605647517039922,0.0380549682875264,1.0,0,,60,test,mean
8,973,18,697,18,679,0.7163412127440905,0.0258249641319942,1.0,0,,60,test,mean
9,1008,35,517,35,482,0.5128968253968254,0.0676982591876208,1.0,0,,60,test,mean
all,9984,174,5205,174,5031,0.5213341346153846,0.0334293948126801,1.0,0,,60,test,mean
0,979,5,412,5,407,0.4208375893769152,0.012135922330097,1.0,1,,60,test,mean
1,1133,4,287,4,283,0.2533097969991174,0.0139372822299651,1.0,1,,60,test,mean
2,1030,25,710,25,685,0.6893203883495146,0.0352112676056338,1.0,1,,60,test,mean
3,1008,12,458,12,446,0.4543650793650793,0.0262008733624454,1.0,1,,60,test,mean
4,980,22,660,22,638,0.673469387755102,0.0333333333333333,1.0,1,,60,test,mean
5,890,13,505,13,492,0.5674157303370787,0.0257425742574257,1.0,1,,60,test,mean
6,956,22,486,22,464,0.5083682008368201,0.0452674897119341,1.0,1,,60,test,mean
7,1027,18,473,18,455,0.4605647517039922,0.0380549682875264,1.0,1,,60,test,mean
8,973,18,697,18,679,0.7163412127440905,0.0258249641319942,1.0,1,,60,test,mean
9,1008,35,517,35,482,0.5128968253968254,0.0676982591876208,1.0,1,,60,test,mean
all,9984,174,5205,174,5031,0.5213341346153846,0.0334293948126801,1.0,1,,60,test,mean
0,979,5,412,5,407,0.4208375893769152,0.012135922330097,1.0,2,,60,test,mean
1,1133,4,287,4,283,0.2533097969991174,0.0139372822299651,1.0,2,,60,test,mean
2,1030,25,710,25,685,0.6893203883495146,0.0352112676056338,1.0,2,,60,test,mean
3,1008,12,458,12,446,0.4543650793650793,0.0262008733624454,1.0,2,,60,test,mean
4,980,22,660,22,638,0.673469387755102,0.0333333333333333,1.0,2,,60,test,mean
5,890,13,505,13,492,0.5674157303370787,0.0257425742574257,1.0,2,,60,test,mean
6,956,22,486,22,464,0.5083682008368201,0.0452674897119341,1.0,2,,60,test,mean
7,1027,18,473,18,455,0.4605647517039922,0.0380549682875264,1.0,2,,60,test,mean
8,973,18,697,18,679,0.7163412127440905,0.0258249641319942,1.0,2,,60,test,mean
9,1008,35,517,35,482,0.5128968253968254,0.0676982591876208,1.0,2,,60,test,mean
all,9984,174,5205,174,5031,0.5213341346153846,0.0334293948126801,1.0,2,,60,test,mean
0,979,5,412,5,407,0.4208375893769152,0.012135922330097,1.0,3,,60,test,mean
1,1133,4,287,4,283,0.2533097969991174,0.0139372822299651,1.0,3,,60,test,mean
2,1030,25,710,25,685,0.6893203883495146,0.0352112676056338,1.0,3,,60,test,mean
3,1008,12,458,12,446,0.4543650793650793,0.0262008733624454,1.0,3,,60,test,mean
4,980,22,660,22,638,0.673469387755102,0.0333333333333333,1.0,3,,60,test,mean
5,890,13,505,13,492,0.5674157303370787,0.0257425742574257,1.0,3,,60,test,mean
6,956,22,486,22,464,0.5083682008368201,0.0452674897119341,1.0,3,,60,test,mean
7,1027,18,473,18,455,0.4605647517039922,0.0380549682875264,1.0,3,,60,test,mean
8,973,18,697,18,679,0.7163412127440905,0.0258249641319942,1.0,3,,60,test,mean
9,1008,35,517,35,482,0.5128968253968254,0.0676982591876208,1.0,3,,60,test,mean
all,9984,174,5205,174,5031,0.5213341346153846,0.0334293948126801,1.0,3,,60,test,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,0,,60,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,0,,60,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,1,,60,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,1,,60,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,2,,60,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,2,,60,evaluation,mean
1,1000,1000,999,0,999,0.999,1.0,0.0,3,,60,evaluation,mean
all,1000,1000,999,0,999,0.999,1.0,0.0,3,,60,evaluation,mean
