y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,21,21,0,0.0035455005909167,1.0,0.7241379310344828,0,gte_mean,31,train,qth_0.5
1,6742,56,47,47,0,0.0069712251557401,1.0,0.8392857142857143,0,gte_mean,31,train,qth_0.5
2,5958,132,98,98,0,0.0164484726418261,1.0,0.7424242424242424,0,gte_mean,31,train,qth_0.5
3,6131,96,75,75,0,0.0122329146958081,1.0,0.78125,0,gte_mean,31,train,qth_0.5
4,5842,112,82,82,0,0.0140362889421431,1.0,0.7321428571428571,0,gte_mean,31,train,qth_0.5
5,5421,77,53,53,0,0.0097767939494558,1.0,0.6883116883116883,0,gte_mean,31,train,qth_0.5
6,5918,84,59,59,0,0.0099695843190266,1.0,0.7023809523809523,0,gte_mean,31,train,qth_0.5
7,6265,86,66,66,0,0.010534716679968,1.0,0.7674418604651163,0,gte_mean,31,train,qth_0.5
8,5851,124,103,103,0,0.0176038284054007,1.0,0.8306451612903226,0,gte_mean,31,train,qth_0.5
9,5949,139,114,114,0,0.0191628845184064,1.0,0.8201438848920863,0,gte_mean,31,train,qth_0.5
all,60000,935,718,718,0,0.0119666666666666,1.0,0.7679144385026738,0,gte_mean,31,train,qth_0.5
0,5923,29,21,21,0,0.0035455005909167,1.0,0.7241379310344828,1,gte_mean,31,train,qth_0.5
1,6742,56,47,47,0,0.0069712251557401,1.0,0.8392857142857143,1,gte_mean,31,train,qth_0.5
2,5958,132,98,98,0,0.0164484726418261,1.0,0.7424242424242424,1,gte_mean,31,train,qth_0.5
3,6131,96,75,75,0,0.0122329146958081,1.0,0.78125,1,gte_mean,31,train,qth_0.5
4,5842,112,82,82,0,0.0140362889421431,1.0,0.7321428571428571,1,gte_mean,31,train,qth_0.5
5,5421,77,53,53,0,0.0097767939494558,1.0,0.6883116883116883,1,gte_mean,31,train,qth_0.5
6,5918,84,59,59,0,0.0099695843190266,1.0,0.7023809523809523,1,gte_mean,31,train,qth_0.5
7,6265,86,66,66,0,0.010534716679968,1.0,0.7674418604651163,1,gte_mean,31,train,qth_0.5
8,5851,124,103,103,0,0.0176038284054007,1.0,0.8306451612903226,1,gte_mean,31,train,qth_0.5
9,5949,139,114,114,0,0.0191628845184064,1.0,0.8201438848920863,1,gte_mean,31,train,qth_0.5
all,60000,935,718,718,0,0.0119666666666666,1.0,0.7679144385026738,1,gte_mean,31,train,qth_0.5
0,5923,29,21,21,0,0.0035455005909167,1.0,0.7241379310344828,2,gte_mean,31,train,qth_0.5
1,6742,56,47,47,0,0.0069712251557401,1.0,0.8392857142857143,2,gte_mean,31,train,qth_0.5
2,5958,132,98,98,0,0.0164484726418261,1.0,0.7424242424242424,2,gte_mean,31,train,qth_0.5
3,6131,96,75,75,0,0.0122329146958081,1.0,0.78125,2,gte_mean,31,train,qth_0.5
