y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,29.0,23.0,23.0,0.0038831673138612,1.0,0.7931034482758621,0,gte_mean,31.0,train,qth_0.75
1,6742.0,56.0,27.0,27.0,0.0040047463660634,1.0,0.4821428571428571,0,gte_mean,31.0,train,qth_0.75
2,5958.0,132.0,71.0,71.0,0.0119167505874454,1.0,0.5378787878787878,0,gte_mean,31.0,train,qth_0.75
3,6131.0,96.0,52.0,52.0,0.008481487522427,1.0,0.5416666666666666,0,gte_mean,31.0,train,qth_0.75
4,5842.0,112.0,61.0,61.0,0.0104416295789113,1.0,0.5446428571428571,0,gte_mean,31.0,train,qth_0.75
5,5421.0,77.0,49.0,49.0,0.0090389227079874,1.0,0.6363636363636364,0,gte_mean,31.0,train,qth_0.75
6,5918.0,84.0,52.0,52.0,0.008786752281176,1.0,0.6190476190476191,0,gte_mean,31.0,train,qth_0.75
7,6265.0,86.0,51.0,51.0,0.0081404628890662,1.0,0.5930232558139535,0,gte_mean,31.0,train,qth_0.75
8,5851.0,124.0,87.0,87.0,0.0148692531191249,1.0,0.7016129032258065,0,gte_mean,31.0,train,qth_0.75
9,5949.0,139.0,66.0,66.0,0.0110943015632879,1.0,0.4748201438848921,0,gte_mean,31.0,train,qth_0.75
all,60000.0,935.0,539.0,539.0,0.0089833333333333,1.0,0.5764705882352941,0,gte_mean,31.0,train,qth_0.75
0,5923.0,29.0,23.0,23.0,0.0038831673138612,1.0,0.7931034482758621,1,gte_mean,31.0,train,qth_0.75
1,6742.0,56.0,27.0,27.0,0.0040047463660634,1.0,0.4821428571428571,1,gte_mean,31.0,train,qth_0.75
2,5958.0,132.0,71.0,71.0,0.0119167505874454,1.0,0.5378787878787878,1,gte_mean,31.0,train,qth_0.75
3,6131.0,96.0,52.0,52.0,0.008481487522427,1.0,0.5416666666666666,1,gte_mean,31.0,train,qth_0.75
4,5842.0,112.0,61.0,61.0,0.0104416295789113,1.0,0.5446428571428571,1,gte_mean,31.0,train,qth_0.75
5,5421.0,77.0,49.0,49.0,0.0090389227079874,1.0,0.6363636363636364,1,gte_mean,31.0,train,qth_0.75
6,5918.0,84.0,52.0,52.0,0.008786752281176,1.0,0.6190476190476191,1,gte_mean,31.0,train,qth_0.75
7,6265.0,86.0,51.0,51.0,0.0081404628890662,1.0,0.5930232558139535,1,gte_mean,31.0,train,qth_0.75
8,5851.0,124.0,87.0,87.0,0.0148692531191249,1.0,0.7016129032258065,1,gte_mean,31.0,train,qth_0.75
9,5949.0,139.0,66.0,66.0,0.0110943015632879,1.0,0.4748201438848921,1,gte_mean,31.0,train,qth_0.75
all,60000.0,935.0,539.0,539.0,0.0089833333333333,1.0,0.5764705882352941,1,gte_mean,31.0,train,qth_0.75
0,5923.0,29.0,23.0,23.0,0.0038831673138612,1.0,0.7931034482758621,2,gte_mean,31.0,train,qth_0.75
1,6742.0,56.0,27.0,27.0,0.0040047463660634,1.0,0.4821428571428571,2,gte_mean,31.0,train,qth_0.75
2,5958.0,132.0,71.0,71.0,0.0119167505874454,1.0,0.5378787878787878,2,gte_mean,31.0,train,qth_0.75
3,6131.0,96.0,52.0,52.0,0.008481487522427,1.0,0.5416666666666666,2,gte_mean,31.0,train,qth_0.75
4,5842.0,112.0,61.0,61.0,0.0104416295789113,1.0,0.5446428571428571,2,gte_mean,31.0,train,qth_0.75
5,5421.0,77.0,49.0,49.0,0.0090389227079874,1.0,0.6363636363636364,2,gte_mean,31.0,train,qth_0.75
6,5918.0,84.0,52.0,52.0,0.008786752281176,1.0,0.6190476190476191,2,gte_mean,31.0,train,qth_0.75
7,6265.0,86.0,51.0,51.0,0.0081404628890662,1.0,0.5930232558139535,2,gte_mean,31.0,train,qth_0.75
8,5851.0,124.0,87.0,87.0,0.0148692531191249,1.0,0.7016129032258065,2,gte_mean,31.0,train,qth_0.75
9,5949.0,139.0,66.0,66.0,0.0110943015632879,1.0,0.4748201438848921,2,gte_mean,31.0,train,qth_0.75
all,60000.0,935.0,539.0,539.0,0.0089833333333333,1.0,0.5764705882352941,2,gte_mean,31.0,train,qth_0.75
0,5923.0,29.0,23.0,23.0,0.0038831673138612,1.0,0.7931034482758621,3,gte_mean,31.0,train,qth_0.75
1,6742.0,56.0,27.0,27.0,0.0040047463660634,1.0,0.4821428571428571,3,gte_mean,31.0,train,qth_0.75
2,5958.0,132.0,71.0,71.0,0.0119167505874454,1.0,0.5378787878787878,3,gte_mean,31.0,train,qth_0.75
3,6131.0,96.0,52.0,52.0,0.008481487522427,1.0,0.5416666666666666,3,gte_mean,31.0,train,qth_0.75
4,5842.0,112.0,61.0,61.0,0.0104416295789113,1.0,0.5446428571428571,3,gte_mean,31.0,train,qth_0.75
