y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
0,5923,29,5,5,0,0.0008441668073611,1.0,0.1724137931034483,0,top_third,20,train,relu
1,6742,56,13,13,0,0.0019282112132898,1.0,0.23214285714285715,0,top_third,20,train,relu
2,5958,132,42,42,0,0.0070493454179254,1.0,0.3181818181818182,0,top_third,20,train,relu
3,6131,96,37,37,0,0.0060349045832653,1.0,0.3854166666666667,0,top_third,20,train,relu
4,5842,112,16,16,0,0.0027387880862718,1.0,0.14285714285714285,0,top_third,20,train,relu
5,5421,77,24,24,0,0.0044272274488101,1.0,0.3116883116883117,0,top_third,20,train,relu
6,5918,84,10,10,0,0.0016897600540723,1.0,0.11904761904761904,0,top_third,20,train,relu
7,6265,86,18,18,0,0.0028731045490822,1.0,0.20930232558139536,0,top_third,20,train,relu
8,5851,124,37,37,0,0.0063237053495129,1.0,0.29838709677419356,0,top_third,20,train,relu
9,5949,139,43,43,0,0.0072281055639603,1.0,0.30935251798561153,0,top_third,20,train,relu
all,60000,935,245,245,0,0.0040833333333333,1.0,0.2620320855614973,0,top_third,20,train,relu
0,5923,29,5,5,0,0.0008441668073611,1.0,0.1724137931034483,1,top_third,20,train,relu
1,6742,56,13,13,0,0.0019282112132898,1.0,0.23214285714285715,1,top_third,20,train,relu
2,5958,132,42,42,0,0.0070493454179254,1.0,0.3181818181818182,1,top_third,20,train,relu
3,6131,96,37,37,0,0.0060349045832653,1.0,0.3854166666666667,1,top_third,20,train,relu
4,5842,112,16,16,0,0.0027387880862718,1.0,0.14285714285714285,1,top_third,20,train,relu
5,5421,77,24,24,0,0.0044272274488101,1.0,0.3116883116883117,1,top_third,20,train,relu
6,5918,84,10,10,0,0.0016897600540723,1.0,0.11904761904761904,1,top_third,20,train,relu
7,6265,86,18,18,0,0.0028731045490822,1.0,0.20930232558139536,1,top_third,20,train,relu
8,5851,124,37,37,0,0.0063237053495129,1.0,0.29838709677419356,1,top_third,20,train,relu
9,5949,139,43,43,0,0.0072281055639603,1.0,0.30935251798561153,1,top_third,20,train,relu
all,60000,935,245,245,0,0.0040833333333333,1.0,0.2620320855614973,1,top_third,20,train,relu
0,5923,29,5,5,0,0.0008441668073611,1.0,0.1724137931034483,2,top_third,20,train,relu
1,6742,56,13,13,0,0.0019282112132898,1.0,0.23214285714285715,2,top_third,20,train,relu
2,5958,132,42,42,0,0.0070493454179254,1.0,0.3181818181818182,2,top_third,20,train,relu
3,6131,96,37,37,0,0.0060349045832653,1.0,0.3854166666666667,2,top_third,20,train,relu
4,5842,112,16,16,0,0.0027387880862718,1.0,0.14285714285714285,2,top_third,20,train,relu
5,5421,77,24,24,0,0.0044272274488101,1.0,0.3116883116883117,2,top_third,20,train,relu
6,5918,84,10,10,0,0.0016897600540723,1.0,0.11904761904761904,2,top_third,20,train,relu
7,6265,86,18,18,0,0.0028731045490822,1.0,0.20930232558139536,2,top_third,20,train,relu
8,5851,124,37,37,0,0.0063237053495129,1.0,0.29838709677419356,2,top_third,20,train,relu
9,5949,139,43,43,0,0.0072281055639603,1.0,0.30935251798561153,2,top_third,20,train,relu
all,60000,935,245,245,0,0.0040833333333333,1.0,0.2620320855614973,2,top_third,20,train,relu
0,5923,29,5,5,0,0.0008441668073611,1.0,0.1724137931034483,3,top_third,20,train,relu
