thld,eta,build_time_min,size_mb,reorder_time_min,num_patterns,num_unique_patterns_%,num_reorder,num_neurons,start_time,end_time,subset_name
qth_0.75,0.0,12.317,4484.6,0.0,68875.0,99.7,0.0,60.0,2023-08-14 20:57:26,2023-08-14 21:09:45,
qth_0.75,1.0,754.883,4494.2,0.0,4119420.0,99.9,0.0,60.0,2023-08-14 21:24:25,2023-08-15 09:59:20,
qth_0.75,2.0,458.0,4494.4,0.0,2530524.0,100.0,0.0,60.0,2023-08-15 10:13:46,2023-08-15 17:51:46,
qth_0.75,3.0,298.683,4494.4,0.0,1746835.0,100.0,0.0,60.0,2023-08-15 18:06:16,2023-08-15 23:04:58,
qth_0.75,0.0,0.0,4303.4,0.0,68875.0,0.1,0.0,7.0,2023-08-14 20:57:22,2023-08-14 20:57:22,components
qth_0.75,1.0,0.0,4303.4,0.0,707.0,13.2,0.0,7.0,2023-08-14 20:57:38,2023-08-14 20:57:38,components
qth_0.75,2.0,0.0,4303.4,0.0,303.0,22.8,0.0,7.0,2023-08-14 20:57:54,2023-08-14 20:57:54,components
qth_0.75,3.0,0.0,4303.4,0.0,122.0,29.5,0.0,7.0,2023-08-14 20:58:11,2023-08-14 20:58:11,components
qth_0.5,0.0,14.733,4508.5,0.0,68875.0,100.0,0.0,60.0,2023-08-14 20:57:29,2023-08-14 21:12:14,
qth_0.5,1.0,928.567,4515.7,0.0,4131780.0,100.0,0.0,60.0,2023-08-14 21:30:02,2023-08-15 12:58:37,
qth_0.5,2.0,430.133,4515.8,0.0,2040580.0,100.0,0.0,60.0,2023-08-15 13:15:55,2023-08-15 20:26:03,
qth_0.5,3.0,245.35,4515.8,0.0,999517.0,100.0,0.0,60.0,2023-08-15 20:38:52,2023-08-16 00:44:14,
qth_0.5,0.0,0.0,4303.4,0.0,68875.0,0.2,0.0,7.0,2023-08-14 20:57:25,2023-08-14 20:57:25,components
qth_0.5,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 20:57:40,2023-08-14 20:57:41,components
qth_0.5,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 20:57:56,2023-08-14 20:57:56,components
qth_0.5,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 20:58:13,2023-08-14 20:58:13,components
qth_0.25,0.0,12.3,4492.1,0.0,68875.0,99.4,0.0,60.0,2023-08-14 20:57:33,2023-08-14 21:09:52,
qth_0.25,1.0,761.95,4497.0,0.0,4108320.0,99.9,0.0,60.0,2023-08-14 21:24:34,2023-08-15 10:06:32,
qth_0.25,2.0,464.817,4497.0,0.0,2533194.0,100.0,0.0,60.0,2023-08-15 10:21:05,2023-08-15 18:05:55,
qth_0.25,3.0,328.183,4497.0,0.0,1745520.0,100.0,0.0,60.0,2023-08-15 18:20:22,2023-08-15 23:48:34,
qth_0.25,0.0,0.0,4303.4,0.0,68875.0,0.2,0.0,7.0,2023-08-14 20:57:27,2023-08-14 20:57:27,components
qth_0.25,1.0,0.0,4303.4,0.0,791.0,8.7,0.0,7.0,2023-08-14 20:57:42,2023-08-14 20:57:42,components
qth_0.25,2.0,0.0,4303.4,0.0,336.0,12.5,0.0,7.0,2023-08-14 20:57:58,2023-08-14 20:57:58,components
qth_0.25,3.0,0.0,4303.4,0.0,140.0,14.3,0.0,7.0,2023-08-14 20:58:15,2023-08-14 20:58:15,components
relu,0.0,14.667,4507.1,0.0,68875.0,100.0,0.0,60.0,2023-08-14 20:57:34,2023-08-14 21:12:14,
relu,1.0,930.333,4515.7,0.0,4131780.0,100.0,0.0,60.0,2023-08-14 21:30:02,2023-08-15 13:00:22,
relu,2.0,444.05,4516.1,0.0,2038805.0,100.0,0.0,60.0,2023-08-15 13:17:44,2023-08-15 20:41:47,
relu,3.0,257.55,4516.1,0.0,998388.0,100.0,0.0,60.0,2023-08-15 20:55:15,2023-08-16 01:12:49,
relu,0.0,0.0,4303.4,0.0,68875.0,0.2,0.0,7.0,2023-08-14 20:57:30,2023-08-14 20:57:30,components
relu,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 20:57:46,2023-08-14 20:57:47,components
relu,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 20:58:02,2023-08-14 20:58:03,components
relu,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 20:58:20,2023-08-14 20:58:20,components
mean,0.0,14.667,4507.1,0.0,68875.0,100.0,0.0,60.0,2023-08-14 20:57:37,2023-08-14 21:12:17,
mean,1.0,929.183,4515.6,0.0,4131840.0,100.0,0.0,60.0,2023-08-14 21:30:05,2023-08-15 12:59:17,
mean,2.0,445.217,4515.7,0.0,2038452.0,100.0,0.0,60.0,2023-08-15 13:16:38,2023-08-15 20:41:51,
mean,3.0,268.533,4515.7,0.0,998154.0,100.0,0.0,60.0,2023-08-15 20:55:04,2023-08-16 01:23:37,
mean,0.0,0.0,4303.4,0.0,68875.0,0.2,0.0,7.0,2023-08-14 20:57:36,2023-08-14 20:57:37,components
mean,1.0,0.0,4303.4,0.0,896.0,0.0,0.0,7.0,2023-08-14 20:57:52,2023-08-14 20:57:53,components
mean,2.0,0.0,4303.4,0.0,384.0,0.0,0.0,7.0,2023-08-14 20:58:09,2023-08-14 20:58:09,components
mean,3.0,0.0,4303.4,0.0,160.0,0.0,0.0,7.0,2023-08-14 20:58:26,2023-08-14 20:58:27,components
