y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
0,5923.0,29.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
1,6742.0,56.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
2,5958.0,132.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
3,6131.0,96.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
4,5842.0,112.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
5,5421.0,77.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
6,5918.0,84.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
7,6265.0,86.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
8,5851.0,124.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
9,5949.0,139.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
all,60000.0,935.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,train,relu
0,5923.0,29.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
1,6742.0,56.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
2,5958.0,132.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
3,6131.0,96.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
4,5842.0,112.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
5,5421.0,77.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
6,5918.0,84.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
7,6265.0,86.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
8,5851.0,124.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
9,5949.0,139.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
all,60000.0,935.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,train,relu
0,5923.0,29.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,train,relu
1,6742.0,56.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,train,relu
2,5958.0,132.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,train,relu
3,6131.0,96.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,train,relu
