number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,state
9,0.8380000591278076,2023-04-10 03:12:45.054013,2023-04-10 03:13:14.738577,0 days 00:00:29.684564,0.01,0.002,32,0.0,0.05617159203719268,SGD,COMPLETE
2,0.8320000171661377,2023-04-10 03:10:08.445231,2023-04-10 03:10:28.685958,0 days 00:00:20.240727,0.004,0.059000000000000004,64,0.30000000000000004,0.036699548145039805,SGD,COMPLETE
20,0.6340000033378601,2023-04-10 03:17:02.503844,2023-04-10 03:17:20.112254,0 days 00:00:17.608410,0.016,0.0,256,0.30000000000000004,0.08986556343385523,SGD,COMPLETE
10,0.5200000405311584,2023-04-10 03:13:14.741703,2023-04-10 03:13:47.075028,0 days 00:00:32.333325,0.007,0.023,32,0.0,0.05090621204735381,Adam,COMPLETE
14,0.5,2023-04-10 03:14:58.236898,2023-04-10 03:15:15.757566,0 days 00:00:17.520668,0.028,0.005,128,0.5,0.03015774315069529,SGD,COMPLETE
17,0.4520000219345093,2023-04-10 03:16:12.299462,2023-04-10 03:16:29.524240,0 days 00:00:17.224778,0.013000000000000001,0.094,128,0.4,0.022726927942274003,SGD,COMPLETE
1,0.4320000112056732,2023-04-10 03:09:52.923301,2023-04-10 03:10:08.442940,0 days 00:00:15.519639,0.029,0.043000000000000003,256,0.0,0.021312677156759788,Adam,COMPLETE
7,0.1340000033378601,2023-04-10 03:12:08.286425,2023-04-10 03:12:26.913975,0 days 00:00:18.627550,0.011,0.036000000000000004,128,0.4,0.08156459670263794,Adam,COMPLETE
18,0.11000000685453415,2023-04-10 03:16:29.526360,2023-04-10 03:16:45.161662,0 days 00:00:15.635302,0.024,0.053,128,0.2,0.08774620140276,SGD,COMPLETE
15,0.11000000685453415,2023-04-10 03:15:15.760626,2023-04-10 03:15:49.794293,0 days 00:00:34.033667,0.073,0.024,32,0.5,0.04899633075172855,Adam,COMPLETE
0,0.10200000554323196,2023-04-10 03:09:35.917679,2023-04-10 03:09:52.921152,0 days 00:00:17.003473,0.07100000000000001,0.06,256,0.2,0.05990598257128396,Adam,COMPLETE
22,0.10200000554323196,2023-04-10 03:17:35.981487,2023-04-10 03:17:53.704574,0 days 00:00:17.723087,0.063,0.09,128,0.30000000000000004,0.036834808725637415,Adam,COMPLETE
24,0.10200000554323196,2023-04-10 03:18:17.892529,2023-04-10 03:18:35.379524,0 days 00:00:17.486995,0.08600000000000001,0.097,256,0.5,0.0370788541555189,Adam,COMPLETE
3,0.10200000554323196,2023-04-10 03:10:28.688204,2023-04-10 03:11:06.553624,0 days 00:00:37.865420,0.044,0.069,32,0.30000000000000004,0.094893665171608,Adam,COMPLETE
13,0.09600000083446503,2023-04-10 03:14:24.666021,2023-04-10 03:14:58.233686,0 days 00:00:33.567665,0.098,0.036000000000000004,32,0.2,0.03382775562322244,Adam,COMPLETE
6,0.09600000083446503,2023-04-10 03:11:49.330748,2023-04-10 03:12:08.282901,0 days 00:00:18.952153,0.099,0.007,256,0.2,0.03573965733668957,SGD,COMPLETE
21,0.09600000083446503,2023-04-10 03:17:20.114674,2023-04-10 03:17:35.977668,0 days 00:00:15.862994,0.085,0.065,256,0.30000000000000004,0.022504504015109922,Adam,COMPLETE
23,0.09600000083446503,2023-04-10 03:17:53.707168,2023-04-10 03:18:17.889554,0 days 00:00:24.182386,0.017,0.065,64,0.4,0.04930251761250451,SGD,COMPLETE
16,0.08800000697374344,2023-04-10 03:15:49.797228,2023-04-10 03:16:12.297156,0 days 00:00:22.499928,0.059000000000000004,0.004,64,0.2,0.05362389093906838,SGD,COMPLETE
19,0.08800000697374344,2023-04-10 03:16:45.165026,2023-04-10 03:17:02.501773,0 days 00:00:17.336747,0.078,0.089,256,0.0,0.06334683558159947,SGD,COMPLETE
11,0.0820000022649765,2023-04-10 03:13:47.079247,2023-04-10 03:14:07.418602,0 days 00:00:20.339355,0.054,0.09,64,0.1,0.08083122591848525,SGD,COMPLETE
8,0.0820000022649765,2023-04-10 03:12:26.917045,2023-04-10 03:12:45.051681,0 days 00:00:18.134636,0.047,0.089,128,0.5,0.006449479193573761,Adam,COMPLETE
5,0.08000000566244125,2023-04-10 03:11:29.327540,2023-04-10 03:11:49.314097,0 days 00:00:19.986557,0.032,0.004,64,0.5,0.08949325230772212,SGD,COMPLETE
4,0.08000000566244125,2023-04-10 03:11:06.557339,2023-04-10 03:11:29.324893,0 days 00:00:22.767554,0.018000000000000002,0.055,64,0.0,0.09094110816767033,Adam,COMPLETE
12,0.08000000566244125,2023-04-10 03:14:07.421706,2023-04-10 03:14:24.663082,0 days 00:00:17.241376,0.051000000000000004,0.0,256,0.4,0.011094187260314909,Adam,COMPLETE
