number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,state
14,0.984000027179718,2023-04-10 03:04:48.395791,2023-04-10 03:05:16.009087,0 days 00:00:27.613296,0.0,0.019,32,0.1,0.038678762298957156,SGD,COMPLETE
11,0.9200000166893005,2023-04-10 03:03:19.274596,2023-04-10 03:03:48.872393,0 days 00:00:29.597797,0.0,0.078,32,0.30000000000000004,0.04237551094419184,SGD,COMPLETE
9,0.9080000519752502,2023-04-10 03:02:21.897429,2023-04-10 03:02:49.315141,0 days 00:00:27.417712,0.01,0.002,32,0.0,0.05617159203719268,SGD,COMPLETE
23,0.8840000629425049,2023-04-10 03:09:04.205702,2023-04-10 03:09:35.859272,0 days 00:00:31.653570,0.002,0.032,32,0.1,0.049560474888736265,SGD,COMPLETE
21,0.8720000386238098,2023-04-10 03:08:01.654697,2023-04-10 03:08:36.680331,0 days 00:00:35.025634,0.009000000000000001,0.002,32,0.0,0.0541156009149259,SGD,COMPLETE
2,0.7280000448226929,2023-04-10 02:59:49.699463,2023-04-10 03:00:11.171417,0 days 00:00:21.471954,0.004,0.059000000000000004,64,0.30000000000000004,0.036699548145039805,SGD,COMPLETE
12,0.6840000152587891,2023-04-10 03:03:48.874473,2023-04-10 03:04:15.646337,0 days 00:00:26.771864,0.0,0.099,32,0.1,0.047324129265129085,SGD,COMPLETE
16,0.6140000224113464,2023-04-10 03:05:45.785562,2023-04-10 03:06:15.233468,0 days 00:00:29.447906,0.029,0.019,32,0.2,0.006875476095634284,SGD,COMPLETE
22,0.5480000376701355,2023-04-10 03:08:36.684023,2023-04-10 03:09:04.203002,0 days 00:00:27.518979,0.016,0.011,32,0.0,0.03895993084755598,SGD,COMPLETE
1,0.30000001192092896,2023-04-10 02:59:32.361979,2023-04-10 02:59:49.696710,0 days 00:00:17.334731,0.029,0.043000000000000003,256,0.0,0.021312677156759788,Adam,COMPLETE
20,0.1380000114440918,2023-04-10 03:07:33.686270,2023-04-10 03:08:01.652199,0 days 00:00:27.965929,0.041,0.099,32,0.2,0.06668691036684114,SGD,COMPLETE
6,0.12400000542402267,2023-04-10 03:01:27.588473,2023-04-10 03:01:41.680340,0 days 00:00:14.091867,0.099,0.007,256,0.2,0.03573965733668957,SGD,COMPLETE
15,0.11000000685453415,2023-04-10 03:05:16.011030,2023-04-10 03:05:45.782564,0 days 00:00:29.771534,0.065,0.024,32,0.1,0.023923524612412102,SGD,COMPLETE
8,0.11000000685453415,2023-04-10 03:02:02.334145,2023-04-10 03:02:21.895376,0 days 00:00:19.561231,0.047,0.089,128,0.5,0.006449479193573761,Adam,COMPLETE
4,0.10400000214576721,2023-04-10 03:00:43.478973,2023-04-10 03:01:07.241872,0 days 00:00:23.762899,0.018000000000000002,0.055,64,0.0,0.09094110816767033,Adam,COMPLETE
17,0.10200000554323196,2023-04-10 03:06:15.235418,2023-04-10 03:06:41.946204,0 days 00:00:26.710786,0.097,0.079,32,0.30000000000000004,0.04277219390065566,SGD,COMPLETE
18,0.10200000554323196,2023-04-10 03:06:41.948443,2023-04-10 03:07:02.293289,0 days 00:00:20.344846,0.058,0.042,128,0.4,0.026763684832347735,SGD,COMPLETE
0,0.10200000554323196,2023-04-10 02:59:13.970711,2023-04-10 02:59:32.359449,0 days 00:00:18.388738,0.07100000000000001,0.06,256,0.2,0.05990598257128396,Adam,COMPLETE
19,0.09600000083446503,2023-04-10 03:07:02.297017,2023-04-10 03:07:33.682419,0 days 00:00:31.385402,0.08600000000000001,0.015,32,0.1,0.0772680204070969,SGD,COMPLETE
5,0.09600000083446503,2023-04-10 03:01:07.244901,2023-04-10 03:01:27.586499,0 days 00:00:20.341598,0.032,0.004,64,0.5,0.08949325230772212,SGD,COMPLETE
3,0.09600000083446503,2023-04-10 03:00:11.175648,2023-04-10 03:00:43.476371,0 days 00:00:32.300723,0.044,0.069,32,0.30000000000000004,0.094893665171608,Adam,COMPLETE
13,0.0820000022649765,2023-04-10 03:04:15.649250,2023-04-10 03:04:48.393369,0 days 00:00:32.744119,0.021,0.078,32,0.4,0.057806202340310926,SGD,COMPLETE
7,0.0820000022649765,2023-04-10 03:01:41.682691,2023-04-10 03:02:02.330994,0 days 00:00:20.648303,0.011,0.036000000000000004,128,0.4,0.08156459670263794,Adam,COMPLETE
10,0.08000000566244125,2023-04-10 03:02:49.317076,2023-04-10 03:03:19.269885,0 days 00:00:29.952809,0.069,0.027,32,0.1,0.06964216855549628,SGD,COMPLETE
