number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,state
36,0.9600000381469727,2023-04-09 00:14:11.642871,2023-04-09 00:14:34.578775,0 days 00:00:22.935904,0.001,0.012,64,0.0,0.001,Adam,COMPLETE
51,0.9480000734329224,2023-04-09 00:16:46.172015,2023-04-09 00:17:07.550844,0 days 00:00:21.378829,0.0,0.1,256,0.4,0.001,Adam,COMPLETE
57,0.8600000143051147,2023-04-09 00:17:35.012273,2023-04-09 00:17:51.350986,0 days 00:00:16.338713,0.012,0.039,256,0.2,0.001,Adam,COMPLETE
72,0.8560000658035278,2023-04-09 00:19:36.425091,2023-04-09 00:19:55.074291,0 days 00:00:18.649200,0.016,0.007,128,0.4,0.001,Adam,COMPLETE
65,0.8460000157356262,2023-04-09 00:18:38.033008,2023-04-09 00:19:06.660235,0 days 00:00:28.627227,0.008,0.045,32,0.0,0.01,SGD,COMPLETE
10,0.8280000686645508,2023-04-09 00:10:24.352454,2023-04-09 00:11:00.398276,0 days 00:00:36.045822,0.005,0.096,32,0.0,0.001,SGD,COMPLETE
7,0.8280000686645508,2023-04-09 00:09:31.532634,2023-04-09 00:10:00.931948,0 days 00:00:29.399314,0.0,0.026000000000000002,64,0.4,0.01,SGD,COMPLETE
81,0.8040000200271606,2023-04-09 00:20:38.214904,2023-04-09 00:21:00.877821,0 days 00:00:22.662917,0.01,0.031,64,0.2,0.001,Adam,COMPLETE
18,0.7500000596046448,2023-04-09 00:11:29.415568,2023-04-09 00:11:51.091181,0 days 00:00:21.675613,0.033,0.08600000000000001,256,0.5,0.001,Adam,COMPLETE
1,0.7440000176429749,2023-04-09 00:07:17.269229,2023-04-09 00:07:38.585923,0 days 00:00:21.316694,0.002,0.059000000000000004,256,0.0,0.01,Adam,COMPLETE
38,0.7200000286102295,2023-04-09 00:14:37.675609,2023-04-09 00:15:13.781139,0 days 00:00:36.105530,0.021,0.002,32,0.30000000000000004,0.01,SGD,COMPLETE
8,0.718000054359436,2023-04-09 00:10:00.934341,2023-04-09 00:10:20.467077,0 days 00:00:19.532736,0.021,0.08700000000000001,128,0.1,0.001,Adam,COMPLETE
6,0.6760000586509705,2023-04-09 00:09:13.271529,2023-04-09 00:09:31.529205,0 days 00:00:18.257676,0.032,0.069,128,0.4,0.001,Adam,COMPLETE
