number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,state
12,0.9660000205039978,2023-04-08 23:49:41.464367,2023-04-08 23:50:19.869422,0 days 00:00:38.405055,0.0,0.003,32,0.1,0.001,Adam,COMPLETE
54,0.9540000557899475,2023-04-08 23:58:36.415063,2023-04-08 23:59:08.643904,0 days 00:00:32.228841,0.0,0.016,32,0.5,0.001,Adam,COMPLETE
51,0.940000057220459,2023-04-08 23:57:16.117355,2023-04-08 23:57:53.971120,0 days 00:00:37.853765,0.0,0.027,32,0.4,0.001,Adam,COMPLETE
13,0.9180000424385071,2023-04-08 23:50:19.873139,2023-04-08 23:50:47.568100,0 days 00:00:27.694961,0.0,0.007,32,0.30000000000000004,0.01,SGD,COMPLETE
47,0.9160000681877136,2023-04-08 23:56:24.207713,2023-04-08 23:56:57.982089,0 days 00:00:33.774376,0.0,0.037,32,0.4,0.001,Adam,COMPLETE
55,0.8860000371932983,2023-04-08 23:59:08.645820,2023-04-08 23:59:45.513217,0 days 00:00:36.867397,0.004,0.015,32,0.5,0.001,Adam,COMPLETE
21,0.8800000548362732,2023-04-08 23:51:58.106890,2023-04-08 23:52:35.284393,0 days 00:00:37.177503,0.0,0.028,32,0.4,0.01,SGD,COMPLETE
7,0.8420000672340393,2023-04-08 23:48:40.549722,2023-04-08 23:49:07.735807,0 days 00:00:27.186085,0.0,0.026000000000000002,64,0.4,0.01,SGD,COMPLETE
34,0.8360000252723694,2023-04-08 23:54:40.331522,2023-04-08 23:55:01.543396,0 days 00:00:21.211874,0.0,0.024,64,0.4,0.01,SGD,COMPLETE
56,0.8200000524520874,2023-04-08 23:59:45.517702,2023-04-09 00:00:15.585614,0 days 00:00:30.067912,0.004,0.015,32,0.5,0.001,Adam,COMPLETE
24,0.800000011920929,2023-04-08 23:53:13.628114,2023-04-08 23:53:43.607197,0 days 00:00:29.979083,0.008,0.01,32,0.2,0.01,SGD,COMPLETE
